"","839__53363","1260__165179_228603","1680__1685_216816","165179__228603","115979__1506_36835","309120__1535_329854","29370__452084","421767__1515_214856","46503__187327","1535__329854","36848__169435_189722","45067__173480","39489__1282_1504","1406__1264_33043","1515__214856","1532__239974","1506__36835","511__34087_196024","169435__189722","225991__290309","370979__490189","28454__1113609","1264__33043","28126__1472_33935","82135__1582_1597","184870__36874_187491","29360__33035","243924__1453492","471__48296_106654","1401__79880_290588","1859290__33029_33032","907__1630","28129__477666","43770__470_39490","32013__80866","1661050__1571_40681","67269__285_83617","185293__33034_163877","840__1691_479117","2741__1254_28026","33031__247_237258","29430__40216_202956","157687__29466_626937","191295__106648_588932","1746653__239935_397865","1580__35833_387661","271420__40324_216778","28136__28125_536633","76759__83263","1512__358742","384638__1902_38289","48296__106654","28118__29524_251535","288965__729_487175","376804__114702_1463864","1282__1504","216947__423605","38288__1223514_1827099","516075__1449_1463837","1267__216935","1727__1358_191493","1670__1623_1646377","29375__879_37923","33039__52787","487316__588_410072","1681__78342_310297","28125__536633","294__33069_122355","589436__39485_40520","60133__317_47884","29466__626937","84030__454155","84032__28128_43131","35833__387661","729__487175","40324__216778","239935__397865","29355__582_860","587753__584_882211","153721__40214_405446","1358__191493","88688__349096_437898","78342__310297","588__410072","1623__1646377","633701__818_246787","102862__28901_47678","118748__1308_1735","52226__626931","441500__1265_40518","33069__122355","562__28116_46506","39485__40520","79880__290588","39497__1559_36745","1522__287_69825","584__882211","28127__1465754","106648__588932","182710__487698","488__40519","78346__179995_1161942","1685__216816","40214__405446","38986__328812","582__860","53408__39492_1755626","1725__1487956","28901__47678","28091__208479","43675__39778_44749","726__1379","818__246787","285__83617","35825__28037_45851","301__425941","1265__40518","470__39490","1308__1735","166486__301301","470565__28132_387090","1303__29552","349096__437898","28116__46506","47879__28111_33038","287__69825","1510__28117_218538","1582__1597","28128__43131","36874__187491","34087__196024","103892__817_454154","38286__38304","317__47884","179995__1161942","626932__328813_351091","1352__37734","1223514__1827099","153151__291645","39778__44749","53412__658457","1280__28025","876__261299_310298","1307__33964","1571__40681","202611__481743","305719__204516_626930","28132__387090","39492__1755626","1547__39483","28037__45851","1590__187452","104663__1611423","316__341225","291644__820_823","28090__1144673","33029__33032","185294__589437","28111__33038","28117__218538","33034__163877","39496__574375","817__454154","1687__108980","204516__626930","56810__1148157","47880__101564","1691__479117","328813__351091","261299__310298","871324__821_29348","247__237258","1902__38289","29524__251535","284042__1258_54006","114702__1463864","1449__1463837","879__37923","1559__36745","820__823","1258__54006","1467__308892","1472__33935","40216__202956","821__29348","57706__1113922","1584__39484","1254__28026"
"ERR1072724",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.70094705418815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.92414509814547,0,0,0,0,0,-4.62276601702628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33271707112256,0,0,0,0,0,0,0,0,0,0,-0.758298637873423,0,0,-2.15938963278533,0,0,0,0,-2.11602355811474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.15461340292573,0,0,0,0,0,0,0,-2.36315644955503,0,0,0,0,3.7401725573217,0,0,-3.6650603126674,0,3.73189988453623,0,0,0,0,0,-2.96801975721043,0,0,0,0,0,0,0,0,4.09310703686339,0,0,0,0,5.1407610173567,0,0,0
"ERR1072851",0,0,0,0,0,0,0,-2.45350376460363,0,0,0,0,0,0,-4.249593176855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.41962047335303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.1909055948813,0,0,0,0,0,0,0,0,-2.46243691038273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.86153195851592,0,0,0,0,0,4.26506583921582,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.17554605134655,0,0,0,0,0,0,0,0,-4.96621582518022,0,0,0,0,0,0,0,0,0,0,0,0,-4.95631873963165,0,0,0,0,0,-3.14979268866478,0,0,0,0,5.50020710270696,0,0,0,0,0,0,0,0,0.934435652648936,0,-3.26472892373584,0,0,0,0,0,0,0,0,5.45560097007638,0,0,0,0,5.65467636885014,0,0,0
"ERR1073081",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.2839587892275,0,0,0,-2.33766853572862,0,0,0,0,0,0,0,0,-2.82288385874825,0,0,0,0,0,3.95593266533553,0,0,0,0,0,0,0,0,-4.04896067513712,0,0,0,0,0,0,0,0,0,0,0,0,4.88937826721805,-2.30282844730571,0,0,0,0,0,0,0,0,0,0,0,0,3.27618422328498,0,0,0,0,0,0,-2.18212549691176,0,0,0,0,-3.30826816682155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.98861587184844,0,0,0,0,0,0,0,0,0,0,-3.77955222914265,0,0,5.73008854999767,0,0,0,3.58285656166831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR1073129",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.67425279658887,-2.3008597541618,0,0,0,0,0,0,0,0,0,-2.71906863826344,0,0,0,0,0,0,0,0,0,0,0,-4.63194171597507,-2.51397026877632,3.98520599529867,0,0,0,-4.7095650307394,0,0,0,0,0,0,0,0,0,-5.48394132008856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.35432423423817,0,0,-2.5109314007465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.948756274985614,0,0,0,0,0,-2.59681108229572,0,0,0,0,4.34906076041303,0,0,0,0,0,0,0,0,0,0,-3.11611831392086,0,0,0,0,0,0,0,0,4.49780873219412,0,0,0,0,5.3972752421068,0,0,0
"ERR1073205",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.51545875096487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.85384759823675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.94300903720447,0,0,0,0,-2.58010949605838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.13605708605862,1.11533466683065,0,0,0,0,4.46888073626406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.35690236101489,0,0,0,0,0,0,0,0,0,0,0,0,0,4.30734481182186,0,0,0,0,0,0,-5.43181020848993,0,0,0,0,0,-5.62527047333098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.10277248902132,0,0,0,0,0,0,0,0
"ERR1073206",0,0,0,0,0,-1.8282160514455,0,-2.29664024729562,0,-3.16656308831657,0,0,0,0,3.97789759502356,0,0,0,0,0,0,0,0,0,-1.80137337853151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.16357684239297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.83920148414011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.47947582467295,0,0,0,3.18559041588675,0,0,0,0,-2.01660030285987,0,0,0,0,0,-2.27486264796871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.99374672631728,0,0,0,0,0,3.49285418311208,0,0,0,0,0,0,0,0,0,0,3.94017768652247,0,0,0,3.12007021501858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.45327062740565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.23370962742103,0,0,0,0,0,0,0,0,0,0,0,0,0,3.86889856404896,0,0,0
"ERR1073450",0,0,0,0,0,0,0,-2.51522827208402,0,0,0,0,0,-2.38565476910129,4.35650315988321,0,0,0,0,0,0,0,-4.13207526940244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.69390247625587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.61616413062232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.95459587786209,0,0,0,-2.28800800354249,0,0,0,0,0,0,0,0,0,0,0,0,4.53132919517712,0,0,-2.36604416796539,0,0,0,0,0,0,0,0,0,0,0,0,-3.96294611025983,0,0,0,0,0,0,0,0,-0.650026067318981,0,0,0,0,0,0,0,0,0,0,4.09810871186808,0,0,0,0,0,0,0,0,0,0,-3.08267174674882,0,0,0,0,0,0,0,0,0,0,0,0,0,5.33934408842606,0,0,0
"ERR1073663",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.5780051625767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.46523592375771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.03844620820643,0,0,0,-2.52968178565298,0,0,0,0,0,0,0,0,0,0,-2.71436609240846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.26274320867855,0,-4.38153737973253,0,0,0,0,0,-2.56571089815275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.60957797519988,0,-4.70141998239365,0,0,0,0,0,-5.70718014349899,0,0,0,0,0,0,0,-4.44394163313375,0,4.51992163935891,0,0,0,0,0,-3.17846930767821,0,0,0,0,0,0,0,0,-0.101368592453062,0,0,0,0,5.50527033119693,0,0,0
"ERR1073918",0,0,0,0,0,0,0,0,-4.18023283225834,0,0,0,0,-2.49910177788427,0,0,0,0,0,0,0,0,-4.32857125258127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.70794859018459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.99812896090654,0,0,0,0,0,-2.62738539779313,4.69030454248423,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.34689357940884,0,0,0,0,0,-5.19291168793381,0,0,0,0,0,0,0,0,0,0,4.55076500004227,0,0,0,0,0,0,0,0,0,0,0,-2.41532266681032,0,0,0,0,0,0,0,0,0,0,0,0,-5.79698972706217,0,0,0,0,0,-2.64098608869381,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.18346157558822,0,-2.87211484876851,0,0,0,0,0,0,0,0,4.57432208770028,0,0,0,0,4.97464884324006,0,0,0
"ERR1074869",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.49444265472072,-5.22778496673189,-2.92448526655645,0,0,0,0,0,-2.81281712632541,0,0,0,0,0,-3.08088234901058,0,0,0,0,0.62104404945089,0,0,0,0,0,0,5.06535706766238,0,4.32050141454328,-5.26713211766663,0,0,0,0,0,4.8719421751955,0,0,0,0,0,0,0,0,0,0,5.33624476062847,0,0,0,0,0,0,0,-2.92226497294357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.245388799031774,0,0,0,0,0,0,0,0,0,0,0,0,0,5.06151140631716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
