"","204516__187101_290053","69825__876_208479","1735__28125_397865","562__90742_1755626","47678__218538","169435__905_351091","33043__84026","39485__45851","28137__294_39483","29389__33987_626937","840__179995","90742__1755626","1623__852_33035","84030__40519_239935","850__1671366","28117__55507","33039__1456_158787","856__1161942","1596__246787","46124__483_1510","1364__1680","41976__33031_301302","905__351091","1264__47770","28111__820_165179","1365__39492","122355__861_1535","853__89014","74426__818_197614","1308__1633","762210__40520_310298","901__536633","36847__384638","823__1303","1352__46228","539__97478","38986__328814","40543__349096","28135__151276_1297750","859__1385387","907__46503","185293__301301","330920__1304_487175","328813__821_310297","1515__371601_387090","623__1265_47246","1537__261299_454154","28125__397865","820__165179","187101__290053","294__39483","1358__29370","851__52226","483__1510","33932__310514","44749__228604","39497__582850","34086__376804","1343__39488_160453","876__208479","852__33035","729__1630_28037","817__33033","40519__239935","40520__310298","861__1535","33031__301302","545533__28108_39486","821__310297","1304__487175","437898__1428_29348","34062__1366_228603","1811976__37734_341225","818__197614","13689__33051","371601__387090","1456__158787","33987__626937","1265__47246","261299__454154","703__28116_33038","39488__160453","1630__28037","28108__39486","151276__1297750","37734__341225","1366__228603","1428__29348","28116__33038","410072__40518_46506","40518__46506"
"ERR475467",0,4.28093020419942,0,-1.99373757586103,0,0,0,0,0,0,0,-3.45325477835052,0,0,0,0,0,0,0,0,0,0,0,0,-3.81303591420713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.43826949666152,0,0,0,0,-6.6043719344916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.22320665076314,0,0,0,0,0,-0.0718338850087847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.28328996324257,-3.95477422474821
"ERR475468",0,0,0,2.16672519818052,-4.16109077166628,0,0,4.36041824499256,0,0,0,-4.75357343113022,0,0,0,0,0,0,0,0,0,0,0,0,-2.47500438824542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.6179703751323,0,0,0,0,4.286833349397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5344577024393,0,0,0,0,0,-0.0736481836977903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.06206924934413,5.30365951615833
"ERR475469",0,0,0,-2.63384899364491,0,1.90421285595358,0,4.71511686800573,0,0,0,-4.56196027645715,0,0,0,0,0,0,0,0,0,0,-4.94587244637243,0,0,-4.82661111151577,0,0,0,0,-2.38756890689798,0,0,0,0,0,0,0,0,0,0,0,0,-2.46792691802477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.13539065331899,0,0,0,4.27457481138578,0,0,0,0,0,-4.15857483862836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.54327344586116,4.4050788257723
"ERR475470",0,0,0,-2.74634994783299,0,-0.470322359024419,0,4.58695338059748,0,0,0,-4.75681764501088,0,0,0,0,0,0,0,0,0,0,-0.218022651585275,0,-2.71378642148124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.4867094569732,0,0,0,0,-4.70041596289603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.30710712313959,0,0,0,0,0,-0.0752511950041009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR475471",5.35413783455938,4.8256253170596,0,-2.88415048927246,0,-2.56209102011871,0,-0.675481320471681,0,0,0,-4.99549518409453,0,0,0,0,0,0,0,0,0,0,-4.43767182046158,0,5.33141134116218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.15992245290064,0,0,-2.58834179664342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.47314623640159,0,0,0,0,0,0,0,0,0,0,-4.48313949914052,0,0,0,0,0,0,0,0,0,0,0
"ERR475472",0,0,0,-5.03698224125995,-4.78637885046169,0,4.8412396237704,4.29135278055035,0,0,4.48705278939515,-0.735125667303302,0,0,0,0,0,0,0,0,0,0,0,0,-3.53898639278826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.12970423960417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0265359029602221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR475473",0,4.92097955841289,0,-5.80643427391768,0,0,0,4.80859573623503,0,0,0,-0.962246655203051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.84205996136898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.92259225124831,0,0,0,0,0,-0.0496222321236762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.17714126094757,5.50297008678464
"ERR475474",4.85642036015494,0,0,-2.88754552390995,0,0,0,4.42055121887507,0,0,0,-5.00137555658013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.68561618390207,0,0,0,-2.65483591885532,0,0,0,0,0,0,0,0,0,0,0,-2.83256092042408,-2.80247548177001,0,-2.55050712507888,0,0,0,0,0,0,0,0,0,0,0,0,-2.40396221688772,0,0,0,0,0,4.59831069721622,-4.65162368014763,0,0,4.85402992139173,4.90613942970857,0,0,0,0,0,0,0,0,4.41760792570305,0,0,4.16378469912544,0,0,0,0,0,0,0,0,0
"ERR475475",0,5.35609136191541,0,-5.71200903245328,0,-2.63780374342861,0,4.80819476632615,0,0,0,-0.36049659858359,0,-2.69564828717182,0,0,0,0,0,0,0,0,4.56881010401373,0,-2.91787179980302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.05390220723128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.66899979271761,0,0,0,0,0,0,0,0,0,0,-0.0117593767242257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR475476",0,0,0,-2.88643833224403,0,0,0,4.09715726261075,0,0,0,-4.99945784436104,0,0,0,0,0,0,0,0,0,0,0,0,-5.85235268011187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.94253380135039,0,0,0,0,-1.72809925505322,0,0,0,0,0,0,0,0,0,0,0,0,0,4.11914270909054,0,0,0,0,0,5.09661804692767,0,0,0,0,0,-0.0342718028008188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.76285250283791,4.7854009087341
"ERR475477",0,0,0,-2.74876600028822,0,0,0,0.156045167143207,0,0,0,-4.76100237061708,0,0,0,0,0,0,0,0,0,0,0,0,-2.58217106685813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.19435788524401,0,-2.85100488093272,0,0,0,0,4.47245148163262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.93808530640233,0,0,0,0,0,-4.17994249604891,0,0,0,0,0,-2.47393399012743,0,0,0,0,0,0,0,4.28497936547231,-2.65248234667971,4.59423419062879
"ERR475478",0,0,0,-3.08504228087814,-4.49464509924999,-2.6300066448296,4.80470729490264,0,0,0,0,-5.34344997397912,0,-2.49168253244571,0,0,0,0,0,0,0,0,-4.55530513308863,0,-2.46980040301844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.27781978258203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.31572074252786,0,0,0,0,0,0,0,0,0,0,-4.10851905364382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.66974987907784,4.62414243406368
"ERR475479",0,0,0,-5.74835775028407,-4.87753305040074,0,0,0,0,0,0,-0.427529670415986,0,0,0,0,0,0,0,0,0,0,0,0,-3.13349985481411,0,0,0,0,0,-2.51835486922462,0,0,0,0,0,0,0,0,0,0,-3.91673892348251,0,0,0,0,0,0,-5.42738095404773,0,0,0,0,0,0,0,0,0,-2.33016969525878,0,0,0,0,0,4.36191858498552,0,0,0,0,0,0,0,0,0,-0.0278315468213223,0,0,0,0,0,0,4.0359723024455,0,0,0,0,0,0,0,0,0
"ERR475480",0,0,0,-2.67263576664103,0,0,-4.47669923354599,0,0,0,0,4.62914093794806,0,0,0,0,-2.32436743345397,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6169854465909,0,0,0,0,-4.2553025314941,0,0,0,0,4.81259418345555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0590419223193608,0,-4.02592249020075,0,0,0,0,0,0,0,0,0,0,0,0,-3.42284506358282,5.92854155656177
"ERR475481",0,0,0,-5.21167386110639,0,0,4.27204463253032,0,0,0,0,-0.808314724803707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.32068775429919,0,0,0,0,0,0,0,0,0,0,0,0,-2.4982098535485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.01954909894911,0,0,0,4.32702639431522,0,0,0,0,0,-0.0982877577300831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.55288025151456,6.1537691088313
"ERR475483",0,0,0,-4.6333867692248,0,0,4.59258745124394,0,0,0,0,0.0379016862637221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.8947931717829,0,0,0,0,0,0,0,0,0,0,0,-2.16549951118004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.45205235418644,0,0,0,0,0,5.01392885093145,0,0,0,0,3.75075517712939,0,0,0,0,0.0174166894748503,0,0,0,0,0,0,4.2470792602698,0,0,0,0,0,0,0,-3.2833234699369,5.68688306761405
"ERR475484",4.60944736309821,0,0,3.0527744393126,0,-2.39414090185113,0,-0.784742455793161,0,0,0,-5.03375241776604,0,0,0,0,0,0,0,0,0,0,-4.14677368248493,0,-5.7700876441243,0,-2.46144935247239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.89702599671498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.26335533873969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR475485",0,0,0,0,-4.23620074984627,0,0,0,0,0,-4.89235535575085,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.96727023400911,0,0,0,0,5.17050629884598,0,0,0,0,0,0,0,0,0,0,5.44779991881951,0,-2.69461374369914,0,0,0,0,0,-5.13946280509058,0,0,0,-4.57024000622504,0,0,0,0,0,0,0,0,-2.28317300341067,0,0,0,0,0,0,0,4.6672079108603,0,0,0,0,0,0,0,0,0,0,0,0,3.95457164437691,0,0,0,0,0,0,0,0
