"","1580__28111_47879","147802__488_143393","425941__53408_421767","376806__28126_671267","511__1547_56810","1010__41276_999468","2173__285_191295","481743__1401_290588","38286__38304_441500","157687__29466_228604","1888__67269_83617","28130__76517_386414","1613__1308_118748","182710__1467_28025","106648__329854_452084","39483__29360_84030","1532__38288_1223514","1311__28118_1746653","28446__1280_1282","310300__29461_137732","202611__28127_1844653","1379__1267_216935","187452__1254_2741","108980__79880_871324","28091__1710_41976","1144673__40216_216778","310514__136857_626932","225991__290309","370979__490189","1034636__588_1670","28454__1113609","28090__271420","28135__477666","70775__34038_1646377","184870__305719","38304__441500","41276__999468","488__143393","28126__671267","76517__386414","28137__1535_589437","53408__421767","1611423__40214_153721","585__39497_40681","34087__196024","38986__33935_179995","245__405446","13690__88688_626931","1467__28025","243924__1453492","471__106654","33029__187491","239974__1661050","1401__290588","901__1506_28125","860__726_43675","36874__1260_1859290","47877__1661032","1547__56810","93064__351091_376804","840__29552_35825","53412__316_454155","80866__293_32013","28127__1844653","67269__83617","33031__470_582","487698__40324_308892","1254__2741","1408__584_102862","28118__1746653","29430__202956","29461__137732","351091__376804","1710__41976","1487956__818_52787","76759__83263","1504__39489","285__191295","48296__487316","40216__216778","216947__423605","38288__1223514","28132__199_39778","52226__626930_1148157","1280__1282","1727__191493","1267__216935","79880__871324","818__52787","905__237258_328814","33034__1827099","1590__483012","33935__179995","29360__84030","79883__84032","35833__208479_358742","136857__626932","34038__1646377","1358__1515_46228","88688__626931","39497__40681","1510__29348_341225","316__454155","29466__228604","588__1670","33039__387661","28128__53363","726__43675","633701__1691_28026","328812__284042_387090","584__102862","40214__153721","309120__1902_218538","1260__1859290","410072__287_251535","470__582","293__32013","1623__138595","199__39778","839__77095_589436","29552__35825","291644__33043_1755626","40324__308892","45254__166486","39484__1584_1630","214856__36848_169435","626930__1148157","237258__328814","317__122355_1463864","53440__189722","78342__82135","261299__574375","1902__218538","729__60133","1308__118748","284042__387090","1691__28026","33043__1755626","77095__589436","287__251535","40518__821_28116","1465754__1264_69825","329854__452084","1535__589437","44749__2139_45851","294__39492_882211","122355__1463864","163202__310297_310298","28111__47879","29348__341225","1515__46228","1463837__39485_301301","29355__817_487175","1633__40520_216816","39029__165179_187327","1264__69825","57706__46503_47678","39492__882211","821__28116","879__820_397865","39485__301301","2088__46506_204516","310297__310298","163877__239935_454154","165179__187327","40520__216816","246787__328813","46503__47678","817__487175","820__397865","1113922__823_28117","1735__78346","239935__454154","1506__28125","46506__204516","33038__59310","1584__1630","36848__169435","823__28117","28136__228603","1582__1597","2139__45851","208479__358742","1303__28037"
"ERR1072724",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.35047591592808,0,0,0,0,0,0,0,0,0,0,0,0,-4.07114370835443,0,-1.92414748697947,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33272120870442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.0605055820404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.51647752979725,-2.36315883838903,0,-4.68490315045805,0,-2.11602594694874,0,0,0,0,0,4.09311117444525,-2.15939202161934,0,-3.66506445024926,0,0.650682240896649,0,0,0,-3.74017669490356,0,0,0,0,0
"ERR1072851",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.21336196362549,0,0,0,0,0,0,0,0,0,0,0,0,3.83365537653977,0,-2.46243929921673,0,0,0,0,0,0,0,0,0,0,0,0,0,4.26506997679768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.86153434734992,0,0,0,4.90701230687526,0,0,0,0,0,0,0,0,0,0,0,-4.95632287721351,0,0,-3.26473131256985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.654680506432,-5.56941793968581,0,0,0,0,0,0,-4.7680910291887,0,0,1.26469537519508,-3.17554844018055,0,0,0,0,0,0,0,-5.50021124028882,0,0,0,0,0
"ERR1073081",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.2839611780615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.59843774196503,0,0,0,0,0,0,0,-2.82288624758225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.95593680291739,0,0,0,0,0,0,0,-2.18212788574576,0,0,-4.88938240479991,0,0,0,0,0,-2.30283083613971,0,-3.27618836086684,0,0,0,0,0,0,0,0,-3.77955636672451,0,0,0,0,-3.98862000943031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.30827055565555,-2.33767092456263,0,0,0,0,0,0,0,0,0,0,0,4.04896481271898,0,0,5.73009268757953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR1073129",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.01585539425743,0,0,0,0,0,0,-2.67425518542287,0,0,0,0,0,0,0,0,-5.22361477113453,0,0,-5.63009336036518,0,0,0,0,-5.18716173059658,4.63194585355693,0,0,0,0,-2.3008621429958,0,0,0,0,0,-0.434710672172348,1.04295100786863,-2.59681347112972,3.98521013288053,0,0,0,0,0,0,0,0,4.49781286977598,-2.5109337895805,0,0,0,0,0,0,0,-4.34906489799489,0,0,0,0,0
"ERR1073205",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.48684907543189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.51801801432498,0,0,0,0,0,0,0,0,0,4.30734894940372,-4.94301317478633,0,0,4.46888487384592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.13605947489262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.43181434607179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.78296976339862,0,0,0,0,0,0,0,0,0,4.82024502613435,-2.84230548760037,0,0,0,0,0,0,0,4.92301751515567,0,4.35690649859676,0,0,0
"ERR1073206",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.8282184402795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.01660269169387,0,0,0,0,0,0,0,0,0,0,0,0,0,3.49285832069394,0,0,0,0,0,0,0,0,0,1.3817651098186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.99374911515128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.45327476498751,0,0,-4.50857705305773,0,3.16656722589843,0,0,0,0,0,0,0,3.97790173260542,0,0,0,0,0,0,0,-0.0712791224735072,0,0,0,0,-3.16357923122698,0,0,0,0,0,0,0,0,5.47947996225481,0,0,0,0,0,0,0,3.12007435260044,0,0,0
"ERR1073450",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.51523066091803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.55060384817378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.34976906375572,0,0,-5.69884065503915,0,0,0,4.57602078475299,-2.7896539652916,0,0,0,0,4.35650729746507,0,0,0,0,0,0,4.83182240342104,0.808014893248939,0,0,0,0,0,0,0,0,0,0,0,-2.36604655679939,0,0,0,0,0,0,0,-4.09811284944994,0,0,0,0,0
"ERR1073663",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.71436848124246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.70142411997551,0,0,-3.17847169651221,-2.52968417448698,0,0,0,0,0,0,0,0,0,0,-2.5780075514107,0,0,-4.38154151731439,0,0,5.50527446877879,-2.82432986851342,0,-5.64802896107431,0,-2.56571328698676,0,0,0,0,-4.46524006133957,4.89188282959957,-2.88285505265357,0,-4.44394577071561,0,0.74282156931964,0,0,0,4.99325142205264,0,0,0,0,0
"ERR1073918",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.41532505564432,0,0,0,0,0,0,0,0,0,0,0,0,4.18346571317008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.84600013496111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.46841847448091,0,0,-5.49950502422965,0,0,0,0,0,0,0,0,0,0,-2.70795097901859,0,0,-2.41346093981367,0,0,0,0.423883843197788,-2.64098847752781,4.69030868006609,0,0,0,-4.1802369698402,0,5.19291582551567,0,0,4.57432622528215,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR1074869",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.92448765539045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.49444504355472,0,0,-2.79317484676449,0,0,0,0,0,-2.81281951515941,0,0,0,0,0,0,0,0,0,0,0,0,0,4.87194631277736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.83792074901951,5.06536120524424,0,0,0,-4.32050555212514,0,0,0,0,0,-2.70440609225587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.68416875608598,0,0,-3.08088473784458,0,0,0,0,-4.99734570071416,0,0,0,0,0,0,-2.92226736177757,0,0,0,0,0.22190325748559,-5.33624889821033,0,0,0,0,0,0,0,0,0,5.06151554389902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
