"","293__821","839__28116_187327","28116__187327","53440__626930","1680__1685_78342","437898__77095_477666","452084__582_39492","305719__29356_328814","216816__329854","1685__78342","33034__2173_328812","208479__291644_454154","1630__40519","83263__80866_180282","481743__1113741","28130__76517_386414","104663__153721_1611423","1260__69825_166486","529__294_587753","29356__328814","582__39492","876__1382_57706","2173__328812","191295__310514_349096","535744__163877_626935","1308__39484","40216__28090_1144673","1311__1687_415956","291644__454154","41976__817_1582","1532__851_1691","38286__33031_184870","1453492__243924_1646377","32013__225991","1406__1265_38986","28454__1113609","626932__13690_56810","253239__850_626931","82135__28126_387661","34038__33035_39486","254__29430_40214","76517__386414","108980__216778","187452__589436","153721__1611423","34087__196024","106654__471_48296","118748__1735_28901","69825__166486","1746653__1280_28025","1401__79880_290588","471__48296","1633__103892_626937","817__1582","310514__349096","243924__1646377","173480__43770_1223514","102862__1408_28135","487316__28026_29466","850__626931","1265__38986","28126__387661","1487956__823_536633","1282__1504_191493","28127__36874","33039__28118_52787","1735__28901","88688__214856_387090","103892__626937","588__1034636","53408__820_1755626","33031__184870","1725__47877","29360__28129_29375","261299__1559_36745","317__33069_47884","29430__40214","46228__1358_39778","585__246787_487175","487698__410072_454155","1408__28135","840__100884","28026__29466","823__536633","216947__47678_239935","308892__40324_83617","43770__1223514","70775__39485_204516","80866__180282","1254__36835","28118__52787","53363__28128_397865","1504__191493","214856__387090","1280__28025","185293__287_165179","216935__516075","35825__45851_1465754","1670__1303_1623","1506__189722_351091","138595__907_633701","33029__43131_1827099","820__1755626","246787__487175","79880__290588","376804__384638","905__376806","33935__729_301301","28128__397865","47879__28111_169435","488__28091_43675","1358__39778","47678__239935","2139__35833","33032__179995_309120","28090__1144673","588932__40518_882211","287__165179","410072__454155","39485__204516","185294__589437","28129__29375","47880__101564","33035__39486","671267__28125_228603","189722__351091","1584__137591","421767__310298_328813","341225__106648_1463837","153151__1264_29348","1613__1465521","1379__28037_44749","40324__83617","45851__1465754","143393__818_310297","28111__169435","1267__1535_33043","13690__56810","907__633701","301__1515_122355","470565__28132_28137","28091__43675","1303__1623","310300__46503_218538","729__301301","43131__1827099","2741__47715","316__171399","29552__36847","1547__39483","1382__57706","860__425941","163877__626935","40518__882211","1687__415956","29524__1148157","851__1691","1510__28117_46506","1902__40215","134605__251535","284042__416016","370979__490189","310298__328813","562__1590_1161942","29461__871324","28108__171685","77095__477666","157687__228604","199__60133","1710__237258","1264__29348","405446__1661032","179995__309120","28446__29370","53412__658457","28037__44749","245__285","33069__47884","818__310297","423605__1463864","106648__1463837","1515__122355","1535__33043","28132__28137","46503__218538","879__291645","28125__228603","1590__1161942","133926__1113922","1559__36745","1472__1844653","28117__46506","294__587753"
"ERR1072724",-5.14075963815737,-2.09248025088086,3.62428210836012,0,0,0,0,0,0,0,0,-2.11602276183363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.66505893346806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.36315565327392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.15461260664462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09310565766406,0,0,4.07113819157323,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.7318985053369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.92414430186436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.68967301008744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33271569192322,0,0,0,0,0,0,0,0,0,0,0,0,-0.642409568111182,0
"ERR1072851",-5.65467498965081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.45350296832252,0,0,-6.01132305461849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.41961967707192,0,4.24959179765566,0,0,0,0,0,-2.21335877851038,0,0,0.499282230444733,0,0,0,0,0,-4.19090421568197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.83364985975857,0,-2.75285545410763,0,0,0,0,0,0,-2.46243611410163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.17554525506545,0,0,0,0,-4.76808551240751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.26506446001649,0,0,0,0,0,0,0,0,0,0,0,0,5.50020572350762,0
"ERR1073081",0,0,0,0,0,0,-2.82288306246714,0,0,0,0,0,0,0,0,0,0,-1.89150504694728,0,0,4.88937688801872,0,0,0,0,0,0,0,0,-3.30826737054044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.27618284408565,0,0,0,0,5.73008717079833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.95593128613619,-2.30282765102461,0,-3.59843222518383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.98861449264911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.58285518246897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.18212470063065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.77955084994331,0,0,0,0,0,0,0,0
"ERR1073129",-5.39727386290746,-2.51396947249521,4.35432285503883,0,0,0,-2.46808751838403,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.27485297936772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.61266249515693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.30085895788069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.725801901358553,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.71906784198234,0,0,3.98520461609934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.67425200030776,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.70956365154007,0,0,0,-2.51093060446539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.63194033677574,0,0,0,0,0,0,0,0,0,4.34905938121369,0
"ERR1073205",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.51545795468376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.48684589031678,0,0,0,-4.35690098181556,0,0,0,0,0,0,0,0,2.25582122650189,-2.85384680195565,0,0,0,0,0,0,-5.91902286806102,0,5.53043915456469,0,0,0,0,0,0,0,0,0,0,4.92301199837447,0,0,0,0,0,0,0,0,-4.94300765800514,0,4.30734343262253,0,0,0,0,0,0,0,-0.61156931993744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.58010869977728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.46887935706472,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR1073206",-3.86889718484963,-2.2748618516876,3.94017630732314,0,0,0,0,0,-3.16656170911723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.80137258225041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.12006883581925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.99374593003617,0,0,0,0,0,0,-1.839200687859,0,0,0,0,0,0,-3.16357604611187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.45326924820632,0,0,0,0,0,0,0,0,3.18558903668742,-5.47947444547362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.01659950657876,0,0,0,0,-2.29663945101451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.49285280391274,0,0,3.97789621582423,0,0,0,0,0,0,0,0,0,0,0
"ERR1073450",-5.33934270922673,-2.61616333434121,4.53132781597779,0,0,0,-2.78965078017649,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.83181688663984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.16494350512338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.48184295395883,0,0,-4.06503740812493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.28800720726139,0,0,0,0,-2.38565397282019,0,0,-2.51522747580292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.36604337168428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.9629447310605,0,0,0,0,0,4.35650178068387,-4.13207389020311,0,0,0,0,0,0,0,0,4.09810733266875,0
"ERR1073663",-5.50526895199759,0,0,0,0,0,0,0,0,0,0,-2.56571010187165,0,0,0,0,0,-2.52968098937188,0,0,0,0,0,0,0,0,0,0,-4.44394025393442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.38153600053319,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.88285186753846,0,0,0,0,0,0,0,-5.53869197952567,0,0,0,0,0,0,0,-2.5780043662956,0,0,0,0,4.99324590527144,0,0,0,-2.60957717891877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190458709624068,-4.46523454455838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.51992026015957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.03844541192533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.26274182947921,0
"ERR1073812",-5.31321668726707,-2.29345393577468,3.97237874158056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.93197921531387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.98574005852502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.35586822196928,0,0,0,0,0,0,0,0,0,0,0,-2.39147773626496,0,0,-1.44414512552995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.08048345638775,0,0,0,0,0,4.14216094438072,0,0,0,0,0,0,0,0,-2.22261733993543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.0841065421015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.84968615855175,0,0,0,0,0,0,0,0,0,0,0,0,3.60977841930649,0
"ERR1073918",-4.97464746404073,-5.04084235621058,0.370532167783933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.98787807554044,0,0,0,0,0,0,0,-2.99812816462543,0,0,0,0,0,0,0,0,-2.70794779390349,0,0,0,0,0,0,0,0,0,0,0,-2.41532187052921,0,0,-1.22266763936189,5.19291030873448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.69030316328489,0,0,0,0,0,-4.18346019638889,0,0,0,0,0,0,0,0,0,0,-2.49910098160316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.32856987338193,0,0,0,0,0,0,0,0,0,0
