"","1681__817_84026","28111__169435_185294","39492__821_310298","1465754__35833_187327","817__84026","1515__650643","28447__29348_218538","31971__818_46506","29363__88431_214856","261299__454155","821__310298","1304__216947_626932","39497__310297","78345__1686_762212","1343__2088","216947__626932","729__1541","1630__2139","536633__40520_216816","225004__387090","154046__1267_44749","28125__47678_228603","29348__218538","1689__36847_574375","818__46506","151276__246787","1547__1492_28026","562__103892","45851__165179_308994","169435__185294","745368__204516_357276","37734__39485_43131","1303__1735_89014","28118__626937","39777__29466_652716","143393__508460","88431__214856","876__321327","1532__39490","40520__216816","852__645466","1307__208479","905__544645","901__626931","28037__1322_1623","47678__228603","33038__74426_397865","1265__1504_1161942","310514__1308_454154","35785__1264_328814","1492__28026","35833__187327","1632__1823","29533__164393","28025__288965","39484__1535_40518","294__28136","76759__105841","840__314275","1261__1358","1267__44749","189722__40519_166486","423605__820_28116","204516__357276","1352__28117_46503","1322__1623","36745__33043_234908","1686__762212","1520__29367_341225","29466__652716","39485__43131","1535__40518","36847__574375","1504__1161942","1735__89014","28135__180311","52226__633701","39488__39491_351091","1416614__47246_1590651","1264__328814","589437__839_437898","165179__308994","74426__397865","291644__301301_472113","29367__341225","1308__454154","90728__301302_487175","33043__234908","28117__46503","40519__166486","820__28116","839__437898","39491__351091","47246__1590651","371601__853_1680","301301__472113","301302__487175","823__1297750_1755626","853__1680","1297750__1755626"
"ERR1637157",0,0,-5.75937610803678,0,0,0,0,-2.74856204732239,0,0,0.104015006899469,0,0,-2.72286729482269,0,0,0,0,-2.73864514295558,0,0,0,0,0,-4.76064911371791,0,-2.80241243883618,0,0,0,-2.66354254940816,0,0,0,0,0,0,0,0,-4.7434725315008,0,0,0,0,0,0,0,0,0,0,-4.85392072782727,0,0,0,0,0,0,0,0,0,0,0,-2.46964874590049,-4.61339102369647,0,0,0,4.71614449690053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.27755710474841,0,0,0,-3.00518871201034,0,0,0,5.20513953553438,0
"ERR1637158",0,0,-2.98707895671422,0,0,0,0,0,0,0,5.17377251924887,0,0,2.48936028301529,0,0,0,0,0,0,0,0,0,0,0,0,-3.32421834731806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.75771507300752,0,0,0,0,0,0,0,0,0,0,0,-4.99309985044152,0,0,0,0,-4.50657668235354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.64438774284603,0,0,0,0.255319636616688,0,0,0,2.05057025702993,0,4.58021392552171,0,4.86778420240254,0
"ERR1637160",0,0,-1.89670061496197,0,0,0,-3.14018648608452,0,0,0,3.28518183186127,0,0,0,0,0,0,0,0,0,0,0,-5.43896253913956,0,0,0,0,0,-3.73509678055251,0,0,0,0,0,-2.19610610957519,0,0,0,0,0,0,0,0,0,0,0,0,0,1.72395651208959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.98343661386953,0,-1.8396436136759,0,0,-3.80376736059665,0,0,0,0,0,0,0,0,0,0,0,6.46937739510389,0,0,0,-3.41010680809279,0,3.18635620670627,3.43541298881439,0,0,0,0,0,-2.44140155407499,0,0,0,4.22863153333549,0
"ERR1637161",0,0,-2.45836400195592,0,0,0,5.30753888614825,3.8640923422412,0,0,-4.25801135488601,0,0,0,0,0,0,0,-2.38798464967946,0,0,0,0,0,0,0,-2.45569888916533,0,0,0,0,0,-2.11334011092305,0,0,0,0,0,0,4.13611074093939,0,0,0,0,0,0,0,0,0,0,-4.2533952441248,0,0,0,0,1.41221525437592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.65917646211156,0,0,-3.66041244579197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.55169582611777,0,0,0,6.1517176238663,0
"ERR1637162",0,0,0,0,0,0,0,0,5.60549480291529,0,0,0,0,5.27546985327825,0,0,0.0147450645820133,0,-2.66572887286684,0,0,0,0,0,0,0,-5.57855462215477,0,0,0,0,0,0,0,0,0,0,0,0,-4.61717784700868,0,0,0,0,0,0,0,0,0,0,0.1235022906525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.21529214262766,0,0,0,5.5690493522081,0
"ERR1637163",0,0,0,0,0,0,0,0,0,0,0,0,0,1.16953790046504,0,0,0,0,-2.49888657589209,0,0,0,0,0,0,0,-2.90750475779389,0,-2.46504006571014,0,0,0,-2.43489233654443,0,0,0,0,0,0,-4.32819851179692,0,0,0,0,0,0,0,0,0,0,-5.03594596374726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03061562898642,0,0,0,0,0,0,4.21735723785505,0,0,0,0,0,0,-4.26957463650288,0,0,0,0,0,0,0,0,0,0,0,0,-5.83151386958896,0,0,0,1.39849295210355,0
"ERR1637164",0,0,0,0,0,0,0,5.18490841046029,0,0,0,0,0,5.00249308452652,0,0,0,0,-2.28017354466808,0,0,0,0,0,0,0,-0.247382566464332,5.39593708627187,0,0,-2.97039834219468,0,0,0,0,0,0,0,0,-3.94937642943954,0,0,0,0,0,0,0,0,0,0,0.0723392244053482,0,0,0,0,0,0,0,0,0,0,0,0,-5.14488084739955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.60206077113517,0,0,0,4.50690145998797,0
"ERR1637165",-2.59348931947166,0,0,0,-4.49205527021215,0,0,0,2.91125358765502,0,0,0,0,2.51267388789128,0,0,0,0,-2.57481348186674,0,0,0,0,0,0,0,-2.27043817946263,0,0,0,0,0,0,0,0,0,4.39516458492645,0,0,-4.45970777060652,0,0,0,0,0,0,-2.45910055807089,0,0,0,-3.93251428227346,0,0,0,0,0,0,0,0,0,0,0,-2.32995733931099,0,0,0,0,4.23283227233822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.25928710749977,0,0,0,0,0,0,0,4.03560449115463,0,0,0,0,0,0,0,0,0
"ERR1637166",0,0,-3.07775663101037,0,0,0,0,-2.91516678639728,0,0,5.33083085824198,0,0,0,0,0,0,0,0,0,0,0,0,0,5.04921698657737,0,0,0,0,0,-2.41657305198121,0,-2.57786653628858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.87898321141416,0,0,0,0,0,0,0,-2.69317716943867,-4.18562730623324,0,0,0,0,0,0,0,0,0,0,-4.46499581598342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.66471969125231,0,0,0,-2.98701679474872,0,0,-2.4761369467606,5.17366485156631,4.28879499828783
"ERR1637168",0,0,0,0,0,0,0,0,0,3.85075490248118,0,0,0,-0.157198802093277,0,0,0,0,-2.46722796400113,0,0,0,0,0,0,0,-3.24694433648175,0,0,0,0,0,0,0,0,0,0,0,0,-4.27336418750468,0,0,0,0,0,0,0,0,0,0,-5.62387256013441,0,0,0,0,-2.94661912929594,0,0,0,-4.05543928971106,0,0,0,0,0,0,0,0.0807555792431427,0,0,0,-5.10369404249493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.11917461735699,0,0,0,3.67051810737264,0
