"","1582__44749","36848__487175","33034__329854","83617__246787","53440__287_28111","137732__1510_1465754","28117__179995","1504__39496","287__28111","253239__189722_454154","1510__1465754","452084__293_225991","421767__1547_28118","47877__216947","29430__40214","189722__454154","376805__41976_376804","1613__118748","43263__251535_479117","43770__1827099","587753__529_36835","173480__28026_29466","2741__1597_47715","239974__45067_370979","1280__28025","1506__1311_423605","1467__37734_182710","308892__310300_357276","1661032__1559_36745","840__28038","999468__317_28901","1453492__28454_243924","254__1515_69825","53408__185294","34087__470_511","1580__582_33038","1408__387661","1844653__1522_187452","83263__2173_76759","1465521__36874_43131","59310__1264_1535","386414__28130_76517","529__36835","136857__349096_1661050","29461__29375_291644","1223514__821_187327","37734__182710","441500__38304_39490","293__225991","658457__1113609","1472__851_405446","28026__29466","726__729_301301","56810__13690_305719","202956__28090_271420","1547__28118","1121298__1034636_1646377","1487956__191493_626933","516075__588_410072","33935__905_28446","39483__358742","88688__1307_28126","1597__47715","187491__2139_184870","41976__376804","82135__78342_626937","1401__290588_1121830","1515__69825","1571__33032","1859290__33029_133926","77095__28129_146817","32013__80866_101564","1681__1308_310297","317__28901","1633__76853_103892","582__33038","876__901_29370","40324__39492_218538","48296__28116_39485","821__187327","1264__1535","47884__33069_166486","28091__860_425941","1311__423605","196024__490189","349096__1661050","29375__291644","2173__76759","13690__305719","588__410072","1522__187452","1010__29552_626931","1352__1755629","729__301301","38304__39490","115979__1260_535744","33039__1358_38986","45067__370979","191493__626933","78342__626937","1559__36745","180282__290309","905__28446","28454__243924","470__511","199__60133","481743__1113741","1308__310297","310300__357276","36847__169435_261299","471__234835","1282__39489","39486__839_39497","1902__400390","251535__479117","33069__166486","245__191295","76853__103892","487316__645466","1307__28126","1670__585_216935","202611__328812_536633","29354__106654","28090__271420","1463864__1735_40519","33029__133926","301__46503_47678","39492__218538","2139__184870","28129__146817","1034636__1646377","28116__39485","290588__1121830","36874__43131","57706__84032_309120","80866__101564","1265__626932","851__405446","1660__288965","1254__39482","46867__387090_882211","237258__1303_1590","633701__29348_40520","171685__52226_291645","861__40518_122355","29552__626931","745310__79880_358743","488__43675_328814","901__29370","547163__1680_28037","328812__536633","39645__183417_437898","1727__46228","884684__818_216816","157687__1685_39778","1260__535744","102862__584_589436","1358__38986","169435__261299","839__39497","1113709__817_46506","316__239935_397865","860__425941","40215__84030_454155","1735__40519","585__216935","387090__882211","470565__28125_28132","84032__309120","40518__122355","46503__47678","28130__76517","1303__1590","574930__143393_228603","850__823_204516","52226__291645","43675__328814","1680__28037","1113922__310298_626930","818__216816","1671366__294_1623","238__1630_214856","79880__358743","270498__907_208479","183417__437898","1685__39778","29348__40520","671267__33043_351091","39777__52787_1161942","584__589436","817__46506","28125__28132","1382__35833_45851","239935__397865","84030__454155","310298__626930","823__204516","143393__228603","1630__214856","106648__820_1755626","907__208479","294__1623","52787__1161942","33043__351091","35833__45851","100884__165179_328813","820__1755626","165179__328813"
"ERR1072672",0,0,0,-3.2323937517868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.13514792313958,0,0,0,0,0,0,0,0,0,0,0,0,-1.69761129286783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.0075151105959,0,0,0,3.69818468455293,0,0,0,0,0,0,0,0,0,0,0,-2.94034901074977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.47711816851435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.01429113934271,-1.60418719628229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.822473072078583,0,0,-2.7785337288124,0,0,0,0,0,-4.81945937269963,0,0,0,0,0,0,0.443467243175701,0
"ERR1072724",0,0,0,0,0,0,3.74016106391172,0,0,-2.11601692239139,0,0,0,0,0,-3.66504881925742,-2.35046689137073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.96801312148708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.07112807736258,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.09247441143862,5.14074952394672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.62427199414948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.92413846242212,0,0,0,0,0,0,-2.53027833414097,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.15460676720238,0,0,0,0,3.33270557771258,0,0,0,0,0,0,0,0,0,0,-4.3825706320229,0,0,0,0,0,-3.73188839112625,0,0,-2.36314981383169,0,0,0,0,0,0,4.09309554345341,0
"ERR1072787",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.77502255127414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.80648005095623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.19692073144602,0,0,0,0,0,0,0,0,0,3.85263049460855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.412746153205,0,0,0,0,0,0,-2.21938088678327,-2.83878965245867,0,0,0,0,0,0,0,0,3.8051783270659,0,0,0,0,0,0,0,0,4.3951603117632,0,0,0,0,0,0,0,0,0,0,-3.84408045725588,0,0,4.91692791005921,0,0,0,0,0,-5.07548674820921,0,0,0,0,0,0,-0.267384142050307,0
"ERR1072851",0,0,0,0,0,0,5.50019560929698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.2647222880125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.65466487544016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.46243027465939,0,0,0,0,0,0,0,-2.41961383762968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.26505434580584,0,-2.45349712888028,0,0,0,0,0,-2.21335293906814,0,0,0,0,0,-4.19089410147132,0,0,0,0,-4.24958168344502,-6.01131137573401,0,0,0,-3.83363974554792,0,-2.75284961466539,0.499282230444733,-4.76807539819686
"ERR1073081",0,0,0,0,0,0,0,0,0,0,0,0,0,3.59842211097319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.8228772230249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.28395215350415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.88936677380807,0,-2.18211886118841,0,0,0,-1.89149920750504,0,0,0,0,0,0,0,3.95592117192555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.276172729875,0,0,0,0,0,0,0,0,0,0,0,-3.77954073573267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.33766190000528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.3082615310982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.04894918172714,0,0,0,5.73007705658769,0,0,0,0,0,0,0,0,-2.30282181158237,0,0,0,0,0,0,-3.98860437843846,0
"ERR1073113",0,0,0,0,0,0,2.51460783639058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.15368177822326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.79079865933185,5.46233707078684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.10175426408899,0,0,0,0,0,0,0,0,0,0,-1.53318769183496,0,-1.44576181287957,0,0,0,0,0,0,0,0,-1.7466204921275,0,0,0,0,0,0,-2.2555518954607,0,0,0,0,0,0,0,0,2.50413291555031,0,0,0,0,0,0,0,0,0,3.02523543390578,0,0,0,0,0,0,-2.6555589797974,-1.75527634239311,0,0,3.90673048204621,0,0,0,0,0,0,0,0,-2.10281026997051,0,0,0,-3.04022780634853,0,0,-3.64217422626655,0
"ERR1073129",0,0,0,0,0,0,4.34904926700305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.11611167819751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.46808167894179,-4.81481675149142,5.39726374869682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.27484286515707,0,0,0,0.369118238939499,0,0,0,0,0,0,0,0,-2.7190620025401,0,0,0,-2.67424616086552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.70955353732942,0,0,-4.63193022256509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.61265081627245,0,0,0,0,0,0,-0.725801901358553,0
"ERR1073205",4.35689086760491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.30733331841188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.24427088758927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.94299754379449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.58010286033504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.84229646304302,0,0,0,0,4.46886924285408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.92300188416383,0,0,-5.91901118917654,0,0,0,0,0,0,-0.61156931993744,0
"ERR1073206",3.1200587216086,0,-3.16655159490659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.29663361157227,0,0,0,0,0,0,0,0,0,0,0,0,-2.23370299169768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.97788610161358,0,0,0,0,0,0,0,0,0,0,-2.27485601224536,3.86888707063898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.83919484841676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.94016619311249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.01659366713652,0,0,0,3.18557892247677,0,0,0,-3.16357020666963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4928426897021,0,0,0,0,0,0,0,0,0,0,0,0,0,5.47946433126297,0,0,0,0,0,-1.99374009059393,0,0,0,0,0,0,-3.45325913399567,0
"ERR1073394",0,0,0,0,0,0,4.53448460813791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.31985328898568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.03432535745831,5.75015457019784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.3925362105341,0,0,0,0,5.25560568581238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.87280522006613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.14399427559337,0,0,0,-2.19123244052291,0,0,0,0,4.97584460140362,0,-2.28915325274201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.79532591817884,0,-3.96492974006072,-6.32094357978786,0,0,0,0,0,0,0.708021479944516,0
