,D001714
487698__39778_43675,0.5275924511500711
309120__28116_882211,0.1699173679750381
840__588_516075,-0.03340499922488861
28129__84032_122355,-0.07392037761427968
1504__1827099,-0.12138181721339095
28116__882211,0.05088935105711141
43770__39492_40520,0.11360021797472206
33034__317_582,0.3289417901984148
84032__122355,-0.1977917631746116
163202__410072_487175,0.3388181912749685
1308__626937,0.03449808004292137
28125__179995,0.07254133135081622
839__905,0.15182172126090468
28901__48296,-0.057156910061827125
83263__76759_376804,0.8135643512546077
39492__40520,0.007390107342411563
28136__52226_633701,-0.2163627656089332
39029__166486_626930,-0.05540914438549998
317__582,0.09774871383396548
47879__84030_349096,0.2822594297021017
53440__1590_387661,0.08815104443354936
253239__46506_69825,0.07212797974715254
410072__487175,-0.03962712131260688
1597__2741_47715,0.2482583260797086
452084__29375_39484,-0.3718642358474161
39778__43675,0.15214794536232262
282685__292_762210,-0.2294652590652639
46228__40519_79880,-0.14015684025321806
76759__376804,-0.17006424082444271
587753__529_101564,-0.24423749887271784
29360__1547_39483,0.6920851922163578
52226__633701,-0.13025921002924595
166486__626930,0.18462742401757928
202956__216778_1144673,0.06905952636061304
46506__69825,0.017330960846121745
305719__1512_454155,0.3132767848496412
671267__187452_376805,-0.2526863754837649
1590__387661,-0.1696979185382961
84030__349096,-0.17131910609320952
386414__28126_310514,-0.0598033062207971
80866__180282,-0.14937142810580545
585__28454_1113609,-0.1278192450754262
1010__574375_999468,0.6623956043739948
33069__47884,-0.1148518125798921
29466__729_536633,0.14260023213843084
59310__310300,-0.11932028340485305
29375__39484,-0.1541608554474789
79883__28026_33031,-0.06475935773207872
290309__33029_33032,0.14381542594329286
191295__36874_626932,-0.3728845920127309
28454__1113609,-0.0
441500__38304_291645,0.2751341470425099
726__1379,-0.07261219682728381
173480__1522_36835,0.4712102934224452
1453492__40214_243924,-0.21207322217358626
37734__246787_589436,-0.058444015081881025
589437__28137_185294,0.00329087687057717
153721__254_1611423,0.2834312289824199
34087__511_196024,0.015157444198606868
40519__79880,0.2689640093761142
45254__39497_328814,0.4343929035950529
216778__1144673,0.17388103555369272
40216__28090_106648,0.22446914641451016
1467__850_437898,-0.1427269463111734
574375__999468,0.0492388907165661
588__516075,-0.39498114698146
1512__454155,-0.16427508690334106
1401__84026_290588,0.1928249798831151
729__536633,0.0058602543329236995
1661032__47877_47880,0.26173019345856924
2139__44749_261299,-0.08902069361133191
32013__293_169435,0.7009870643480874
28132__1303_470565,0.005114733387934781
1633__28446_103892,0.272795246611536
1034636__1304_47770,0.2872523679470853
67269__285_83617,8.30575905326698e-06
104663__189722_454154,-0.13493660629088566
28026__33031,0.06681402834705624
28091__488_1646377,0.1749556808938704
13690__535744,-0.19537097486627766
216816__1680_1685,-0.06572984552336245
1487956__1506_1725,0.009605126673633665
40214__243924,-0.3838299747303853
246787__589436,-0.10744724006925464
308892__1735_137732,-0.14939482249837774
138595__907_1630,-0.0065183213751753505
511__196024,0.6882591054649936
187452__376805,0.10015627091538734
39497__328814,0.2996728292701237
28126__310514,0.2116424946709566
33039__29430_52787,-0.3520148565681173
38304__291645,-0.16723489919285728
39490__818_28117,0.00797288338714082
29370__36847,-0.3065130976289226
1582__191493,-0.07597330561066264
202611__901_1510,0.1449736701294644
36874__626932,0.4744983698169222
183417__584_28118,0.35123146013644
1547__39483,0.20538302592377652
405446__1264_29348,-0.03921664984117523
488__1646377,0.2254356625742513
53408__328812_1661050,0.27480466744783194
28090__106648,-0.1944756128673309
44749__261299,-0.07757663476289325
425941__28037_291644,0.17658808132866138
850__437898,0.136740570341897
358742__1408_197614,0.16613073523623034
293__169435,-0.5016875659250126
28137__185294,-0.35522155269928657
28446__103892,0.07712513621906009
189722__454154,0.1577505779275041
1352__38986,-0.07962789020549424
254__1611423,0.3087748974109621
36848__288965,0.14715104563549888
137591__817_351091,0.04719003698524417
84026__290588,0.1367383905271664
1571__1358_626931,0.12697895807697926
1689__33038_301301,0.07960672851271212
1735__137732,-0.17631690591306867
184870__1260_28128,0.07969697238654333
421767__216947_626933,-0.03738326594823154
