"","820__371601","397865__349096_357276","384638__39777_39778","821__29466","291644__310298","1311__40520_47678","349096__357276","33031__471189","1358__861_39950","47884__86185","52242__1604_240427","1604__240427","35701__264463","28137__1383_470565","173480__70995_257003","1282__33934","1599__309120_576610","652716__425941_633701","76122__1134563","1383__470565","40681__427918","33035__1671366","139208__217168","46506__218538","536633__33043_341225","285__729_28037","623__28901_62322","47879__839_454154","1613__1596_520080","1465754__166486_301302","39777__39778","70995__257003","31971__84031_86668","1496__823_208479","28446__169435","1402__587753","1379__187327_487175","907__39029_52227","40520__47678","47877__29370_1042156","39491__40519","390877__29363_147207","55969__29367_31998","1598__33959","1596__520080","1338__1356","39486__88233_255723","85338__114702_328813","28135__60519_180332","122355__39496_1661059","78345__1680_351091","28901__62322","83661__1735_28447","729__28037","839__454154","1515__1535_74426","1307__1322_1532","39488__1547_84112","37734__1352_33039","823__208479","861__39950","1265__36847_1002672","29363__147207","261299__1630_28141","1492__1559","1343__1308_44749","101564__165179_1661032","29367__31998","114702__328813","852__850_1512","166486__301302","187327__487175","1113588__1303_1078480","1680__351091","1590651__851_39484","43305__39492_180311","1352__33039","1535__74426","745368__52226_89014","1349__840_1304","165179__1661032","1322__1532","1547__84112","36847__1002672","40518__46503_69825","387090__573_34062","818__310297","1735__28447","29370__1042156","1308__44749","850__1512","851__39484","309120__576610","60519__180332","89093__582_1428","39496__1661059","1630__28141","33043__341225","28026__376806","840__1304","1363__2751","39492__180311","358742__860_115979","35785__856_33038","1522__301301","52226__89014","1303__1078480","89152__1590_1297750","28125__853_204516","71667__562_1502","573__34062","425941__633701","582__1428","84031__86668","39029__52227","46503__69825","410072__817_1755626","88233__255723","856__33038","1590__1297750","562__1502","860__115979","853__204516","817__1755626","39485__97478"
"SRR1055765",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.22991574037814,0,0,0,-2.29193071480163,0,0,0,0,-2.31818986149567,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.18274322342594,0,0,0,0,0,0,4.01522262170157,0,0,0,0,0,0,-2.34547065997183,0,-3.96974044546409,0,0,-2.16132589464758,0,0,-3.78062216285039,0,0,0,0,0,0,0,0,0,0,0,0,-4.06247435073332,-3.74352626124386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.8664382617426,-2.36049803842439,0,0,0,3.86232735893251,0,0,0,0,0,0,-4.08850253371772,0,-4.96481670609761,0,3.81804432575798
"SRR1055766",0,0,0,0,0,-2.6095075943396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.17227074989526,0,0,0,0,0,0,0,0,-2.96324761422417,0,0,-2.93932915910479,0,4.51979973613302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.13249542324352,0,0,0,0,0,0,0,0,0,0,0,-5.0910674437382,0,0,-2.6593965531975,0,0,0,0,0,0,0,0,0,-2.88030177507562,0,0,0,0,0,0,-4.60620994761162,0,0,0,0,0,0,0,0,0,0,-2.19196685844495,0,0,0,0,0,-2.40515875438974,0,0,0,0,0,0,4.9888290155618,-3.1885198143244,0,0,0,0,-3.7965979673338,-4.1658571628721,-5.52267831934995,0
"SRR1055768",0,0,0,0,0,-2.95654900717814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.12089309549986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.6577540347703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.60336502224334,0,0,0,0,0,0,0,0,4.15907166873029,0,0,0,0,0,0,0,-2.18829115781796,0,0,0,0,0,0,0,-2.30642325103103,0,0,0,0,-2.18501072832891,-3.30311399156758,0,0,0,-3.79023146709444,0,0,0,-2.52723523376129,0,0,3.78454959654874,0,-3.99484225454394,-5.72116125658669,-4.37729982755277,0
"SRR1055770",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0530156568287132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.18770634671593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.49989778434228,0,0,0,0,0,0,-4.08072503081438,0,0,0,0,0,0,-3.78921854455288,0,0,0,0,0,0,0,0,0,0,6.06200078377856,0,0,0,0,0,0,0,0,0,0,0,-2.34034960412858,0,0,0,0,0,0,0,-2.11160463789512,0,0,0,0,-2.34361881635149,0,0,0,0,-4.05360442182441,0,0,0,0,0,0,4.05926686349522,0,-3.65740651833243,0,0,0
"SRR1055771",0,-3.08473331724928,0,0,0,5.81872552986563,-5.34291483327624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.45448895174599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.25129957104052,0,0,0,-2.52572186928865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.37467860339579,0,0,0,0,0,0,0,0,0,0,0,-2.20732325424711,0,0,0,0,0,0,0,-4.69749451630213,0,0,0,0,0,0,0,0,0,-3.82319602508427,0,0,0,-3.05264124727641,0,0,0,0,0.366001651364551,0,-5.28732973756317,0
"SRR1055772",0,0,0,0,0,-2.32160659664598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0211405805779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.40005867263816,0,0,-2.23580092190917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.19524431739302,0,-3.87252079235601,-4.15702356215561,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.80227469275156,0,0,-2.29762887085477,0,0,0,0,0,0,0,-2.26988177859093,0,0,0,0,-2.3044583584403,-3.07872223552877,0,0,0,-3.97960994125758,0,0,0,-3.25066201990507,0,0,3.99143896074537,0,-3.93155056769431,-5.33250333432786,-5.63031177671005,0
"SRR1055773",0,5.90886680345512,0,0,0,-2.24800665602575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.48888845021408,0,0,0,0,-3.89366174398961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.06880453946017,4.31088125014215,0,0,0,-2.48253983335156,0,0,0,0,0,0,0,0,0,0,0,0,-5.31532538084303,0,0,0,0,0,0,0,-2.32125725682327,0,0,0,0,0,0,0,0,0,0,0,4.29988512317847,0,0,0,0,0,-2.31700078274537,0,0,0,0,0,-3.2761835289929,0,0,0,0,0,0,4.02053550625586,-2.8317608310462,0,0,0,0,-4.01316307689184,-5.674516327136,-4.90475363425548,0
"SRR1055775",0,-3.14043763817248,0,-4.49658795947196,0,0,5.43939754731634,0,0,0,0,0,0,0,0,0,0,-0.698854679463542,0,0,0,0,0,0,0,0,0,-2.62468097583371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.54608080380345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.28769337466849,-2.67231130190385,0,0,-1.16025909789786,0,0,0,0,-2.62540799463907,0,0,3.96240115706453,0,0,-4.62857894853801,-4.54734003731239,0
"SRR1055776",5.49123915874499,0,0,0,0,-2.5372240524769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.21861760346267,0,0,0,0,0,0,0,0,0,0,0,0,-2.33431196382166,0,-4.3946009690758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.043146922055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.32215981617703,0,0,0,0,0,-3.22594369823295,0,0,0,0,0,0,0,-2.9123312165801,0,0,0,0,-4.02209878491342,-5.58749838769611,-5.04430563558562,0
"SRR1055777",3.72418836427534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.17533742265022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.07566517346393,0,0,0,0,0,0,0,0,0,0,0,0,3.76779493963611,0,0,0,0,-3.5951575399408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.29950772148803,0,0,0,0,0,-3.46543305946205,0,0,0,0,0,0,0,-2.98875332495819,0,0,0,0,-3.9828642060142,-6.00230612921712,-5.176672610118,0
