"","40520__626937","1504__1282_39489","39492__351091","28125__48296_397865","39484__28111_633701","582__187491_1859290","48296__397865","840__29375_246787","28111__633701","29375__246787","39497__216778_1144673","1428__133926_163877","28038__1687_508460","83263__80866_180282","290309__32013_225991","45067__1717_40681","33964__28117_187327","626932__28901_79880","28127__1630_40518","1264__410072","376806__53408_1661050","40519__46503_47678","309120__536633","305719__585_310514","43770__839_1646377","1010__76759_999468","671267__1510_387661","32013__225991","1113609__28454_243924","28117__187327","191295__29466_43675","147802__1827099","173480__38986_574375","1467__36848_184870","28126__216816_349096","153721__626933_1611423","1267__28132_470565","239974__33029_33032","729__40214","860__287_293","34087__511_196024","202956__28090_106648","1630__40518","588__471_516075","1582__820_28116","1401__202611_290588","46503__47678","1661032__1352_47877","56810__907_261299","28901__79880","405446__584_33069","308892__1408_1522","839__1646377","13690__37734","80866__180282","1487956__1725_191493","40216__254_29430","70775__1358_169435","100884__1559_36745","216816__349096","585__310514","76759__999468","1597__1308_69825","39486__166486_301301","33034__1260_33031","1510__387661","28135__28118_216947","187452__425941","1680__1685_589436","1532__28137","626933__1611423","287__293","535744__1755629","38304__823_46506","1034636__285_83617","216778__1144673","36835__39490","182710__218538_239935","471__516075","28129__45851_179995","317__47884","588932__33043_882211","183417__216935_1465754","907__261299","53363__36874_43131","108980__122355_310297","511__196024","291644__328812","28091__488_41976","1121298__818_821","28454__243924","487698__40324_47880","584__33069","850__291645","38986__574375","1308__69825","820__28116","36848__184870","28090__106648","202611__290588","1352__47877","102862__29356_228603","1571__562_143393","1685__589436","1358__169435","29466__43675","358742__1512_208479","53408__1661050","34038__1303_328814","1689__817_1735","1406__288965","1260__33031","28446__29370","823__46506","1547__39483","136857__1280_28025","218538__239935","33043__882211","876__1506","28132__470565","1304__29461","316__301_251535","45851__179995","1379__28037_387090","1408__1522","166486__301301","254__29430","82135__52787_78342","57706__1623_2173","1725__191493","122355__310297","1710__39645_105229","28118__216947","818__821","185293__189722_310298","33029__33032","216935__1465754","488__41976","103892__33038_204516","547163__745310_1113922","137732__1535_39485","33935__479117","2741__47715","88688__574930","470__626935","901__454155","817__1735","1717__40681","1254__1681","153151__415956","386414__1515_28128","133926__163877","1687__508460","40324__47880","29524__1148157","300__1691","1512__208479","851__237258","370979__490189","502558__29552_39496","1902__357276","157687__228604","1303__328814","39645__105229","303__1661055_1661059","34062__1382_52773","1661055__1661059","202955__202952_633417","1382__52773","114527__207340","202952__633417","1660__284042","137591__214856_487175","199__60133","1472__1844653","187491__1859290","28130__76517","36874__43131","301__251535","1282__39489","1670__1463864","1727__29348_1755626","452084__329854_454154","28037__387090","185294__589437","29356__228603","341225__1463837","33038__204516","562__143393","52787__78342","1623__2173","1535__39485","879__1265_1161942","285__83617","53412__658457","189722__310298","1515__28128","437898__626931","41276__55197","529__101564","1613__118748","745310__1113922","29552__39496","29348__1755626","1280__28025","214856__487175","329854__454154","52226__165179_328813","294__587753","1559__36745","1265__1161942","165179__328813"
"ERR1072629",0,0,-4.04184161420195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.34829947012164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.19559285264917,0,0,0,0,0,0,-3.05233882900859,0,0,0,-2.36991485943131,0,0,0,0,0,0,0,0,0,0,0,-5.91547795340404,0,0,0,0,0,0,-4.06737399363776,0,0,0,0,0,0,0,0,0,0,0,0,-2.77838050255393,0,0,0,5.28680593375816,0,0,-4.10481294614748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.80287837352344,-1.38874385393628,0,0,0,0,0,0,0,0,0,0,0,0,4.81229619318216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.21098748365711,0,0,0,-5.56159346416185
"ERR1072724",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.15938352792382,0,0,0,0,0,0,0,0,0,0,0,0,3.74016198339139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.45562528699398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.53027886500281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.89215264563288,0,0,0,0,0,0,0.468823549303935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.38257155150257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.80804394623415,0,0,0,0,-2.15460729806422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.11601745325323,0,0,0,0,-3.73188931060593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.66504973873709,0,0,0,0,0
"ERR1072851",0,0,-3.8336406650276,-2.41961436849152,0,0,-4.19089502095099,0,0,0,0,0,0,0,0,0,-3.17553994648504,0,0,0,0,0,0,0,0,0,0,0,0,5.50019652877665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.14978658380327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.72715362439556,0,0,0,0,0,0,5.45559039614608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.38961052963432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.45349765974212,0,0,0,0,0,0,0,0,-2.86152585365441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.95630816570134,0,4.24958260292469,0,-2.75285014552723,0,0,0,-4.76807631767653
"ERR1072937",0,0,0,0,0,0,0,-2.54006495831509,0,-4.39952156232706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.75117917281567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.28720759483673,0,0,0,-3.26354209632597,0,0,0,-2.54985571984477,0,0,0,0,0,0,-0.33536483396116,0,0,0,0,0,0,0,0,0,0,0,0,-2.42917243797658,0,0,0,0,0,0,0,-5.69361056928351,0,0,0,0,0,0,0,0,0,0,0,0,5.65262072347642,0,0,4.41647965874125,-2.93825091362306,0,0,0,0,0,0,0,0,0,0,0,4.20745008292139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.55306741159571,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.08919986778081,0,0,0,0,0,0,0,-4.42204247203213,0,0,0,0,0,0,0,0
"ERR1073023",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.41522178068471,0,0,0,0,0,0,0,0,0,0,0,0,4.1832868356929,0,0,-2.57504243005975,0,0,0,0,0,0,0,0,0,0,0,-5.5606172984316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.74375476233085,0,0,0,0,-4.46010432050911,0,0.793068342510318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.7854984569356,0,0,0,0,-4.75232265186611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.81244204254268,-5.44085119878872,0,0,0,0,0,0,0,-4.82462485181717,0,0,0,0,0,0,0,0,0,0,0,0,-4.87129251102671,0,0,0.210805423454542,0,0,0,0,0
"ERR1073081",4.04895010120681,0,0,0,0,5.64575550777348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.56790536873198,0,0,0,-2.07755050529011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.89149973836688,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.18211939205025,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.06855709548551,0,0,0,0,0,0,0,0,-3.59842303045286,0,0,0,0,0,0,0,0,-3.30826206196004,0,0,0,0,0,0,3.77954165521234,0,0,0,0,0,0,0,0,3.27617364935468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.73007797606736,0,0,0,0,0,0,-3.582845987738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.3028223424442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.98860529791814,0,0,0,0,0,0,0,0
"ERR1073129",0,0,4.27484378463675,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.51092529588499,0,0,0,0,0,0,0,0,0,0,0,0,4.34905018648272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.11076914134902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.71906253340193,0,0,0,-2.67424669172736,0,0,0,-3.11611220905935,0,0,0,0,0,0,0.143484497955947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.7095544568091,0,0,0,0,0,0,0,0,0,0,0,0,4.63193114204477,0,0,-5.39726466817649,0,0,0,0,0,0,-2.30085364930029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.01584690056192,0,0,0,0,0,0,0,0,0,-3.98519542136836,0,0,0,0,0,0,0,0,0,0,0,-5.22360005962236,0,0,0,0,0,0,0,0
"ERR1073205",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2479440225036,0,0,0,0,0,0,0,0,0,0,-0.948723807593267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.84229699390486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.58010339119688,0,0,0,0,0,0,4.82023031462218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9230028036435,0,-2.48684058173638,0,0,0,0,0,0,0,0,0,0,0,0,0,0.587431496559555,0,0,0,4.46887016233375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.13605098119711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.43179963455962,4.30733423789155,0,0,0,0,0,0,0
"ERR1073206",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.32787800423281,0,0,0,0,0,0,0,0,0,0,0,0,-1.8391953792786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.16357073753147,0,0,0,0,0,0,0,0,0,0,0,-4.25029772055788,0,0,0,0,0,0,-3.94016711259216,0,0,0,0,0,0,0,3.18557984195644,0,0,0,0,0,0,0,0,0,0,0,-5.47946525074264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.376044380936886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.29663414243411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.99374062145577,-1.82820994658399,0,0,0,0,0,0,0,0,0,0,0,0,0,3.97788702109325,0,0,0,0,0,0,-3.45326005347534,0,0,3.16655251438626,0,0,0,0,0
"ERR1073394",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.61798644000647,0,0,0,0,-2.39253674139594,0,0,0,0,0,0,0,4.53448552761758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.39918640509491,0,-4.14399519507305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.19123297138475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.19265957077548,0,0,0,0,0,0,0.572502770144314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.79532683765851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.774309968794214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.28915378360385,0,0,0,0,0,0,0,0,-2.95608412473676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.12008789549185,0,3.9649306595404,0,0,0,0,0,0
