"","55197__28091_239974","29370__1467_28446","28038__310514_1844653","1522__34038_36745","329854__821_28116","1465521__1613_118748","147802__1710_28025","47770__29355_185293","1010__41276_999468","511__1264_301301","535744__1280_1282","2173__285_191295","1113741__1401_290588","1888__67269_83617","157687__228604","28130__76517_386414","1613__118748","529__294_587753","1311__38288_1223514","106648__1267_216935","93064__153721_1611423","100884__45067_173480","1467__28446","108980__46503_536633","1755629__79880_136857","28091__239974","1144673__40216_216778","187452__29552_35825","310514__1844653","13690__52787_56810","239935__310298","225991__32013_80866","370979__490189","28454__1113609","28090__271420","28135__477666","41276__999468","1352__37734","1264__301301","76517__386414","153721__1611423","34038__36745","34087__196024","1746653__488_41976","29461__53408_1661050","46503__536633","243924__1453492","1710__28025","1401__290588","43770__291644_871324","47877__1661032","60133__28132_470565","29355__185293","67269__83617","1532__1308_1535","1597__1582_2741","1254__28901_882211","1547__29360_84030","53363__28127_43131","1725__1487956","1408__584_102862","29430__202956","470__137732","40681__376804","76759__83263","1504__39489","285__191295","40216__216778","216947__423605","38288__1223514","821__28116","1280__1282","1727__191493","1267__216935","52787__56810","294__587753","626937__122355_189722","79880__136857","1308__1535","179995__40519_163877","79883__84032","288965__28117_204516","1670__1646377","349096__291645_1148157","33039__387661","39497__45254","1465754__1691_29356","626931__33043_487175","729__218538","633701__88688_237258","584__102862","208479__358742","228603__1571_1902","1582__2741","1859290__1260_1827099","410072__316_251535","1623__138595","291644__871324","29552__35825","308892__40214_40324","122355__189722","166486__29524_1113922","28117__204516","39496__907_261299","47879__28111_397865","28137__33038_39778","28901__882211","33043__487175","317__143393_284042","57706__39485_40520","28125__28136","70775__328812_387090","421767__823_187327","1584__28026_39484","483012__29348_216816","1472__820_1755626","33935__293_1630","28111__397865","77095__454155_589436","441500__287_40518","33038__39778","671267__39492_454154","907__261299","39485__40520","33034__582_1680","78346__28128_1161942","626930__818_69825","328812__387090","82135__1685_28037","823__187327","28026__39484","29348__216816","214856__44749_45851","341225__310297_328813","40214__40324","293__1630","1735__626932","287__40518","39492__454154","820__1755626","28128__1161942","582__1680","1633__817_46506","454155__589436","1685__28037","860__43675","818__69825","29360__84030","1303__1379","1265__1515_246787","310297__328813","1506__47678_165179","28127__43131","29466__425941","40519__163877","588__1034636","1260__1827099","488__41976","106654__516075","33031__184870","817__46506","44749__45851","471__48296","1510__328814","1689__28126","47678__165179","1687__36835","53408__1661050","562__310300","1515__246787","28132__470565","36874__187491","32013__80866","47880__101564","291645__1148157","1691__29356","88688__237258","53412__658457","1571__1902","143393__284042","180282__290309","452084__1463864","1463837__303_1661055","879__851_467210","29524__1113922","316__251535","303__1661055","851__467210","45067__173480"
"ERR1072724",0,0,0,0,-5.06050292778385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.07114140970083,0,0,0,0,0,0,1.51647752979725,0,0,0,0,0,0,0,0,0,0,-4.31400515912251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0082726727854669,0,0,0,0,0,0,0,0,0,0,0,0,-2.36315751126076,0,0,0,0,0,-2.11602461982046,0,0,0,0,-1.9241461598512,0,0,0,0,0,0,0,0,0,0,0,-3.66506215159566,4.09310887579165,0,0,-2.53028603157004,0,0,0,3.33271891005082,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.38258396436114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR1072832",0,0,0,0,-5.50208563073615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.10288046403645,0,0,0,0,0,0,0,0,0,0,-2.74604392724587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.75628760180583,0,-2.42151446578763,0,0,0,0,0,0,0,0,0,0,-5.63767427626183,0,-4.19418608600718,0,0,0,-2.36751095638786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.10064926393976,0.0027261713832801,0,0,0,0,0,0,0,0,0,0,0,-5.93884636659673,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.83550498003574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR1072851",0,0,0,0,-3.26472998544157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6546782077784,0,0,0,0,0,0,0,0,0,0,-3.17554711305228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.50020894163522,0,-2.41962153505875,0,0,0,0,0,0,0,0,0,0,-6.01132677059215,0,-4.19090743380956,0,0,0,0,0,0,0,0,-2.46243797208846,0,0,0,0,0,4.90700965261871,-2.75285731209446,0,0,0,0,0,0.499282230444733,0,0,0,0,0,0,4.26506767814408,0,0,0,-4.7680887305351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR1073081",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.59843544331143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.77955406807091,0,0,0,0,0,0,0,0,0,0,0,0,3.78301380986823,0,0,0,0,0,0,0,-2.33766959743435,0,0,0,0,0,-2.30282950901144,0,0,0,0,0,0,0,-4.04896251406538,-2.82288492045397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.9886177107767,0,4.88938010614631,-3.30826922852727,0,0,0,0,0,0,0,0,0,0,0,0,3.95593450426379,0,0,0,0,5.73009038892593,0,0,0,0,0,0,0,0,0,0,0,0,3.58285840059657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR1073129",0,0,0,0,-5.63009070610863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.71906969996917,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04295100786863,0,0,0,0,0,-2.67425385829459,0,0,0,0,-2.51093246245223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.63194355490333,0,4.34906259934129,0,0,0,-4.70956686966766,0,0,-2.30086081586752,0,0,0,0,0,-5.6126662111306,0,0,0,0,0,-2.46808937637086,0,3.98520783422693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.27485619749531,-0.725801901358553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR1073205",0,0,0,0,0,0,0,0,0,0,-2.48684774830361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.51545981267059,0,0,0,1.11533466683065,0,0,0,0,0,0,0,0,0,0,0,4.30734665075012,-4.94301087613273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.35690419994315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.84230416047209,0,0,-5.91902658403469,0,0,0,0,0,0,0,0,0,0,-2.58011055776411,0,0,4.92301521650207,0,0,0,0,0,0,0,0,0,-0.61156931993744,0,0,0,0,0,0,4.46888257519232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR1073206",0,0,0,0,-0.852140172498724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.47947766360121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.80137444023724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0712791224735072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.12007205394684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.99374778802301,0,0,0,0,0,0,0,0,0,0,-2.01660136456559,0,0,0,0,0,0,0,0,0,0,0,0,-3.45327246633391,0,0,0,0,0,0,3.49285602204034,0,0,-2.29664130900134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.97789943395182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR1073450",0,0,0,0,-5.6988380007826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.808014893248939,0,0,0,0,0,0,0,0,0,0,-2.36604522967111,0,0,0,0,0,-2.38565583080702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09811055079634,0,0,0,0,4.1320771083307,0,0,0,0,0,0,0,-3.16494536311021,0,0,0,0,0,-2.78965263816333,0,0,0,0,0,0,0,0,0,0,-2.28800906524822,0,0,0,0,0,4.83182010476744,-5.48184617208642,0,0,0,0,0,0,0,0,0,-2.51522933378975,0,0,0,0,0,0,0,0,0,0,0,3.96294794918809,0,0,0,0,0,0,0,4.35650499881147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR1073663",0,0,0,0,-3.17847036938393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.50527217012519,0,0,0,0,0,0,0,0,0,0,-2.6095790369056,0,0,0,0,0,-2.57800622428243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.51992347828717,0,0,0,0,-4.46523776268597,0,0,0,0,-2.8828537255253,0,0,-5.53869569549933,0,0,0,0,0,-2.56571195985848,0,0,0,0,-2.52968284735871,0,0,4.99324912339904,0,0,0,0,0,0,0,0,-4.44394347206201,0.190458709624068,0,0,-3.03844726991216,0,0,0,-4.38153921866079,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.26274504760681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR1073812",0,0,0,0,-5.3610447364048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34083794568651,0,0,0,0,0,-2.39147959425179,0,0,0,0,-4.43997848004445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.14216416250831,0,-0.470705037081265,0,0,0,0,0,0,0,0,0,0,0,0,-4.98574377449868,0,0,0,0,0,0,0,0,0,0,-2.22261919792226,0,0,0,0,0,0,0,0,0,-3.40519710574181,0,0,-1.44414512552995,0,0,0,0,0,0,3.84968937667934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
