"","341225__1735_33043","1735__33043","301301__351091","536633__1680_216816","39491__39492","562__40518_74426","309120__1304_187327","823__39485_165179","1624__310297","1604__47877","1363__633701","1515__33035","1365__1547","97478__397865","29375__487175","1264__1623_261299","820__2173","454154__29389_39496","573__44749","45851__28116_410072","729__46503","1630__46228","1686__84026","1559__39484","40518__74426","907__574375","39485__165179","102684__218538_349096","29389__39496","1680__216816","29363__821_166486","1623__261299","1304__187327","28116__410072","29348__40520_69825","78346__28026_310298","218538__349096","821__166486","1755626__39488_46506","28026__310298","40520__69825","39488__46506"
"SRR7008013",0,0,0.250260189190056,0,0,0,0,-2.50940211360007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.34641195737605,0,0,0,-4.33793830764994,0,0,0,-2.44843343598322,-2.10946076890288,0,-0.190661976507336,4.15269717839204,-3.65369322831309,4.24081111007338,3.98839873735596
"SRR7008014",-2.42597401693688,-4.20191025517664,0.24819131785773,0,0,-2.24540924656582,0,-2.25790436936966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.88916289883695,0,-3.91080508638001,0,0,0,0,0,0,0,-2.50797333570603,-2.26170728684297,0,0,3.85618435969526,3.91739193266079,4.34393724147084,4.28150630619576
"SRR7008015",0,0,-1.03317146385751,0,0,-2.41781587490352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.18777993867949,0,0,-5.25819587215418,0,0,-2.22714720274387,0,0,0,-2.45466474727719,0,0.230583054201367,-3.85753211108729,3.87021331661175,0,4.25160405783231,4.03972373996545
"SRR7008016",4.38633145279082,0,3.7893734751003,0,0,-2.08014306349822,-2.12603417679514,-2.18779579590919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.60291347299089,0,3.7893734751003,0,0,0,-2.1701145873999,0,3.68239921283705,0,2.53003914246343,0,0,-3.75874872362299,6.45389940939121,0,4.42842808083576,0
"SRR7008017",0,0,0,-2.74091876481991,0,-2.32203691780438,0,-2.2480670708003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.02188591868782,0,3.89376638544866,0,0,-4.74741056008702,-2.25193704046645,0,0,0,-2.60501306930782,-2.88717741857371,0,-3.90046936953418,4.0883249574574,5.00073797943522,4.51201499042209,3.85622933132261
"SRR7008018",0,0,4.57684145494449,0,0,-2.16755118539862,0,0,4.09333234327295,0,0,0,3.89257740212305,0,0,0,0,0,0,0,0,0,0,0,3.75430878111656,0,0,0,0,0,-4.87470493185325,0,0,0,-2.53276830365386,0,0,0.470191325206022,4.1472301263683,0,4.38688338572852,4.16880560076629
"SRR7008019",0,0,4.09431411031336,0,0,-2.54756337009409,0,-2.21095276612623,0,0,0,0,0,0,0,0,3.79395026702358,0,0,0,0,0,0,0,4.41250919250436,0,3.82948252406559,-2.56154529023941,0,0,0,0,0,0,2.16205482034667,-2.17182691677729,-4.43672658858342,0,6.42024492880034,3.76171456510394,4.31726436930934,0
"SRR7008020",-2.29954609448654,-3.98293066999727,3.85836370363824,0,0,-2.21978664056583,0,-2.33871348857944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.84478324342264,0,-4.05077058656624,-2.2642810247036,0,0,-2.36450758409575,0,0,0,-2.40543111105767,0,-3.92184977740075,-4.09544727053578,4.35749768162567,0,4.16632889845874,3.92415493602314
"SRR7008021",-2.83092316445991,4.90330275316823,0,0,0,0.656340986514488,0,0,0,4.08580920081754,0,0,0,3.87006888700103,0,0,-4.84709548876989,0,0,0,0,0,0,0,0.196904270990372,0,0,0,0,0,0,0,0,0,-2.51442557097433,0,0,0,5.88750002305269,0,4.35511284077792,0
"SRR7008022",0,0,4.17339419712517,-3.06780342545571,0,-2.11117581513659,0,-2.11859556787168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.65666377552722,0,-3.66951516424399,-3.13858448915791,0,5.31359140052314,0,0,0,0,-2.25433193810066,2.20625930955774,-5.4361877990691,0,6.25138350236709,-3.72405881140629,3.90461745391556,0
"SRR7008023",5.32146142889814,0,3.96756232779442,0,0,-2.46686252154467,0,-4.58811842207777,0,0,0,0,0,-4.50734804118546,0,0,0,0,0,4.37614701561249,0,0,0,0,4.27273122260284,0,0.540950637405558,0,0,0,0,0,0,0,0,-2.22298764366104,0,0,6.35735315894783,-3.85032754341875,0,0
"SRR7008024",0,0,4.28801498936349,-5.69288374591452,0,0,0,-5.42836959188605,0,0,0,0,0,0,0,-2.49511814885184,0,0,0,0,0,0,0,0,0,0,-0.582070798320254,0,0,0.0428222626664761,-2.5490860252012,4.3216714046986,0,0,0,0,0,4.41514650851227,3.61689997570896,0,0,-4.30685924424442
"SRR7008025",0,0,4.4352804381942,0,0,-2.57542568514464,0,-2.94424840654492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.46076813778841,0,-5.09958783023951,0,0,0,-4.76040551832153,0,0,0,-4.74141647150543,-2.515051830707,0,0.401556178911279,6.62998479113342,-4.35619755445364,-0.0606396610486205,0
"SRR7008026",0,0,-0.185844609757722,-2.28864443065275,0,-4.90738125141703,-2.2890620571156,-2.48255480171405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.397627696355832,0,-4.29991104914281,0,0,3.96404843435011,-2.36014226064339,0,-3.96477178460235,0,0,0,0,4.08788630852483,6.69694159878632,0,0,0
