"","818__40519_387090","821__856","45851__1605_40518","1304__820_328813","1735__853_165179","309120__397865","729__1502","850__1515_84026","820__328813","28125__28136","46503__454155","189722__228603","218538__234908_351091","40519__387090","310297__310298","1605__40518","28026__762212","228604__29363_39491","853__165179","1018__28111_39492","562__358742","1264__28117_47678","52226__39485_158847","823__817_1297750","371601__28116_204516","840__308994_360807","39484__46506_487175","28117__47678","39485__158847","437898__357276_454154","817__1297750","308994__360807","46506__487175","28111__39492","234908__351091","28116__204516","357276__454154","376804__589436","29363__39491","1515__84026","40520__1161942"
"SRR5446826",4.96698687490818,4.12329565972132,-2.52796894023877,-2.44033660753928,-3.00772164516147,0,0,0,4.2267869918283,0,0,0,0,0,-4.22761652674497,-4.3785706444496,0,-2.38936663249659,5.20952670444432,0,0,0,-2.34586988260819,0,-2.61471472608303,0,0,0,-4.06316582462303,0,0,0,0,0,0,-4.52881875287436,0,0,-4.13850440539384,0,0
"SRR5446828",4.77315499538583,4.4606843423312,0,0,-2.94052788716865,0,0,0,0,0,0,0,4.87411307413483,0,-1.34353200150406,0,0,0,-5.09314370164927,0,0,-2.45423645021409,0,0,-2.64919667617323,-2.335635533295,0,4.25086222555829,0,0,0,4.04543941163016,0,0,0,-4.58854324237463,0,0,0,0,0
"SRR5446829",0,0,0,0,-1.23119611339733,0,0,0,0,0,0,0,4.32601617448897,0,-1.17305569517703,0,0,0,-0.808774958965713,0,0,0,1.58802225263613,0,0,-2.59761800272965,0,0,-4.69027904372391,0,0,4.49920635938334,0,0,0,0,0,0,0,0,0
"SRR5446833",0,0,0,-2.79395888966146,-5.72446368402808,0,0,0,4.83927875115237,0,0,0,0,0,-0.910767145749397,0,0,0,-1.83939622444808,-2.56549737046346,0,-2.71440171098806,0,0,0,0,-2.51911581689393,4.70148167558322,0,-2.47672852374317,0,0,4.36323658501066,4.44357179232707,0,0,4.28981963967823,0,0,0,0
"SRR5446834",4.701981051485,5.85364395044394,0,-2.73877148025239,-2.55148876451892,0,0,0,4.74369135411776,0,0,0,0,0,0,0,0,0,4.41930817508791,0,4.24782265905831,0,0,0,-5.16911873487932,0,-5.72139246336008,0,0,0,0,0,0.700550094326969,0,0,-0.282449893105492,0,0,0,0,0
"SRR5446835",0,5.64493940551179,0,-2.87453581763415,-2.62967691452668,0,0,0,4.9788420843189,0,0,0,-2.47601285722366,0,0,0,0,0,4.55473402345117,0,0,-2.74889773330391,-2.23252567576144,0,2.4226950213145,0,-2.33221813768809,4.7612305388933,3.86684789962086,0,0,0,4.03952030880944,0,4.28858006890516,-5.59253915419955,0,0,0,0,0
"SRR5446838",0,5.06486352560136,0,-2.63585272839272,-2.27654656861875,0,0,0,4.56543084684525,0,0,0,5.13996271114181,0,-1.39170714509529,0,0,0,3.94309432264425,0,0,-2.43412347832447,0,-2.44017099861329,-2.44666983918012,0,0,4.21602553635427,0,0,-4.22650014875431,0,0,0,0,-4.23775647080634,0,0,0,0,0
"SRR5446839",0,5.30617765416292,0,-2.7110620843495,-3.20307379783954,-3.88303908790555,0,0,4.69569727256692,0,0,0,-2.35029440271612,0,-4.23067545230687,0,0,0,-5.54788655825069,-2.84666628189072,0,0,0,0,-2.82043629225194,0,0,0,0,0,0,0,0,-4.93057063242792,-4.07082931824908,-4.88513895769155,0,0,0,0,0
"SRR5446841",0,5.11256666517709,0,-2.95625807609849,-4.25771313798216,0,0,0,5.12038918808841,0,0,0,0,0,-0.923222415088114,0,0,0,-0.138212889613225,0,0,0,0,0,0,0,-2.75548665306878,0,0,-4.52071643239331,0,0,-4.77264288269305,0,0,0,0.465095002610137,0,0,0,0
"SRR5446844",0,4.42448112432794,0,-2.61457137062571,-5.68007109331161,0,0,0,4.52857045393872,0,0,0,0,0,-0.939841660120799,0,0,0,-1.8634745843108,0,0,0,0,0,-2.39519256881538,-2.52848755459779,0,0,0,0,0,-4.37946891086896,0,0,0,-4.14859522309966,0,0,0,0,0
"SRR5446849",4.79292759228987,4.82805132336909,0,-2.5203936724063,-2.61689933129677,0,0,6.13392923344991,4.36544989568281,0,0,0,0,0,-5.42142807379638,0,0,0,4.53260260009902,0,0,0,0,0,-2.73948825364716,-2.46025617003191,-2.87780228778558,0,0,0,0,-4.26128868613008,4.98449977658258,0,0,-4.74493284205502,0,0,0,0,0
"SRR5446852",0,0,0,-2.26002281960716,-3.70271575982011,0,0,0,3.91447434982468,0,0,0,0,0,-3.41870271724701,0,0,0,-6.41329182199442,0,0,-4.91916463538537,0,-2.06697669726418,5.41054368143409,0,-2.00646611745338,-0.597776484265287,0,0,-3.58010865772248,0,3.47530125909471,0,0,0,0,0,0,0,0
"SRR5446853",0,5.56818031909042,-2.83005458743587,-5.2038461362691,0,0,0,0,0.781334048475544,0,0,0,0,0,-1.09059368770762,-4.9017983336323,0,0,0,0,0,-2.99515639174375,0,0,-2.31082802055375,0,-2.89003656469132,5.18776304711485,0,0,0,0,5.00569016577719,0,0,4.00247153915292,0,0,0,0,0
"SRR5446854",1.82593756595099,4.86981792837963,0,-5.15668883772551,0,0,0,0,0.0671332793573083,0,0,0,0,-4.88437448317294,-1.76056630846324,0,0,0,0,0,0,0,0,0,2.79596174875183,0,0,0,0,0,0,0,0,0,0,-4.12698256203074,0,0,0,0,0
"SRR5446856",0,3.80669819329862,0,-2.44116841247632,-3.64846750998889,0,0,-2.45462557526917,4.22822772024125,0,0,0,2.37573305331157,0,0,0,0,0,-6.31933109706507,-2.24907123481593,0,0,0,0,0,-2.17743161575353,0,0,0,0,0,3.7714221884919,0,-3.89550564854286,-3.85811895873117,0,0,0,0,4.25153620992418,0
"SRR5446860",0,0,-1.73993258951957,0,-5.7793449581708,0,0,0,0,3.12919639841477,0,0,0,0,0,3.01365164679278,0,3.66082428767388,-3.2142979423312,0,0,0,4.05063390284963,-1.73750964377488,0,0,0,0,0,0,3.009454981659,0,0,0,0,0,0,0,2.94792766543674,0,0
"SRR5446862",0,3.92404208155547,0,0,-5.63856283725447,0,0,0,0,0,0,0,-4.1915305887169,0,0,0,0,0,-3.44413371967899,0,0,-1.99452048949029,0,0,0,-1.76540346259243,0,3.45461082453433,0,0,0,-3.0577684930681,0,0,0.20444240526166,0,0,0.509501628423079,0,0,0
"SRR5446864",0,4.35211802933792,0,0,-5.75213649524243,0,0,5.23794729435309,0,0,0,0,-2.39671721297056,0,-1.402796585552,0,0,0,-2.58829336715817,0,0,0,0,-2.34455345395153,-2.04992112935691,0,0,0,0,0,-4.06088570330515,0,0,0,4.15123598423989,-3.55056754755514,0,0,0,0,0
"SRR5446865",4.65583040746839,6.22086908836169,0,-2.87299066807491,-2.45453640149684,0,0,0,4.976165806777,0,0,0,0,0,0,0,0,0,4.2513817564198,0,0,-2.4071088776823,-2.57132347193542,-2.6895925172354,5.3438770732845,0,-2.53115746658073,4.16923487549585,4.45366289608655,0,-4.65851089150879,0,-4.38409333407514,0,0,0,0,0,0,0,0
"SRR5446866",5.16637562746322,5.96570214202671,0,-3.11113128051296,0,0,0,0,5.38863744686527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.71219164008531,1.12971771190653,0,-2.92021511661479,0,0,0,-0.435824803744851,0,5.05796095100748,0,0,0.947686083286625,0,0,0,0,0
"SRR5446868",-2.86331705633707,0,0,-5.2301914503682,2.38411434577025,0,0,0,0.28542089211024,0,0,0,0,-4.95941061975436,-1.25352190840237,0,0,0,-4.25211644053802,0,0,-2.81165096419565,0,-2.48954025960095,0,0,0,4.86992232313689,0,0,-4.31201021711705,0,0,0,0,0,0,0,0,0,0
"SRR5446869",0,0,0,-2.84509268256442,-3.37060903984207,0,0,0,4.92784507844401,0,0,0,4.66730691247277,0,0,0,4.04923526116085,0,-5.83806610945742,0,0,0.183455711674452,0,0,0,0,0,-0.762964035153943,0,-2.22176380939396,0,0,0,0,0,0,-3.84820780028812,0,0,0,0
"SRR5446870",0,4.97052264568888,0,0,-6.34060564769977,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.66862974637944,0,0,0,-2.24159139327486,0,-2.24454939049086,-2.08632151669485,0,0,-3.88255018296116,0,0,-3.61361486783963,0,0,0,-3.88767358442792,0,-3.6644039816529,0,0,0
"SRR5446871",5.50166672730291,5.51602082306503,0,0,0,0,0,0,0,0,0,0,0,0,-5.53413060488354,0,0,0,0,0,0,0,-4.98195136523532,-2.62773790387478,1.80178802325197,0,-2.4760639136971,0,-0.100246844351932,0,-4.55137555848567,0,4.28866850131121,0,0,-5.05027389946348,0,0,0,0,0
"SRR5446872",0,0,0,-2.21947306201749,-5.96201691638523,0,0,0,3.84424010944477,0,0,-0.593550609232374,0,0,0,0,0,0,-2.47490761956904,0,0,-2.32807033716402,0,0,0,0,0,-4.03233610756209,0,-4.21291792073023,0,0,0,0,0,0,-0.0119137230767225,0,0,0,0
"SRR5446873",0,3.04331607907055,0,0,-5.79833350882744,0,0,0,0,0,0,-1.108509375884,0,0,0,0,0,0,-3.28888810012584,0,2.76774329728473,0,0,3.59233091838457,0,0,-2.16470664326371,0,0,0,0,0,-3.74938188961462,0,0,0,0,0,0,0,0
"SRR5446875",5.04521399969368,5.67704005560989,0,-2.81159902792123,0,0,0,0,4.86983236687084,0,0,0,0,0,-4.59032979632862,0,0,0,0,0,0,-2.55699667554213,-2.64523157013361,0.0938175813029255,0,0,0,4.42884815682369,4.58167547725661,0,-0.213368804867271,0,0,0,0,0,0,0,0,0,0
"SRR5446878",0,0,0,0,-2.70133754370855,0,0,0,0,0,0,0,4.19804169267837,0,0,0,0,0,4.67885387409653,0,0,-2.22125223363044,0,-2.82436056785887,0,-5.47200869459272,-5.28984265924059,-3.84732172507377,0,-3.4910067952666,-4.89193600242565,-0.860932494576411,1.77579933135176,0,0,0,6.04660113896996,0,0,0,0
"SRR5446879",0,4.98502560095858,-2.32828407314679,-2.3118434418663,-3.7325466140435,0,0,0,4.00423030045733,0,0,0,4.57503886402315,0,0,-4.03270630914365,0,0,-6.46496037714253,0,0,-2.28949387544004,0,-4.3791683819453,0,0,0,3.96551971587992,0,-2.3734410551012,0.0145197170771312,0,0,0,0,0,-4.11092049620516,0,0,0,0
"SRR5446885",5.43778321340644,5.15396144325577,0,-3.08516655860914,0,0,0,0,5.34366522932345,0,0,0,0,0,0,0,0,0,0,0,0,-2.5419266213172,0,-2.65565690630494,-2.51549917856368,0,-5.84845938203462,4.40274605723329,0,-2.60991097526017,-4.59973268919134,0,1.21765365938227,0,0,-4.35697238367006,4.52049841238225,0,0,0,0
"SRR5446888",4.73387917163112,5.07353941093464,0,-2.27564909690722,-5.07904434477154,0,4.46751904976694,5.76618208785512,3.94153985604154,0,0,0,0,0,0,0,0,0,0.579251541380404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.23324317890407
"SRR5446890",0,5.53797478588041,5.75040172702784,-2.67085284981367,0,0,0,0,4.6260528354174,0,0,0,0,0,0,0,0,0,0,0,0,-2.63115907311139,0,-2.33055698796842,4.64902105371025,-2.7489642712887,0,4.55730119742477,0,0,-4.03664311309599,-4.76134578606358,0,0,0,0,0,0,0,0,0.903470759064511
"SRR5446901",0,4.19859343032348,0,-2.41201012371651,-2.95523595307515,0,0,0,4.17772408264749,0,0,0,0,0,-5.05418948741371,0,0,0,5.11861881908039,0,0,-2.52969168790073,0,0,5.4973527207789,-2.51897533656979,0,4.38155453092873,0,-5.81177758210426,0,-4.36299326595179,0,0,0,0,0.8981767088927,0,0,0,0
"SRR5446902",0,4.74325180143703,0,-2.78684359906396,-2.77389503819986,0,0,0,4.8269547063269,0,0,0,0,0,0,0,0,0,4.80452714102536,0,0,0,-2.34370910984518,0,0,-2.37770432077911,-2.0840682313498,0,4.05942325641387,-2.14792266796023,0,-4.11830468896546,3.60971206313806,0,0,0,-3.72031119163601,0,0,0,0
"SRR5446903",6.12857387446034,5.39926486267194,0,-2.93397571384683,0,0,0,0,5.08179500455587,0,0,0,0,0,0,0,0,0,0,-2.70505379803719,0,0,0,0,2.21559279522648,0,0,0,0,-2.47188245943125,0,0,0,4.68529061540758,0,-4.76252437202775,-4.28142601007324,0,0,0,0
"SRR5446907",6.26224527660951,5.6423740269696,0,-2.89526576923049,-2.26223792196929,0,0,0,5.0147474137222,0,0,0,0,0,0,0,0,0,3.91831101965985,0,0,0,0,-2.35784632253242,0.217567684326801,0,-3.13524701220154,0,0,0,4.08390962706559,0,5.43040711941158,0,0,-0.227656707735902,0,0,0,0,0
"SRR5446908",0,0,0,0,-6.06167002235963,0,0,0,0,-1.00134004977475,0,-3.56009233025343,0,0,0,0,0,5.91976521191434,-2.32514508866213,0,3.60435933351235,0,0,0,0,-1.97029861709347,0,0,0,0,0,-3.41265731088859,0,0,0,0,0,0,0,0,0
