"","28116__40324","317__122355_882211","305719__47877_1661032","1406__44749_104663","1681__1267_216935","29370__191295_588932","44749__104663","421767__147802_310297","1522__34038_36745","2088__1311_33069","1580__850_871324","1465521__1613_118748","185294__28137_589437","147802__310297","511__28026_78342","1010__41276_999468","69825__218538","1613__118748","76517__28130_386414","45067__173480","38286__38304_441500","1401__1113741","529__294_587753","180282__32013_80866","1311__33069","93064__153721_1611423","106648__239974","1467__182710","1308__108980","1144673__40216_216778","225991__290309","370979__490189","28454__1113609","70775__1844653","28090__271420","28135__477666","38304__441500","41276__999468","671267__28126_351091","28137__589437","153721__1611423","34038__36745","1379__726_1303","1559__29461","34087__196024","850__871324","488__1472","28126__351091","184870__187491","471__106654_516075","37734__1590_179995","1859290__36874_43131","47877__1661032","28129__77095","32013__80866","28026__78342","67269__285_83617","308892__487698","28127__28128_53363","29430__202956","191295__588932","76759__83263","1512__358742","157687__28132_239935","41976__1691_1487956","48296__1571_1148157","40216__216778","38288__1223514_1827099","288965__45851_189722","1352__823_1358","33035__28037_208479","52226__1902_53440","254__40214_328812","1267__216935","28132__239935","40681__39492_46503","29375__100884_251535","626937__284042_1077256","823__1358","341225__818_39485","29356__40518_228603","29466__54006_1463864","387661__239984_1463837","40519__879_197614","726__1303","13690__293_1260","1590__179995","316__187327_246787","301__33038_410072","1121298__839_454155","46228__1515_589436","45851__189722","2741__1582_191493","40214__328812","574375__29552_261299","28037__208479","1727__29348_291644","535744__817_397865","470__582_584","39778__43675","39492__46503","1584__39484_214856","818__39485","1623__309120","40518__228603","293__1260","626931__47678_454154","163877__328813_1161942","187327__246787","1687__328814_1646377","33038__410072","1515__589436","28136__28125_39496","1510__821_28117","839__454155","29348__291644","29552__261299","817__397865","60133__729_1504","57706__907_1661050","36874__43131","47884__166486_301301","1280__1264_216816","122355__882211","39484__214856","349096__437898","582__584","52787__169435","1223514__1827099","84032__287_28901","78346__1735_53408","47678__454154","1582__191493","38986__1535_40520","328814__1646377","328813__1161942","28125__39496","1633__1680_35833","84030__46506_536633","452084__33043_329854","821__28117","1547__820_204516","729__1504","79880__290588","907__1661050","585__1408","1264__216816","216947__1685_626930","1725__153151","243924__1453492","43770__387090_487175","1535__40520","1735__53408","28446__36847","1506__165179_310298","33043__329854","46506__536633","287__28901","1680__35833","1571__1148157","166486__301301","33029__33032","47879__28111_1755626","28128__53363","285__83617","28118__33039","820__204516","1691__1487956","143393__291645_1113922","1902__53440","1685__626930","102862__183417","387090__487175","165179__310298","2173__658457","562__1265","100884__251535","28111__1755626","294__587753","284042__1077256","54006__1463864","239984__1463837","28130__386414","879__197614","1710__237258","588__1034636","291645__1113922","106654__516075"
"ERR1072724",3.62428578621904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.9241464252772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33271936978214,0,0,0,-2.11602488524646,0,0,0,0,0,0,-5.12741204425921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.66506261132698,0,0,0,0,0,0,-2.53028629699604,0,1.40058846003501,-4.51777250674421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.38258442409246,0,0,0,0,0,0,0,0,0,0.361207152327161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR1072851",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.21336090192321,0,0,0,0,0,0,0,0,-3.83365353761748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.46243823751446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.41962180048475,0,0,0,-2.45350509173536,4.2650681378754,0,0,0,0,-2.75285757752046,0,0,0,0,0,-6.44027762934585,0,0,0,-4.19090789354088,0,0,0,0,0,0,-4.24959547551458,0,0,0,0,0,0,0,0,0,0,4.76808919026642,0,0,0,0,0.154469266143184,-3.14979401579651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.86153328564765,0,0,0,5.45560326873596,0,0,0,0,0,0,0,0,0,0,-4.95632103829123,0,0,0,0,0,0,0,0,0,0
"ERR1073081",0,0,-2.07755793728334,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.77955452780223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.59843590304274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.30826949395327,-2.82288518587997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.73009084865725,0,0,0,-1.89150717036012,0,0,0,0,4.88938056587763,0,0,0,0,0,0,-2.33766986286035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.0489629737967,0,0,0,0,0,0,0,0,3.27618652194456,0,-2.30282977443744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.98861817050802,0,0,0,0,0,0,0,3.95593496399511,0,0
"ERR1073129",4.35432653289775,-5.39332408911576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.46808964179686,0,0,0,-2.30086108129352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.27485665722663,0,-3.98520829395825,0,0,0,0,0,0,0,0,0,0,-5.62705236893081,0,0,0,0,0,0,0,0,0,-0.0776233147643286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04821448169377,-2.59681240942745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.01585433255515,0,0,0,4.49781103085369,0,0,0,0,0,0,0,0,0,0,-5.22361293221225,0,0,0,0,0,0,0,0,0,0
"ERR1073205",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.54906388790641,0,0,0,0,-2.84230442589809,0,0,0,0,0,0,0,0,4.92301567623339,-2.58011082319011,0,0,0,0,0,0,0,0,0,0,0,0,-5.36930900346507,0,0,0,0,0,0,0,0,0,4.46888303492363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.97369602745923,0,0,0,0,0,0,0,0,0,-0.586106676189577,0,0,0,0,0,0,0,0,-2.78296870169635,0,0,0,0,0,0,5.53044283242361,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.13605841319034,0,0,0,4.82024318721207,-4.41510816559296,0,0,0,0,0,0,0,0,0,-5.43181250714951,0,0,0,0,0,0,0,0,0,0
"ERR1073206",3.94017998518205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.1635781695247,0,0,0,0,0,-1.83920281127183,0,0,0,0,-5.47947812333253,0,0,0,-3.18559271454633,-2.01660162999159,0,0,0,0,0,0,0,0,0,0,-2.29664157442734,0,-1.80137470566324,0,0,0,0,0,0,0,0,0,3.49285648177166,0,0,0,0,0,0,0,0,3.97789989368314,0,-2.23371095455275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.12007251367816,0,0,0,0,0,0,-1.82821737857723,3.86890086270854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.16656538697615,0,0,0,0,0,0,-1.99374805344901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.45327292606523,0,0,0,0,0,0,0,0,0,0
"ERR1073450",4.5313314938367,0,0,-2.28800933067422,0,0,3.96294840891941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.78965290358933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.51522959921575,0,0,0,0,0,0,0,0,0,4.83182056449876,0,0,0,0,0,0,0,0,0,0,4.35650545854278,0,-5.44871856897766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.38565609623302,1.24123537655798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.13207756806202,0,0,0,0,0,0,-3.16494562853621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.48184663181774,0,0,0,0,0,0,0,0,0,0
"ERR1073663",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.38153967839211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.8828539909513,0,0,0,0,0,0,0,0,4.99324958313035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.56571222528448,0,0,0,0,0,0,-3.17847063480993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.44394393179333,0,0,0,0,0,0,-3.03844753533816,0,5.50527262985651,-5.43390810914275,0,0,0,0,0,0,0,0,-2.57800648970843,0,0,0,0,0,5.26274550733812,0,0,0,0,0,-2.71436741954018,0,0,0,0.371957052658808,0,0,0,0,0,-4.46523822241729,0,0,0,0,-4.70142228105322,0,0,0,0,0,0,0,0,0,0
"ERR1073712",-0.066755952935464,-6.32972469712074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.35420688989394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.07760594482502,0,-2.48258321532904,0,0,0,0,0,0,0,0,0,-0.0502112522280898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.29996026296761,-4.98972660865165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.26616090486137,0,0,0,0.0763314307149588,0,0,0,0,0,0,0,0,0,0,-3.92510582534615,0,0,0,0,0,0,0,0,0,0
"ERR1073918",4.55076729870185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.41532399394204,0,0,0,0,0,0,0,0,-4.1834638742478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.70794991731632,0,0,0,0,0,0,0,-5.41159016614966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.6903068411438,0,0,0,0,0,-1.01267885567547,0,0,0,0,-2.87211617590024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.499103105016,4.97465114189964,-2.64098741582554,0,0,0,0,0,0,0,0,0,0,0,0,0,4.32857355124084,0,0,0,0,0,0,-3.34689490654057,0,0,0,4.57432438635986,0,0,0,0,0,0,0,0,0,0,-5.79699202572175,0,0,0,0,0,0,0,0,0,0
