"","397865__40519_40520","820__28117_45851","28116__818_84030","853__47246","817__187327","46503__1515_328813","39485__29466_166486","39488__1335_84032","46506__261299","1496__28118","36847__1735_291645","823__1624","214856__1465754","28111__1264_84026","1596__310297","28117__45851","1195760__1308_28129","39492__197614","40518__357276_1755626","165179__371601","29348__39491_246787","1630__321327","33043__437898","1584__487175","33031__33959","228603__1124188","341225__454154","35785__52226","1605__264027","40519__40520","301302__309120","1515__328813","218538__650643","840__472113","88431__204516_328814","633701__1297750","357276__1755626","1559__308994_626937","1264__84026","29466__166486","1335__84032","1735__291645","1308__28129","818__84030","28135__180311_310298","204516__328814","1307__821_1304","39491__246787","308994__626937","180311__310298","821__1304"
"SRR5711539",0,3.21000873808009,5.06984022026192,-0.167366372737917,4.20760851770011,0,0,0,0,0,0,0,0,0,0,4.54605512373631,0,0,-3.01595126524067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.3018945204958,5.22378082454847,-2.65067520616216,0,0,0,0,0,0,0,0,0,0,4.59110413143597,0,0
"SRR5711540",2.25264024873474,2.08340421986334,0,4.65525146250699,0,0,0,0,0,0,0,0,0,1.6588309739,0,4.0590039567981,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.83926116781379,0,0,0,0,0,-5.38856655922852,0,0,-0.0919214254799368,0,0,0,0,0,0,0,0,0,0,0,0
"SRR5711541",4.52821744552131,3.25531351406693,0,4.48470512641528,3.84937747981158,0,0,0,-4.21994429280126,0,0,0,0,0,0,4.61055025121088,0,0,-3.16351487725731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.4144068849384,-4.82158296108572,5.47936849790969,0,0,0,0,0,0,0,0,-4.18187539485741,0,0,0,0,0
"SRR5711542",0,3.59912881705307,0,0,0,0,0,0,0,0,0,0,0,-2.42699033578688,0,4.34696037444005,0,-0.446674701687099,-0.167734665731248,0,-2.86587489423776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.284308977014812,0,-4.20367057106152,0,0,0,0,0,0,0,0,-4.96384092495589,0,0,0
"SRR5711543",0,-5.73368249715835,0,0.861171511816585,0,0,0,0,-0.663561160910786,0,0,0,0,0,0,-1.0019975285778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.69199532842123,-4.32053892921536,0,0,0,0,0,0,0,0,0,-4.66267268256363,-2.99640536141285,0,0,0,-5.18992632603883
"SRR5711544",-2.11736859663124,3.61518837436611,0,4.30826076961043,0,-2.2182036698253,0,0,0,-4.20752351255705,0,0,0,0,0,3.7181053357991,0,0,-2.67644424385976,0,0,0,0,0,0,0,0,0,0,-3.66738998771611,0,3.84204145767316,0,0,-3.20963099372708,-4.44371708957634,4.63573741399037,0,0,0,0,0,0,0,0,-5.55924395468308,0,0,0,0,0
"SRR5711545",0,0,0,5.24333530721632,0,0,0,4.67271852904508,4.15881347606185,0,0,0,0,0,-4.31476016317048,0,0,0,0,4.17231133708612,0,0,0,0,0,0,0,0,0,0,0,0,5.20324056980798,0,-2.24736210192356,-4.56922126471963,0,-2.66828822303881,0,0,0,0,0,0,0,-3.89254534353639,0,0,-4.62161077154089,0,0
"SRR5711546",0,5.7520985158281,0,-4.01436863770618,4.13108242957,0,0,0,0,0,4.75131457914462,0,0,0,0,0,0,0,-2.35575594946031,0,0,0,0,0,0,0,0,0,0,0,4.5287524903484,0,4.33121008997629,0,0,-4.17342436639886,4.08028899469792,-2.47707681387684,0,0,0,0,0,0,0,0,0,0,-4.29042289588551,0,0
"SRR5711547",0,4.75521134090265,0,4.38622451332898,4.20264412969263,0,0,0,0,0,0,0,0,-2.77577638756136,0,0,3.69187598244609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.46807106542704,0,0,-4.89062538886592,0,0,-4.80778573370628,0,0,0,4.49745461334361,0,-2.55464108305717,0,0,0,0,4.4247681509578,0
"SRR5711548",0,4.59920269095878,5.32602612025079,5.41739814973087,0,0,0,0,0,0,0,0,-4.7126760977264,0,0,0,0,0,-3.2931376188108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.74729658142769,0,5.70388167209669,0,0,0,0,0,0,0,-2.49218654786029,-4.75845726249305,-2.36960240200834,0,0,4.31659372283371,-4.10427175401569
"SRR5711549",0,3.08192874374618,0,5.18401845729922,0,0,0,0,0,0,0,0,0,-2.42871881639977,0,4.47219137920072,0,0,0,0,0,0,0,0,0,-4.16241683032355,-4.15497498654871,0,0,0,0,0,0,0,-2.39983521737527,-4.43093103676664,0,0,-4.20666438730295,0,0,0,0,0,0,-4.15663652628707,-2.4895419241501,0,0,0,-4.31201310020075
