"","626930__39484_166486","253239__397865_454154","818__1515","397865__454154","43263__28091_35825","1661032__1467_487698","1681__1670_405446","101564__38986_1746653","1229909__729_39492","39484__166486","1522__1725_88688","1307__228603_310514","1465521__1613_118748","2173__285_191295","481743__1113741","1888__67269_83617","1613__118748","157687__228604","199__60133","1282__1311_386414","202611__1401_290588","729__39492","529__587753","39483__1547_29360","106648__173480","36835__239974","100884__29461_79880","376806__671267","421767__821_46503","28091__35825","536633__1685_216816","511__34087_196024","1144673__40216_216778","228603__310514","225991__290309","370979__490189","28454__1113609","70775__1844653","28090__271420","38304__441500","1670__405446","589437__28137_470565","38286__33031_40518","153721__1611423","34038__36745","28026__78342","38986__1746653","726__1303_1379","850__1472","28126__33935","13690__56810","243924__1453492","106654__471_48296","33029__187491","1725__88688","1401__290588","93064__28111_376804","821__46503","43770__1687_305719","67269__83617","1467__487698","185293__470_1148157","245__588932","1254__2741","1547__29360","33031__40518","29430__202956","76759__83263","1512__358742","285__191295","1580__1590_47884","137732__1902_1121830","40216__216778","41976__851_251535","28111__376804","53363__28128_387661","52226__39482_284042","46228__191493","1267__329854_351091","79883__43131_84032","1280__820_28116","29461__79880","33034__1827099","53412__823_47678","136857__626932","153151__1265_179995","487316__387090_454155","999468__287_33069","1034636__582_588","28038__349096_410072","301__907_1623","28135__28125_301301","633701__1646377","329854__351091","1358__39485_187327","147802__33043_44749","254__40214_40519","1590__47884","1710__52787_309120","28128__387661","658457__310297_328812","122355__317_882211","1859290__1260_1223514","39496__46506_328813","32013__293_294","1685__216816","137591__246787_310298","43131__84032","823__47678","216947__1535_69825","871324__37734_291644","387090__454155","1633__1680_1735","308892__1504_40324","1265__179995","287__33069","36848__28132_214856","1465754__165179_218538","310297__328812","40214__40519","35833__208479","28125__301301","820__28116","39485__187327","28446__817_487175","582__588","33043__44749","52787__309120","291645__189722_1755626","341225__29348_40520","574375__28118_261299","349096__410072","46506__328813","38288__33038_108980","437898__516075","246787__310298","839__1689","907__1623","317__882211","1504__40324","1535__69825","293__294","37734__291644","1680__1735","28132__214856","384638__1630_169435","316__1264_28037","189722__1755626","77095__28901_589436","1510__204516_239935","1260__1223514","28118__261299","817__487175","33038__108980","1311__386414","29348__40520","1597__1308_1161942","165179__218538","28137__470565","1264__28037","28901__589436","39490__57706","53408__1661050","204516__239935","535744__585_879","47770__59310","163877__102862_183417","1303__1379","1308__1161942","860__425941","840__1121298","34087__196024","1687__305719","470__1148157","2088__626937","1691__626931","1630__169435","1352__584_28117","471__48296","1364__901_1113922","488__29466","237258__105229_202955","1902__1121830","851__251535","39482__284042","861__1463864","197614__1463837","105229__202955","584__28117","28130__76517","585__879","39778__43675","901__1113922","102862__183417"
"ERR1072724",0,-2.11602382354143,3.33271753085507,-3.66506077239991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.96802002263712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.35047379252077,5.14076147708922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.07114003050508,0,0,0,0,0,-4.45563802757038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.53028523529101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.468823549303935,0,0,0,0,0,0,0,0,0,4.3825825851654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.15461366835242,0,0,0,0,0,0,0,0,0,0,0,0,0,3.73190034426875,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.15938989821202,0,0,0,0,0,0,0,0,0,0,-3.74017301705421,0,0,0,0,0
"ERR1072851",0,-2.41962073877972,4.26506629894834,4.19090605461381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.26472918916253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.65467682858266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.21335984021818,0,-3.14979295409147,0,0,0,0,0,0,0,0,0,0,0,0,-3.83365169869042,0,0,0,0,0,0,0,0,0,-2.75285651581543,0,0,0,0,0,0,0,0,0,0,0,0,-2.45350403003032,0,0,0,0,0,5.4556014298089,0,0,0,0,0,-2.86153222394261,0,0,0,-4.76808735133935,0,0,0,0,0,0,0,0,0,0,0,-4.24959363658751,0,0,-4.95631919936416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.17554631677324,0,0,0,0,0,0,0,0,0,0,-5.50020756243947,0,0,0,0,0
"ERR1073081",-1.89150610865508,0,0,0,0,0,0,0,0,-3.2761846830175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.10684317882913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.18212576233845,0,0,0,0,0,0,-3.30826843224824,0.933445601882523,0,0,-2.3028287127324,-2.33766880115532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.98861633158096,0,0,0,0,5.73008900973018,0,0,-4.04896113486963,0,-3.77955268887516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR1073129",0,0,0,0,0,0,0,0,-2.46808858009182,0,0,0,0,0,0,0,0,0,0,0,0,-4.27485481829957,0,0,0,0,0,0,-3.11611857934755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.39727570183931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.11078188192542,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.30086001958849,0,0,0,0,0,0,2.62943722034098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143484497955947,3.98520645503118,0,0,0,0,-3.01585327085012,0,0,0,0,0,0,0,0,0,-4.70956549047192,0,0,0,0,0,0,0,0,-5.22361109328518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.51093166617319,0,0,0,0,0,0,0,0,0,0,-4.34906122014554,0,0,0,0,0
"ERR1073205",0,0,4.46888119599657,0,0,0,0,0,0,0,-3.19300159633257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.53044099349654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.94300949693699,0,0,2.19072626405785,0,0,-2.84230336419306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.92301383730632,0,0,0,0,0,0,0,0,0,0,0,0,0,4.820241348285,0,0,0,0,0,-3.13605735148531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.43181066822244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR1073206",0,0,-0.485043411911482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.23370989284772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.86889902378148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.82821631687219,0,-2.2748629133954,0,0,0,0,0,0,0,0,0,0,0,0,3.16656354804908,3.6784034991336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.94017814625498,0,0,0,0,0,-1.99374699174397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.45327108713816,0,-3.16357710781967,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.47947628440546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR1073450",0,0,-4.35650361961572,0,0,0,0,0,-2.78965184188429,0,0,0,0,0,0,0,0,0,0,0,0,-4.83181872557169,0,0,0,0,0,0,-3.08267201217551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.33934454815858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.61616439604901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.67366330349717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.53132965490964,0,0,0,0.169129159142609,0,-3.16494456683118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.69390300710925,0,-5.48184479289067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.36604443339208,0,0,0,0,0,0,0,0,0,0,-4.09810917160059,0,0,0,0,0
"ERR1073663",0,-2.56571116357945,0,-4.44394209286626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.1784695731049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.50527079092944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.82432774510611,0,0,-2.88285292924626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.03844647363312,0,0,0,0,4.99324774420329,-2.52968205107967,0,0,0,0,0,0,0,0,0,0,0,0,4.89187915175023,0,-2.57800542800339,0,0,0,-2.71436635783515,0,0,0,5.26274366841106,0,0,0,0,0,0,0,-4.38153783946504,0,0,0,0,0,0,-4.70142044212616,0,-2.60957824062657,0,0,-4.46523638349023,0,0,0,0,0,0,0,0,0,0,4.51992209909142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR1073918",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.8721151141952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.97464930297257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.41532293223701,0,-5.26837201734033,0,0,0,0,0,0,0,0,0,0,0,0,-4.18346203532074,-5.12140767201764,-2.49910204331096,0,0,0,0,0,0,0,0,0,0,-2.99812922633323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0235570876580116,0.510071710225885,0,0,4.32857171231378,0,-3.34689384483553,0,0,0,0,0,0,5.19291214766632,0,0,0,0,0,0,0,0,0,0,0,-5.79699018679469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR1074869",0,0,4.87194263492802,0,0,0,0,0,-2.56272867967145,0,0,0,0,0,0,0,0,0,0,0,0,-4.43877627920486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.08088261443727,0,0,0,0,0,0,0,-2.49444292014741,0,0,0,0,0,0,0,-2.92448553198314,0,0,0,0,-2.43461277422809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0653575273949,0,0,-5.33624522036098,0,-2.92226523837026,4.32050187427579,0,0,-2.70440396884856,0,0,0,0,0,0,0,0,0,-4.21687302171927,0,0,0,0,0,0,0,0,-4.68416507823663,0,0,0,0,5.06151186604967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.79317272335718,0,0,0,0,0,0,0,0,0,0,4.83791707117016,0,0,0,0,0
