"","214856__39485_218538","588__516075","39485__218538","28129__166486_204516","1308__341225_645466","39484__133926_1148157","633701__1691_146817","53363__40214_387661","166486__204516","1465754__28117_169435","452084__850_1504","1264__1827099","82135__29552_376804","821__39778","28117__169435","29430__40520_291644","28025__28127","40214__387661","76517__47770_137732","47877__410072_536633","47879__53412_76759","850__1504","726__33029_48296","37734__41276_55197","2088__287_46503","1280__1725","40520__291644","199__60133","187491__1859290","32013__225991_290309","481743__1113741","45067__40681_234835","29552__376804","39496__1535_187327","658457__33035_39483","34087__370979_490189","196024__839_29375","38288__28135_454155","410072__536633","28126__840_376805","36874__1260_1515","1453492__28454_243924","290588__28111_329854","1844653__41976_328814","47770__137732","153721__254_1532","287__46503","626933__59310_310514","53440__317_189722","45254__28118_39497","33029__48296","1506__28125_35833","2173__856_108980","53412__76759","441500__38304_76853","535744__46506_301301","1590__288965","293__191493","239974__1034636_1646377","589437__1660_28137","1535__187327","254__1532","35825__45851_437898","202956__28090_137461","34038__33069_40518","36835__1144673","101564__384638","1303__28037","43263__303_310300","1260__1515","83263__70775_202955","28135__454155","136857__584_1735","28111__329854","29356__39029","1580__53408_179995","185294__184870_291645","43770__28116_47678","1633__28446_103892","147802__28026_29348","67269__33034_83617","317__189722","2741__1597_197614","1512__358742","182710__305719","425941__488_1582","39490__1113609","839__29375","46506__301301","33032__228603_1661050","41976__328814","28125__35833","1010__860_309120","529__1685_882211","36847__817_33038","28118__39497","45851__437898","40216__216778_271420","423605__106648_588932","104663__1611423","33069__40518","1559__29370_36745","308892__216816_626930","28136__1265_28128","28454__243924","840__376805","901__216935","43675__729_29466","33039__1254_52787","59310__310514","225991__290309","301__1680_122355","39489__511_582","1034636__1646377","157687__228604","33035__39483","1710__84112","79882__871324","77095__477666","584__1735","1267__285_626931","1472__502558","29355__40682","574375__40519_261299","1418__1689","33935__117207","1670__852_52226","71999__88688","1496__1547_208479","470__28139","40681__234835","341225__645466","1428__745310","376806__671267","28091__187452","163877__574930","1249__1687","237258__1746653","133926__1148157","1691__146817","626935__316_251535","1902__198616","33037__1463864","29524__1463837","879__1121830","33964__191610","851__93064","1660__28137","28116__47678","47715__102684","38304__76853","28026__29348","28090__137461","53408__179995","1727__1358_39486","128780__487316","1311__40543","1571__39492_246787","856__108980","2139__1755629","303__310300","471__39960","1685__882211","35785__28901_328812","1597__197614","1522__351091_397865","488__1582","817__33038","28132__470565","143393__487698","28446__103892","33034__83617","70775__202955","228603__1661050","1352__310297_487175","284042__43131_84032","216816__626930","860__309120","29370__36745","102862__585_349096","184870__291645","1304__163665_626932","1680__122355","1265__28128","1254__52787","100884__185293","28130__386414","1613__1465521","370979__490189","285__626931","40215__153151","40519__261299","216778__271420","1547__208479","1561__823_454154","511__582","729__29466","39492__246787","106648__588932","852__52226","587753__294_907","28901__328812","1358__39486","41276__55197","69825__820_1755626","1077256__239935_310298","310297__487175","106654__33043_44749","351091__397865","1408__183417","137591__589436_626937","585__349096","43131__84032","163665__626932","316__251535","2153__328813_1161942","823__454154","29354__84030_387090","294__907","239935__310298","589436__626937","33043__44749","28112__818_165179","328813__1161942","820__1755626","84030__387090","818__165179"
"ERR1072724",0,0,0,-2.15460384744994,0,0,0,0,-3.73188333396668,-2.15938007730955,0,0,-2.35046397161829,5.14074446678715,3.74015600675214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.07112302020301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.53027541438853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.09247149168618,0,0,0,0,0,0,0,0,0,0,4.38256557486333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6242669369899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.11601400263895,0,0,0,0,0,0,0,0,0,-2.36314689407924,0,0,0,0,0,0,0,0,0,0,0,-3.66504376209784,0,0,0,0,0,-1.92413554266968,0,4.09309048629384,0,3.332700520553
"ERR1072811",0,0,0,0,0,0,0,0,0,0,0,4.87734293609116,0,4.91904411933887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.80038115852483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.42680160115881,0,0,0,0,0,0,0,0,-2.49290222048726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8504024471236,0,0,0,0,0,0,0,0,0,0,0,0,0,4.20334367309656,0,0,-2.41762840498738,0,0,0,0,0,0,0,0,0,0,4.31783330418521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.19035020751174,0,0,0,-4.18745523125985,0,0,0,0,0,0,-2.46383328193135,0,0,0,0,0,0,0,4.26748442568427,-0.715729248534617,0,0
"ERR1072851",4.90698841825569,0,0,0,0,0,0,0,0,-3.17553649587077,0,0,0,5.65465981828059,5.5001905521374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.63296093719294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.01130553622913,0,0,0,-0.357254355923396,0,0,0,0,0,0,-2.75284669491295,0,0,0,0,0,0,-2.46242735490695,4.76807034103729,0.499282230444733,0,4.26504928864627
"ERR1072981",5.26683065285741,0,0,0,0,0,0,0,0,0,0,0,0,4.75776964390998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.68563223326862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.36958595908062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34257124663517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.20201746418424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.10424327402946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.52965816228578,-3.24669483196306,0,0,-3.81400612712108,0,0,0,0,0,0,0,0,0,0,5.62344040563133,0,0,-2.27275405110252,0,4.38149646286029,0,3.93652548961756
"ERR1073081",-2.18211594143597,3.95591611476597,-3.77953567857309,-1.8914962877526,0,0,0,0,3.27616767271543,0,0,0,0,0,0,-2.33765898025284,0,0,0,4.15509410935166,0,0,0,0,0,0,4.04894412456756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.30825861134576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.82287430327246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.73007199942811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.8893617166485,0,0,0,0,0,0,0,0,-2.30281889182993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.98859932127889,0,0
"ERR1073113",-1.7907957395794,0,3.10174920692941,0,0,0,0,0,0,-1.451806591494,0,0,0,5.46233201362727,2.51460277923101,-1.53318477208252,0,0,0,0,0,0,0,0,0,0,2.65555392263783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.44575889312713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.25554897570826,0,0,0,0,0,-2.50412785839073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.75527342264067,0,3.90672542488664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.10280735021807,0,0,0,3.04022274918895,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.74661757237505,0,-3.64216916910697,0,3.0252303767462
"ERR1073129",-2.30085019868601,0,3.98518944472911,0,0,0,0,0,0,-2.51092184527071,0,0,0,5.39725869153724,4.34904420984347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.51396071330053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.71905908278765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.67424324111308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.35430768366861,0,0,0,0,0,0,0,0,-2.46807875918935,0,0,0,0,-4.70954848016985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.63192516540552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2748378079975,0,0,0,0,0,0,-5.61264497676757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.725801901358553,0,0
"ERR1073205",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.22309572194217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.94299248663492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.51544919548908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.35688581044534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.84229354329058,0,0,0,0,0,0,0,0,0,-5.91900534967166,0,0,0,0,0,0,0,0,0,0,0,4.92299682700425,0,0,0,0,0,-2.5800999405826,0,-0.61156931993744,0,4.4688641856945
"ERR1073206",0,0,0,0,0,0,0,0,0,0,0,0,0,3.86888201347941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.29663069181983,0,-1.82820649596972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.977881044454,0,0,0,-3.16654653774701,0,0,0,-2.27485309249292,0,0,0,0,0,0,0,-1.80136382305572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.94016113595292,0,0,0,0,0,-1.83919192866432,0,0,0,0,0,0,0,0,0,0,0,-3.12005366444903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1855738653172,0,-1.99373717084149,-3.16356728691719,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4794592741034,0,0,-2.01659074738408,0,-3.4532540768361,0,3.49283763254252
"ERR1073318",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.77440250484088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.85152024906551,0,0,0,0,0,4.10994142065636,0,0,0,0,3.07335529146189,0,0,0,0,0,-2.3016960450865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.76000390531635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.20692714262404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.98665449367017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.04841618552756,-2.38437660224936,0,0,0,0,0,0,0,0,0,3.63321277762389,-3.2417224729489,0,0,0,0,0,0,0,0,0,0,4.12986141947433,0,0,5.61482802718532,0,0,-1.77440250484088,0,0,0,3.07335529146189
