"","1571__47877_1661032","28038__850_305719","1681__488_143393","104663__1467_487698","147802__53408_421767","59310__285_191295","1311__28111_47879","1010__41276_999468","28130__76517_386414","1613__1308_118748","157687__29466_228604","45067__1547_239974","202611__1401_290588","529__294_587753","100884__1280_1282","108980__820_28116","28091__1267_216935","28446__516075_1844653","1755629__52226_1746653","1379__52787_56810","1144673__40216_216778","187452__136857_626932","225991__290309","310514__351091_1755626","370979__490189","1034636__588_1670","28454__1113609","28090__271420","38304__40518_441500","70775__29461_35833","41276__999468","850__305719","488__143393","33035__1710_43131","1559__36745","76517__386414","28137__1535_589437","53408__421767","1611423__40214_153721","585__33935_626931","34087__196024","38986__1472_179995","184870__40681_454155","1597__78342_82135","13690__39497_88688","243924__1453492","471__106654","33029__187491","173480__1661050","1401__290588","28025__29355_43675","860__726_28037","36874__1260_1859290","1547__239974","47877__1661032","28127__1506_169435","80866__293_32013","103892__1633_1685","33031__291644_871324","1254__1582_2741","1467__487698","245__588932","1408__40324_308892","1725__1487956","29430__202956","384638__470_582","376804__35825_45851","41976__102862","28118__1687_437898","76759__83263","1504__39489","285__191295","48296__487316","40216__216778","516075__1844653","216947__423605","52226__1746653","28132__199_39778","1280__1282","1727__191493","1267__216935","52787__56810","905__237258_328814","294__587753","33034__1827099","1590__483012","29461__35833","1710__43131","1472__179995","136857__626932","1646377__29348_34038","1358__1515_46228","33935__626931","39497__88688","40681__454155","29466__228604","1303__729_60133","588__1670","33039__387661","28128__53363","29355__43675","351091__1755626","328812__1691_28026","820__28116","208479__358742","584__39485_204516","228603__1902_387090","1582__2741","726__28037","40214__153721","309120__287_251535","1260__1859290","470__582","293__32013","1623__138595","1687__437898","199__39778","29552__284042_1161942","291644__871324","40324__308892","45254__166486","1506__169435","214856__36848_328813","237258__328814","317__122355_1463864","28125__28136","53440__189722","78342__82135","33069__882211_1463837","33038__879_69825","729__60133","1308__118748","1902__387090","1691__28026","1735__78346","35825__45851","38288__1630_165179","589436__839_77095","287__251535","40518__441500","39485__204516","329854__452084","284042__1161942","1535__589437","1680__216816_536633","2139__44749","1633__1685","626930__823_47678","122355__1463864","163202__310297","28111__47879","882211__1463837","29348__34038","1515__46228","301301__1584_39484","341225__310298_454154","36848__328813","879__69825","216816__536633","39029__187327","246787__840_1113922","823__47678","1265__39492_46503","310298__454154","2088__817_46506","57706__818_487175","163877__40520_239935","39492__46503","671267__28117_397865","817__46506","67269__821_33043","40520__239935","818__487175","28117__397865","821__33043","1630__165179","907__218538","261299__574375","839__77095","79883__84032","840__1113922","1584__39484","28129__477666"
"ERR1072724",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.455642274385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.70095183185616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.468823549303935,0,-2.15461579175973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.73190402211809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.11602594694874,0,0,0,0,0,0,0,-3.66506445024926,-2.53028735869832,-1.92414748697947,0,0,-2.15939202161934,-4.38258626301474,-2.96802214604443,0,3.33272120870442,3.74017669490356,5.14076515493857,0,0,0,0,0,0,0,0
"ERR1072851",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.14979507749878,0,0,0,0,0,0,0,-5.07489631097541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.12266750067374,0,5.45560510765824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.15415366765253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.7680910291887,0,0,0,0,0,0,0,0,-2.46243929921673,0,0,-5.59517130236758,0,-3.26473131256985,0,4.26506997679768,1.30930150782566,5.654680506432,0,0,0,0,0,0,0,0
"ERR1073081",-2.07755899898562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.30283083613971,0,-2.2839611780615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.59843774196503,0,0,0,0,0,0,0,0,0,0,-2.82288624758225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.95593680291739,0,0,0,-3.98862000943031,0,0,0,0,0,0,0,0,0,0,-4.88938240479991,0,0,0,0,0,0,0,-3.27618836086684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.30827055565555,0,-2.33767092456263,0,0,5.73009268757953,0,4.04896481271898,0,0,0,0,-3.77955636672451,0,0,0,0,0,0
"ERR1073129",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.11078612874004,0,0,0,0,0,0,0,-3.01585539425743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.22361477113453,0,0.143484497955947,0,-2.3008621429958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.67425518542287,0,0,0,-2.71907102709744,0,0,0,0,0,0,0,0,0,0,0,3.98521013288053,0,0,0,0,0,0,0,4.63194585355693,0,0,4.70956916832126,0,0,0,0,0,0,0,0,0,0,-2.46809070349914,0,0,0,0,4.27485849614891,-2.5109337895805,0,-3.11612070275486,0,0,4.34906489799489,5.39727937968866,0,0,0,0,0,0,0,0
"ERR1073205",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.48684907543189,-2.78296976339862,0,0,0,0,0,0,0,-3.13605947489262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.51546113979887,0,0,0,1.11533466683065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.30734894940372,-4.94301317478633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.43181434607179,0,4.82024502613435,0,0,0,4.35690649859676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.84230548760037,0,0,0,0,0,0,0,0,0,0,0,0,0,4.92301751515567,0,0,0,-2.58011188489239,0,0,0,0,0,0,4.46888487384592,0,0,0,0,0,0,0,0,0,0
"ERR1073206",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.27486503680271,0,0,0,0,0,0,0,-1.99374911515128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.80137576736551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3817651098186,0,0,0,0,0,0,0,0,0,-3.45327476498751,0,-3.94018182410433,0,0,0,3.12007435260044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.16656722589843,0,0,0,0,0,0,0,0,0,0,0,3.97790173260542,0,0,0,0,0,0,0,0,0,0,0,-2.01660269169387,-3.16357923122698,0,0,0,-2.23371201625503,-5.47947996225481,3.49285832069394,0,3.86890270163082,0,0,0,0,0,0,0,0
"ERR1073450",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.61616651945632,0,0,0,0,0,0,0,-3.16494669023849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.69390725392387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.51523066091803,0,0,0,0,0,0,0,0,0,-5.48184847074002,0,-4.53133333275898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.96295024784169,0,0,0,0,0,0,0,4.35650729746507,0,0,0,0,0,0,0,0,-2.7896539652916,0,0,0,0,4.83182240342104,-2.36604655679939,0,-5.46833129351812,0,0,4.09811284944994,1.20726881902362,0,0,0,0,0,0,0,0
"ERR1073663",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.82432986851342,0,0,0,0,0,0,0,-2.71436848124246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.70142411997551,0,4.89188282959957,0,-2.60958036403388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.52968417448698,0,0,0,0,0,0,0,0,0,0,-4.51992577694077,0,0,0,0,0,0,-2.88285505265357,0,0,0,0,0,0,0,-2.56571328698676,0,-4.38154151731439,0,0,0,4.99325142205264,0,-4.44394577071561,-3.03844859704043,-2.5780075514107,0,0,0,-5.26274734626041,-3.17847169651221,0,-4.46524006133957,0,5.50527446877879,0,0,0,0,0,0,0,0
"ERR1073918",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.26837626415495,0,0,0,0,0,0,0,-5.76222102388716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.61352815147395,0,0.0235570876580116,0,-2.70795097901859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.69030868006609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.1802369698402,5.99626269948108,0,0,0,0,0,0,0,0,0,-5.37122140432078,0,0,0,0.646077590658795,0,0,0,0,0,0,0,0
"ERR1074869",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.08088473784458,0,0,0,0,0,0,0,-2.70440609225587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.92448765539045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.49444504355472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.68416875608598,0,-5.33624889821033,0,5.58634969352898,0,0,0,5.06536120524424,0,0,-4.32050555212514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.4346148976354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.21687669956862,0,0,0,0,0,0,0,0,0,0,-2.56273080307876,0,-2.92226736177757,-2.81281951515941,0,4.43877995705421,0,5.06151554389902,0,0,4.87194631277736,0,0,0,0,0,0,0,0,0,0
