"","Part","BalanceID","Component","Group","d.group"
"69","1","1571__47877_1661032","1571","1571__47877_16610321","p__Terrabacteria group"
"190","-1","1571__47877_1661032","47877","1571__47877_1661032-1","p__Proteobacteria"
"372","-1","1571__47877_1661032","1661032","1571__47877_1661032-1","p__Proteobacteria"
"409","-1","28038__850_305719","850","28038__850_305719-1","p__Fusobacteria"
"479","1","28038__850_305719","28038","28038__850_3057191","p__Terrabacteria group"
"672","-1","28038__850_305719","305719","28038__850_305719-1","p__FCB group"
"771","-1","1681__488_143393","488","1681__488_143393-1","p__Proteobacteria"
"839","1","1681__488_143393","1681","1681__488_1433931","p__Terrabacteria group"
"997","-1","1681__488_143393","143393","1681__488_143393-1","p__Terrabacteria group"
"1194","-1","104663__1467_487698","1467","104663__1467_487698-1","p__Terrabacteria group"
"1365","1","104663__1467_487698","104663","104663__1467_4876981","p__FCB group"
"1470","-1","104663__1467_487698","487698","104663__1467_487698-1","p__Proteobacteria"
"1714","-1","147802__53408_421767","53408","147802__53408_421767-1","p__Proteobacteria"
"1756","1","147802__53408_421767","147802","147802__53408_4217671","p__Terrabacteria group"
"1835","-1","147802__53408_421767","421767","147802__53408_421767-1","p__Terrabacteria group"
"1899","-1","59310__285_191295","285","59310__285_191295-1","p__Proteobacteria"
"2099","1","59310__285_191295","59310","59310__285_1912951","p__Terrabacteria group"
"2156","-1","59310__285_191295","191295","59310__285_191295-1","p__Proteobacteria"
"2323","1","1311__28111_47879","1311","1311__28111_478791","p__Terrabacteria group"
"2377","-1","1311__28111_47879","28111","1311__28111_47879-1","p__FCB group"
"2465","-1","1311__28111_47879","47879","1311__28111_47879-1","p__Proteobacteria"
"2691","1","1010__41276_999468","1010","1010__41276_9994681","p__FCB group"
"2827","-1","1010__41276_999468","41276","1010__41276_999468-1","p__Proteobacteria"
"3006","-1","1010__41276_999468","999468","1010__41276_999468-1","p__FCB group"
"3144","1","28130__76517_386414","28130","28130__76517_3864141","p__FCB group"
"3241","-1","28130__76517_386414","76517","28130__76517_386414-1","p__Proteobacteria"
"3345","-1","28130__76517_386414","386414","28130__76517_386414-1","p__FCB group"
"3459","-1","1613__1308_118748","1308","1613__1308_118748-1","p__Terrabacteria group"
"3486","1","1613__1308_118748","1613","1613__1308_1187481","p__Terrabacteria group"
"3644","-1","1613__1308_118748","118748","1613__1308_118748-1","p__Terrabacteria group"
"3918","-1","157687__29466_228604","29466","157687__29466_228604-1","p__Terrabacteria group"
"4033","1","157687__29466_228604","157687","157687__29466_2286041","p__Fusobacteria"
"4066","-1","157687__29466_228604","228604","157687__29466_228604-1","p__FCB group"
"4236","-1","45067__1547_239974","1547","45067__1547_239974-1","p__Terrabacteria group"
"4350","1","45067__1547_239974","45067","45067__1547_2399741","p__Proteobacteria"
"4448","-1","45067__1547_239974","239974","45067__1547_239974-1","p__Terrabacteria group"
"4601","-1","202611__1401_290588","1401","202611__1401_290588-1","p__Terrabacteria group"
"4812","1","202611__1401_290588","202611","202611__1401_2905881","p__Terrabacteria group"
"4837","-1","202611__1401_290588","290588","202611__1401_290588-1","p__Terrabacteria group"
"4934","-1","529__294_587753","294","529__294_587753-1","p__Proteobacteria"
"4942","1","529__294_587753","529","529__294_5877531","p__Proteobacteria"
"5266","-1","529__294_587753","587753","529__294_587753-1","p__Proteobacteria"
"5350","-1","100884__1280_1282","1280","100884__1280_1282-1","p__Terrabacteria group"
"5351","-1","100884__1280_1282","1282","100884__1280_1282-1","p__Terrabacteria group"
"5530","1","100884__1280_1282","100884","100884__1280_12821","p__Terrabacteria group"
"5710","-1","108980__820_28116","820","108980__820_28116-1","p__FCB group"
"5789","-1","108980__820_28116","28116","108980__820_28116-1","p__FCB group"
"5916","1","108980__820_28116","108980","108980__820_281161","p__Proteobacteria"
"6107","-1","28091__1267_216935","1267","28091__1267_216935-1","p__Terrabacteria group"
"6166","1","28091__1267_216935","28091","28091__1267_2169351","p__Proteobacteria"
"6335","-1","28091__1267_216935","216935","28091__1267_216935-1","p__Terrabacteria group"
"6560","1","28446__516075_1844653","28446","28446__516075_18446531","p__Terrabacteria group"
"6778","-1","28446__516075_1844653","516075","28446__516075_1844653-1","p__Proteobacteria"
"6821","-1","28446__516075_1844653","1844653","28446__516075_1844653-1","p__Terrabacteria group"
"7017","-1","1755629__52226_1746653","52226","1755629__52226_1746653-1","p__Terrabacteria group"
"7196","-1","1755629__52226_1746653","1746653","1755629__52226_1746653-1","p__Terrabacteria group"
"7198","1","1755629__52226_1746653","1755629","1755629__52226_17466531","p__PVC group"
"7253","1","1379__52787_56810","1379","1379__52787_568101","p__Terrabacteria group"
"7397","-1","1379__52787_56810","52787","1379__52787_56810-1","p__Terrabacteria group"
"7403","-1","1379__52787_56810","56810","1379__52787_56810-1","p__Proteobacteria"
"7748","-1","1144673__40216_216778","40216","1144673__40216_216778-1","p__Proteobacteria"
"7849","-1","1144673__40216_216778","216778","1144673__40216_216778-1","p__Proteobacteria"
"7939","1","1144673__40216_216778","1144673","1144673__40216_2167781","p__Proteobacteria"
"8194","-1","187452__136857_626932","136857","187452__136857_626932-1","p__Terrabacteria group"
"8217","1","187452__136857_626932","187452","187452__136857_6269321","p__Terrabacteria group"
"8304","-1","187452__136857_626932","626932","187452__136857_626932-1","p__FCB group"
"8612","1","225991__290309","225991","225991__2903091","p__Proteobacteria"
"8626","-1","225991__290309","290309","225991__290309-1","p__Proteobacteria"
"9016","1","310514__351091_1755626","310514","310514__351091_17556261","p__FCB group"
"9023","-1","310514__351091_1755626","351091","310514__351091_1755626-1","p__Terrabacteria group"
"9092","-1","310514__351091_1755626","1755626","310514__351091_1755626-1","p__Terrabacteria group"
"9404","1","370979__490189","370979","370979__4901891","p__FCB group"
"9430","-1","370979__490189","490189","370979__490189-1","p__FCB group"
