"","308994__310297","454154__28117_633701","84026__46506_437898","228603__187327_239935","28117__633701","328813__46503_301302","387090__410072","856__40520_291645","187327__239935","46506__437898","1535__853_46228","39485__83771","39492__821_351091","28116__204516","853__46228","821__351091","28136__626937","850__36847","246787__158847_357276","1280__28111_47678","40520__291645","544645__818_40518","46503__301302","387661__234908_310298","562__371601","817__165179_360807","158847__357276","818__40518","28111__47678","234908__310298","165179__360807"
"SRR5365435",-5.16019550282088,0,-2.37560768570562,0,0,3.9179225872469,5.57907816914887,0,0,4.11467321049325,0,0,-2.38136527131916,-4.99226219843226,0,4.12464564130483,0,0,0,0,0,0,0,-6.25170485332257,0,0,0,0,0,-1.76010117973246,0
"SRR5365436",0,-4.78017010937321,0,0,-0.00197418853740619,0,0,0,0,0,-5.66452890069047,0,-5.03449921845626,0,0.106712966608889,0.413758660856885,0,0,-2.57097872942305,0,0,0,0,0,0,-3.11356662444772,-4.45306578453959,0,0,0,5.39285558629418
"SRR5365437",0,-4.43080704421132,-2.2360927138252,-2.52546454431231,0.356659967243099,0,0,0,4.3742329034627,-3.87302619077983,0,0,-2.5833367734794,-4.13230169293429,0,4.47447054472738,0,0,0,0,0,0,0,-2.29111901859129,0,-3.75739260157678,0,0,0,3.96833454638745,6.50799488991439
"SRR5365438",0,-2.91043802971342,-5.59026655440764,0,5.0410265397443,0,0,0,0,-0.192740006752598,-2.90126892430336,0,-3.35464506311382,0,5.02514518331413,5.81041569067324,0,0,-2.46558100226195,-2.75685996139468,0,0,0,-2.82722113347687,0,0,-4.27051156609429,0,4.77502152248797,-4.89689064741441,0
"SRR5365439",0,-2.26463388528949,0,0,-3.92246094986351,0,0,0,0,0,-2.30757245317488,0,-4.09534636433111,0,3.99683273104524,-0.453967011505492,-0.179133276905866,0,0,0,0,0,0,-1.93676743382137,0,-3.79385354140687,0,0,0,-3.3545795978234,6.57114709019181
"SRR5365440",0,0,-2.57692717033733,0,0,0,0,0,0,4.46336878642896,3.10084421340485,0,-2.79660196487214,0,4.17370322261722,4.84385669170551,0,0,0,0,0,0,0,-5.24667581312989,0,-3.39942774091639,0,0,0,0.516771984630874,5.88798156392629
"SRR5365441",0,0,-2.75992512336315,0,0,4.48219591114424,0,0,0,4.78033053875077,-2.36727527945256,0,-3.27750968836268,0,4.10024105951364,5.6768133025434,0,0,0,0,0,0,0,-3.18574344000392,4.08354563177965,-4.70802188482683,0,0,0,-5.51786949796604,0.416452721040594
"SRR5365442",0,-2.72261110779341,-3.25945207285657,0,4.71570076794957,-2.71526502951764,0,0,0,5.64553659502327,0,0,-2.92539951916955,4.11709581121502,0,5.06694059963923,0,0,0,-2.69823607067438,0,0,4.70297698713956,-3.00257310268721,0,0,0,0,4.67348196522304,-5.20060916729398,0
"SRR5365443",0,0,-2.45777530894211,0,0,0,0,0,0,4.25699170867603,-2.50487064138274,0,-3.13598483730602,-3.86635961176527,4.33856321726254,5.43168506997964,0,4.22976624287816,0,0,0,0,0,-2.76166874803493,0,-5.87796343982831,0,0,0,-4.78335058527163,2.26536365315704
"SRR5365444",-4.18923250777065,-2.72912947368407,-2.04260033765152,0,-4.72699090885452,0,3.89748829165648,0,0,3.53788756436977,0,-1.7275692902346,0,0,0,0,0,0,0,0,0,0,0,-5.50132970638713,0,-3.55951381478514,0,0,0,-0.816771759962934,6.16525877745118
