"","44749__48296","376804__40520_351091","40520__351091","1504__39492_397865","2088__626930","39492__397865","582__187491_1859290","84032__1590_40518","253239__39497_84030","39029__187327_536633","1590__40518","2139__28125_179995","28111__29375","905__28446_29370","452084__39778_40214","115979__1717_163877","39497__84030","1465521__133926_1148157","187327__536633","59310__1691_508460","28125__179995","47770__410072","29360__1547_39483","376806__53408_1661050","46228__588_1646377","82135__1532_28137","305719__585_187452","1630__309120","202956__216778_1144673","1010__76759_999468","39778__40214","40519__293_28901","153721__839_1510","1113609__28454_243924","726__729_28117","77095__28135_535744","441500__38304_425941","173480__33031_184870","1467__33029_33032","239974__28132_470565","34087__511_196024","56810__291644_387661","588932__28090_106648","271420__46503_47678","28126__850_328812","860__216816_349096","106654__471_516075","840__823_28116","1401__202611_290588","1661032__1352_47877","38288__1254_36848","729__28117","43770__907_261299","100884__2173_1611423","588__1646377","33035__287_69825","405446__584_33069","1487956__1725_191493","70775__53412_658457","37734__310514","40216__254_29430","1264__820_821","386414__1358_169435","310300__1559_36745","293__28901","585__187452","839__1510","76759__999468","1584__166486_301301","28129__1308_589436","216816__349096","46503__47678","38304__425941","1034636__1755629","1532__28137","28135__535744","1267__1522_216935","823__28116","626933__285_83617","216778__1144673","291644__387661","471__516075","80866__45851_882211","907__261299","287__69825","876__1689","1680__1685_33043","317__47884","53363__36874_43131","308892__218538_239935","108980__901_454155","183417__122355_310297","511__196024","1571__38986","43675__1303_29466","28091__488_41976","850__328812","28454__243924","487698__40324_47880","584__33069","1597__1735_1465754","291645__818_46506","288965__574375","34038__1681_633701","185294__589437","1308__589436","202611__290588","1254__36848","28090__106648","1352__47877","1358__169435","53408__1661050","1746653__208479_328814","39490__1280_28025","57706__562_143393","28136__29356_228603","1827099__1260_28128","1685__33043","33031__184870","28446__29370","1406__1408","1547__39483","166486__301301","28132__470565","820__821","45851__882211","316__301_1623","218538__239935","1379__28037_387090","137591__52787_78342","254__29430","122355__310297","1725__191493","1522__216935","29355__114527_207340","33029__33032","33935__39645_105229","28118__52226","185293__189722_310298","818__46506","1512__817_39485","1735__1465754","488__41976","103892__33038_204516","2741__47715","137732__1535_1755626","40681__574930","502558__437898_626931","901__454155","153151__626935","1717__163877","40324__47880","1687__415956","133926__1148157","1691__508460","1681__633701","29524__237258","479117__29552_39496","370979__490189","300__1902","208479__328814","1304__1515_29348","851__251535","157687__228604","1303__29466","1121298__214856_487175","1661055__303_1661059","303__1661059","34062__1382_52773","128780__39960_1463864","39645__105229","1382__52773","202955__40215_202952","114527__207340","40215__202952","1660__284042","39960__1463864","199__60133","1472__1844653","187491__1859290","36874__43131","28130__76517","1282__39489","1670__1463837","28037__387090","29356__228603","301__1623","225991__329854_454154","817__39485","879__341225","562__143393","52787__78342","2173__1611423","33038__204516","285__83617","547163__1265_1161942","189722__310298","53412__658457","1535__1755626","1260__28128","437898__626931","41276__55197","529__101564","1613__118748","745310__1113922","29552__39496","1515__29348","214856__487175","1280__28025","329854__454154","294__587753","216947__165179_328813","1559__36745","1265__1161942","165179__328813"
"ERR1072629",0,-2.33355860941199,-4.04184207394134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.40063882999155,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.35863506108545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.21943194012041,0,0,0,0,0,0,0,0,0,0,0,-2.36991512486197,0,0,0,0,0,0,0,0,0,0,0,-2.5568434231799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.81732656988221,0,0,-4.10481340588687,0,0,0,0,0,0,0,0,0,3.80287883326283,0,4.42858271594592,-2.77838076798459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.81229665292155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.21098774908777,0,0,-5.56159392390124
"ERR1072724",0,4.70093537532646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.15938379335448,0,0,0,0,0,0,0,0,0,0,0,0,-2.09247520773112,0,0,0,-3.74016244313078,0,0,0,0,0,0,0,0,0,-5.33116452790376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.62427337336854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.45441838914809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.04765398049331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.04986505431032,0,0,0,-2.15460756349488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.11601771868389,0,0,0,0,0,-3.73188977034531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.66505019847648,0,0,0,0,0
"ERR1072851",0,-2.21335373536064,-3.83364112476699,-2.41961463392218,0,-4.19089548069038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.1755402119157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.50019698851604,0,0,0,0,0,0,0,0,0,-6.41450993353893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.46243107095188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.199075398773759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.26505572502491,0,0,0,0,0,-2.86152611908507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.45349792517278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.95630862544073,0,0,0,0,0,0,0,0,4.24958306266408,0,0,0,-2.75285041095789,0,0,-4.76807677741592
"ERR1072937",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.9724013404206,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.77877836325639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.14835014209431,0,0,0,0,-3.28720786026739,0,0,0,0,0,0,0,0,-3.26354236175663,0,0,0,0,0,0,0,0,0,-2.54985598527543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.81298530813315,-5.6936110290229,0,0,0,0,0,5.65262118321581,0,0,0,0,0,0,-2.93825117905372,4.41648011848064,-2.42917270340724,0,0,0,0,-2.55306767702637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.20745054266078,0,0,0,0,0,0,0,-5.08920032752019,0,-4.42204293177152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR1073023",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.41522204611537,0,0,0,0,0,0,0,0,0,0,0,0,-2.55136980412941,0,0,0,-4.18328729543229,0,-2.78549872236626,0,0,0,0,0,0,0,-5.75300305292502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.41910212964919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.4601047802485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.459847360554016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.81244230797334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.44085172965004,0,0,0,0,4.82462531155656,0,0,0,0,0,-4.8712929707661,0,0,0,0,0,0,0,0,0,0,0.210805423454542,0,0,0,0,0
"ERR1073081",0,-2.33766269629778,4.0489505609462,0,0,0,5.6457560386348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.28395294979665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.07755077072077,0,0,0,0,3.95592255114461,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.89150000379754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.18211965748091,0,0,0,0,0,0,0,0,-2.06855736091617,0,0,0,0,0,0,0,0,0,0,-3.59842349019225,0,0,0,0,0,0,0,0,0,0,0,0,3.27617410909407,0,0,0,0,3.77954211495173,0,0,0,0,0,0,0,0,0,0,0,0,-3.3082623273907,0,0,0,0,-2.30282260787486,0,0,0,0,0,-3.58284644747739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.73007843580675,0,0,0,0,0,0,0,0,0,-3.98860575765753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR1073129",0,0,0,-2.46808247523428,0,4.27484424437614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.51092556131565,0,0,0,0,0,0,0,0,0,0,0,0,-2.51396442934547,0,0,0,-4.34905064622211,0,0,0,0,0,0,0,0,0,-5.71291771735488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.35431412004725,0,0,0,0,-2.71906279883259,0,0,0,0,0,0,0,0,-2.67424695715802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.89946650991268,-4.70955491654848,0,0,0,0,0,4.63193160178415,0,0,0,0,0,0,0,0,-2.30085391473095,0,0,0,0,-3.01584716599258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.98519588110775,0,0,0,0,0,0,0,0,0,-5.22360051936175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR1073205",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.84229725933552,0,0,0,0,0,0,0,0,0,-0.948723807593267,0,0,0,-2.78296153513377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.92300326338289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.58010365662754,0,0,0,0,0,0,0,0,0,0,0,-2.48684084716704,0,0,0,0,0,0,0,0,0,0,4.82023077436157,0,0,0,0,0,0,0,0.587431496559555,0,0,0,0,0,0,4.46887062207314,0,0,0,0,0,-3.13605124662777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.43180009429901,0,0,0,0,0,0,0,0,0,4.30733469763094,0,0,0,0,0,0
"ERR1073206",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.27485680853786,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.23370378799018,-1.83919564470926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.94016757233155,0,0,0,0,0,0,0,0,0,0,0,-3.16357100296213,0,0,0,0,0,0,0,0,0,0,0,-2.01659446342902,0,0,0,0,0,0,0,0,3.18558030169583,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.86888844985805,0,0,-5.47946571048203,0,0,0,0,0,0,0,0,0,0,0,3.49284406892116,0,0,0,0,0,-1.99374088688643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.29663440786477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.82821021201465,0,0,0,0,0,0,0,0,0,0,-3.45326051321473,0,0,0,0,0,0,0,3.97788748083264,0,0,3.16655297412565,0,0,0,0,0
"ERR1073394",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.61798670543713,0,0,0,0,0,0,0,0,-2.3925370068266,0,0,0,-5.22555939056621,0,0,0,-4.53448598735697,0,0,0,0,0,0,0,0,0,-6.6847148674836,0,0,0,0,0,0,0,0,0,-4.14399565481243,0,0,0,0,0,-1.46027976763354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.87280601635862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0779538857588547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.97584598062269,0,0,0,0,0,-2.95608439016742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.28915404903451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.12008835523124,0,0,0,0,0,0,0,0,3.96493111927979,0,0,0,0,0,0,0
