oldID,newID
44749_and_48296,44749__48296
351091_and_376804_and_40520,376804__40520_351091
351091_and_40520,40520__351091
1504_and_39492_and_397865,1504__39492_397865
2088_and_626930,2088__626930
39492_and_397865,39492__397865
1859290_and_187491_and_582,582__187491_1859290
1590_and_40518_and_84032,84032__1590_40518
253239_and_39497_and_84030,253239__39497_84030
187327_and_39029_and_536633,39029__187327_536633
1590_and_40518,1590__40518
179995_and_2139_and_28125,2139__28125_179995
28111_and_29375,28111__29375
28446_and_29370_and_905,905__28446_29370
39778_and_40214_and_452084,452084__39778_40214
115979_and_163877_and_1717,115979__1717_163877
39497_and_84030,39497__84030
1148157_and_133926_and_1465521,1465521__133926_1148157
187327_and_536633,187327__536633
1691_and_508460_and_59310,59310__1691_508460
179995_and_28125,28125__179995
410072_and_47770,47770__410072
1547_and_29360_and_39483,29360__1547_39483
1661050_and_376806_and_53408,376806__53408_1661050
1646377_and_46228_and_588,46228__588_1646377
1532_and_28137_and_82135,82135__1532_28137
187452_and_305719_and_585,305719__585_187452
1630_and_309120,1630__309120
1144673_and_202956_and_216778,202956__216778_1144673
1010_and_76759_and_999468,1010__76759_999468
39778_and_40214,39778__40214
28901_and_293_and_40519,40519__293_28901
1510_and_153721_and_839,153721__839_1510
1113609_and_243924_and_28454,1113609__28454_243924
28117_and_726_and_729,726__729_28117
28135_and_535744_and_77095,77095__28135_535744
38304_and_425941_and_441500,441500__38304_425941
173480_and_184870_and_33031,173480__33031_184870
1467_and_33029_and_33032,1467__33029_33032
239974_and_28132_and_470565,239974__28132_470565
196024_and_34087_and_511,34087__511_196024
291644_and_387661_and_56810,56810__291644_387661
106648_and_28090_and_588932,588932__28090_106648
271420_and_46503_and_47678,271420__46503_47678
28126_and_328812_and_850,28126__850_328812
216816_and_349096_and_860,860__216816_349096
106654_and_471_and_516075,106654__471_516075
28116_and_823_and_840,840__823_28116
1401_and_202611_and_290588,1401__202611_290588
1352_and_1661032_and_47877,1661032__1352_47877
1254_and_36848_and_38288,38288__1254_36848
28117_and_729,729__28117
261299_and_43770_and_907,43770__907_261299
100884_and_1611423_and_2173,100884__2173_1611423
1646377_and_588,588__1646377
287_and_33035_and_69825,33035__287_69825
33069_and_405446_and_584,405446__584_33069
1487956_and_1725_and_191493,1487956__1725_191493
53412_and_658457_and_70775,70775__53412_658457
310514_and_37734,37734__310514
254_and_29430_and_40216,40216__254_29430
1264_and_820_and_821,1264__820_821
1358_and_169435_and_386414,386414__1358_169435
1559_and_310300_and_36745,310300__1559_36745
28901_and_293,293__28901
187452_and_585,585__187452
1510_and_839,839__1510
76759_and_999468,76759__999468
1584_and_166486_and_301301,1584__166486_301301
1308_and_28129_and_589436,28129__1308_589436
216816_and_349096,216816__349096
46503_and_47678,46503__47678
38304_and_425941,38304__425941
1034636_and_1755629,1034636__1755629
1532_and_28137,1532__28137
28135_and_535744,28135__535744
1267_and_1522_and_216935,1267__1522_216935
28116_and_823,823__28116
285_and_626933_and_83617,626933__285_83617
1144673_and_216778,216778__1144673
291644_and_387661,291644__387661
471_and_516075,471__516075
45851_and_80866_and_882211,80866__45851_882211
261299_and_907,907__261299
287_and_69825,287__69825
1689_and_876,876__1689
1680_and_1685_and_33043,1680__1685_33043
317_and_47884,317__47884
36874_and_43131_and_53363,53363__36874_43131
218538_and_239935_and_308892,308892__218538_239935
108980_and_454155_and_901,108980__901_454155
122355_and_183417_and_310297,183417__122355_310297
196024_and_511,511__196024
1571_and_38986,1571__38986
1303_and_29466_and_43675,43675__1303_29466
28091_and_41976_and_488,28091__488_41976
328812_and_850,850__328812
