"","291644__1535_1646377","1535__1646377","349096__1408_40324","1661050__39484_187327","28446__901_1223514","53408__1260_1827099","39484__187327","82135__40214_1465754","43770__216778","28025__35833","1408__40324","1487956__585_1725","33035__28117_189722","901__1223514","47877__29466_47770","1532__1358_28118","187491__1859290","1401__481743_1113741","118748__1613_1465521","45067__40681_475254","28128__36874_43131","1611423__41276_104663","999468__28127_309120","587753__529_1506","2741__1258_47715","28091__287_28901","34087__196024_370979","239974__1264_487175","47880__169435_376804","588__48296_516075","40214__1465754","1453492__28454_243924","28117__189722","840__28038","67269__1735_44749","2173__182710_310514","59310__179995_328812","290309__225991_376805","1282__1504_29356","658457__1515_69825","53412__52787_191493","1582__55197","441500__2139_38304","1590__36835","115979__100884_187452","39029__487698","40216__28090_271420","1264__487175","245__153151_1671366","56810__13690_626933","1358__28118","287__28901","1735__44749","585__1725","76517__860_425941","32013__33034_80866","39490__850_38986","225991__376805","48296__516075","36848__301_1382","1681__28130","574375__28026_47884","1633__103892_535744","28127__309120","39496__147802","29375__1113609","47879__729_28111","1580__305719","1406__33032","254__79880_405446","43263__959_290588","169435__376804","35825__185294","1515__69825","202611__39497_328814","29466__47770","1260__1827099","179995__328812","876__823_397865","529__1506","33964__1307_33031","28454__243924","1512__208479_437898","316__180282","1571__33069_166486","1504__29356","196024__370979","562__78342_626937","216947__28116_46506","1144673__39492_218538","1267__301301_329854","1661032__317_28125","52787__191493","490189__46503_47678","182710__310514","13690__626933","41276__104663","100884__187452","1559__36745","228604__28137_470565","729__28111","79885__1902_192421","285__83617","1467__308892","1727__46228","28026__47884","481743__1113741","29360__39483","29354__88688","40681__475254","1599__341225","183417__122355_454154","1428__101070","1687__133926","2139__38304","1121830__1148157","1691__28124","93064__103621","1902__192421","33959__251535","28131__284042","98513__1463864","157692__1463837","1258__47715","28135__76853","39486__1113709","54006__1755629","300__1311","40215__387661_633701","39497__328814","28090__271420","86664__40519_261299","1613__1465521","1071390__817_536633","29533__487316","37734__310297_882211","270498__310300","471__416016","163665__1265_40518","106654__137730","103892__535744","823__397865","70775__71999","28126__137591","381706__108980_216935","850__38986","357276__29552_84032","33069__166486","959__290588","171399__1308_33038","208479__437898","33034__80866","79880__405446","479117__29348_40520","52133__106648_588932","29370__36847","39492__218538","301301__329854","78342__626937","28116__46506","1352__33043_239935","317__28125","860__425941","1121298__45851_351091","46503__47678","1307__33031","33039__185293","879__574930","122355__454154","36874__43131","376806__246787_310298","1113922__589436_626930","102862__584_1680","153151__1671366","301__1382","33935__1630_84030","488__43675_387090","310297__882211","817__536633","387661__633701","40519__261299","1265__40518","108980__216935","158849__1623_143393","29552__84032","1308__33038","626931__818_204516","237258__294_410072","33043__239935","28137__470565","45851__351091","29348__40520","52226__291645","157687__1685_28132","584__1680","1630__84030","60133__39778_216816","246787__310298","57706__907_28037","589436__626930","43675__387090","1379__1303_1161942","106648__588932","228603__820_821","626932__328813_1755626","818__204516","1623__143393","294__410072","839__165179_214856","1685__28132","39778__216816","907__28037","1303__1161942","165179__214856","328813__1755626","820__821"
"ERR1072629",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.19558966746779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.80287285662747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.05233564382721,0,0,0,0,0,0,0,0,0,-2.34829628494027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.77837731737256,0,0,0,0,0,0,0,5.28680041686219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.06736847674178,-2.36991167424993,0,0,-2.33355515879995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.81229067628619,0,0,0,0,0,0,0,-2.55683997256787,0,-4.10480742925151,0,-4.04183609730598,0,0,0,0,0,0,0,0,0,0,0,0,-3.35863161047342,-3.21098429847573,4.42857673931056,0,0,0,0,0,0,0,0,5.56158794726588,-5.81732059324684
"ERR1072672",0,0,0,-1.69760863854829,0,0,-2.94034441333347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.13514526882004,0,0,-2.00751245627636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.69818008713663,0,0,0,0,-1.60418454196275,0,0,0,0,0,0,0,0,0,-2.24457044013471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.47711357109805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.76971539056892,0,0,0,0,0,0,0,-2.7785291313961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.88771004348055,0,0,0,0,0,0,0,0,0,0,-1.86622074840143,0,0,0,0,0,0,0,3.06523697140197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2323891543705,0,0,0,0,0,-2.53774499814241,-2.28170906591814,0,0,0,0,0,0,0,0,0,-3.95203603026074,4.39550327343644
"ERR1072724",0,0,0,0,0,0,0,0,0,0,0,0,-2.15938034274245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.35046423705119,0,0,0,3.74015646649542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.07112347994628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.62274743694051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.11601426807185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.758298637873423,0,0,0,0,0,0,0,0,-3.66504422184112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.07873992098543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.33115762667969,0,-0.399182813413676,0,0,0,0,0,0,0,0,0,-1.04765398049331
"ERR1072843",0,0,0,0,0,0,0,0,0,0,0,0,-4.5551808570151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.394668006565657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.47311599773234,0,0,0,0,-4.51907989318696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.28356256108381,0,0,0,-2.33337730977667,0.289062609981141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.04152805376158,0,0,0,0,0,0,0,0,0,0,0,0,-2.43489528861583,-2.68343115469944,0,0,0,-2.14205475605018,0,0,0,0,3.71014767007347,-4.64783909855264,4.2173623509927
"ERR1072851",0,0,0,0,0,0,0,0,0,0,0,0,-3.17553676130367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.50019101188068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.41961118331014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.19088950405502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.2133502847486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.46242762033985,0,0,0,-3.83363514813162,0,0,0,0,0,0,0,0,0,0,0,0,-6.41450303231486,-5.61436962881889,4.26504974838954,0,0,-2.45349447456075,0,0,0,0,-4.24957708602872,-0.188231848024808,-0.199075398773759
"ERR1072936",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.6094603598011,0,0,-2.1101993088882,0,0,0,0,0,0,0,0,-3.96933293326379,0,0,0,0,0,0,0,0,0,-2.68723326883735,0,0,0,0,0,0,0,0,0,0,0,-4.51971792351246,0,0,0,0,0,0,0,0,0,0,-3.09600317086824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.09460490002826,0,0,0,0,0,-0.0919619308980235,0,0,0,0,0,0,0,0,0,0,-3.65497241709109,0,0,0,0,0,0,4.65442455341569,0,0,0,0,0,0,0,0,5.36243479233814,0,0,0,0,0,0,0,0,-5.36001291620055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.34667574640021,-2.18980920880581,0,0,0,0,0,0,0,0,0,-3.79286080853388,4.06456162165479
"ERR1073081",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.15509464021746,0,0,0,0,0,0,0,0,0,0,0,0,0,4.13710782060826,4.56789899836923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.89149655318551,0,0,0,0,-2.18211620686887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.30825887677866,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.2761681324587,0,0,0,0,0,-2.33765924568574,0,0,-3.77953613831637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.73007245917139,0,0,0,0,0,0,0,0,0,0,0,0,-4.04894458431084,0,0,0,0,0,0,0,0,0,0,0,0,-2.30281915726283,0,0,0,0,0,0,0,0,0,-3.98859978102216,0
"ERR1073113",0,0,0,0,0,0,0,0,0,0,0,0,-1.45180685692691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.51460323897428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.25554924114116,0,0,0,0,-1.44575915856003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.53318503751542,0,0,0,0,0,0,0,0,0,-1.75527368807357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.90672588462991,0,0,-2.50412831813401,0,0,0,0,-1.74661783780796,0,0,0,-3.04022320893223,-2.6555543823811,0,0,0,0,0,0,0,0,0,0,0,-3.15367912390372,-2.10280761565097,3.02523083648948,0,0,0,0,0,0,0,0,-3.64216962885025,-5.46233247337054
"ERR1073129",0,0,0,0,0,0,0,0,0,0,0,0,-2.51092211070361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.34904466958675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.51396097873343,-2.46807902462225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.67424350654598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.71905934822056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.27483826774077,0,0,4.35430814341189,0,0,0,0,0,0,0,0,4.63192562514879,0,0,0,0,0,0,0,0,-4.70954893991312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.71291081613081,-3.01584371538054,0,0,0,0,0,0,0,0,0,-5.22359454272639,-0.89946650991268
"ERR1073204",0,0,0,0,0,0,0,0,0,0,0,0,-2.34313865224578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.05843519486816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.17226061839063,0,0,0,0,0,0,0,0,-2.31564972970224,-2.59794807701232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.331864513632868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.01082298437742,4.49977806481119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.42437101930988,0,-6.09054464070567,-2.93677083918616,0,0,0,0,0,0,0,-4.19913378184226,0,-5.08663630365712,-1.43457295265539
