"","28116__1623_218538","33043__69825","40519__1624_84031","1680__166486_301301","28117__46503_74426","216816__341225","1623__218538","39485__1559_1681","33987__239935_626937","1559__1681","46503__74426","166486__301301","328813__817_204516","179995__33038_52226","261299__574375","823__40518_349096","208479__328812","1264__190721","239935__626937","1352__329854","1624__84031","1328__28135","573__907","36835__180282","729__88431","46228__46506_84026","536633__39491_40520","39484__820_821","29348__187327","817__204516","47678__84030","40518__349096","33038__52226","1755626__351091_357276","46506__84026","387090__1366_310297","39491__40520","371601__1365_310298","351091__357276","820__821","28111__39488_165179","1366__310297","1365__310298","39488__165179"
"SRR7423233",5.09020521585009,4.23119858441517,0,0,0,0,0,5.19548784878425,0,0,0,0,0,0,0,5.19336515400369,0,4.28340839377121,0,-4.35626230720634,0,0,0,0,0,0,0,-4.96569409052684,0,0,0,0,0,6.1541328020467,0,0,0,0,0,0.152455089502449,0,0,0,0
"SRR7423234",0,0,0,-2.58610061024266,0,0,0,0,0,0,0,-4.47925765042516,0,0,0,-2.29329838522808,0,0,0,0,0,0,0,0,0,0,-2.38439590211268,0,0,0,0,3.9721093201307,0,4.23895121939059,0,-2.52886397242367,-4.12989484781819,-2.0951437102924,3.79129372085568,0,-4.91883384069731,4.38012088566826,3.62889535538481,-1.18375187781852
"SRR7423235",4.80962095548167,0,0,0,0,0,0,4.58860275994941,0,0,0,0,0,0,0,0,4.97660774793868,0,0,0,0,0,0,0,0,-2.42527645200983,0,-2.53892086782155,-4.46474220957517,0,-4.03351177950293,0,0,5.23358417137524,4.20070203728141,0,0,0,0,-4.3975399394638,-3.53433786051241,0,0,-6.12165274552177
"SRR7423236",-2.6110697822711,0,0,-2.51256262249713,0,0,-4.52250552500135,4.82948614536078,0,0,0,-4.35188611936353,0,0,0,0,0,0,0,0,0,0,-0.425882611376945,0,0,-2.48578264406322,0,-2.6668056409058,0,0,0,0,0,6.13812049783342,4.3055018360904,0,0,0,0,-4.61904286396013,-2.44110935297272,0,0,-4.22812542618033
"SRR7423237",0,0,0,-2.18787452206494,-2.10003522128365,0,0,0,0,0,-3.63736770094743,-3.78950983280195,0,0,3.62263744694536,-2.55014356017269,0,0,0,0,0,0,0,0,0,0,-2.18884255096735,-2.42033560247094,0,0,0,4.41697821281369,0,6.61087739807841,0,-2.18690419233805,-3.79118650804411,-2.97488033701793,0,-4.19214423484749,0,-3.78782917241488,-5.15264389015268,0
"SRR7423238",-2.4940227872086,0,0,3.2060035557517,0,4.89553512001477,4.31977418267983,5.13826756785117,0,0,0,-4.43128998167991,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.48605460313919,0,-2.53744259538323,0,0,0,0,0,6.14142432251488,4.30597288302755,0,0,0,0,-4.3949794964932,-2.87874804422735,0,0,-4.9861378747913
"SRR7423239",0,0,0,0,0,0,0,5.22229464421698,0,0,0,0,0,0,3.85496429816262,0,0,0,0,0,0,0,0,0,3.93602109606566,0,0,-2.9095788582073,0,0,0,0,0,6.09140386937599,0,0,0,1.25877489172928,0,-5.03953841104328,-2.2322217554678,0,-5.58717209672394,-3.86632149423081
"SRR7423240",4.77058648731865,0,0,0,0,0,0,5.09918169983127,0,0,0,0,0,0,0,-5.25008157394994,0,0,0,0,0,0,0,0,0,0,0,-5.28876067365811,0,0,0,-0.681212883484036,0,6.33769837764044,0,-2.9294372104452,0,-3.08096992576547,0,-0.498060306066075,0,-5.07393408607393,-5.3363964480175,0
"SRR7423241",0,-4.2414172727768,0,2.7042616458288,0,0,0,5.05106678986912,0,0,0,4.29458775129384,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.52635827354099,-5.40393572014238,0,0,0,0,0,0,6.0527982685002,4.37578088789498,0,0.759555683412772,0,0,0,-2.58781594872422,0,0,-4.4822287038274
"SRR7423242",4.53309537855117,0,0,0,0,4.62451146988971,0,4.47419773196274,0,0,0,0,0,0,0,4.45422250036441,0,0,0,4.21147197610628,0,0,0,0,0,-2.9931930755074,0,-2.27562340679536,0,0,0,0,0,7.18371338605947,5.18436248364217,0,0,0,0,-3.94149535946255,-2.70532239584881,0,0,-4.6857558404641
