"","820__204516_357276","1735__28111_33043","204516__357276","218538__29466_52226","1630__28026","33038__1352_37734","1623__301301_341225","823__1680_29389","1681__40520","40519__1354_2173","1161942__850_185293","179995__1303_46503","261299__309120","39485__821_1264","84030__74426_216816","454154__208479_387090","840__905","29375__165179_187327","29466__52226","1680__29389","301301__341225","28111__33043","39496__33959_589436","1515__1584_39491","29363__40518_239935","817__907","310297__1689_1755626","166486__28116_329854","1502__33039","88431__39778_351091","1308__1304_46506","1358__437898","228603__349096","1352__37734","74426__216816","850__185293","208479__387090","1303__46503","1354__2173","821__1264","97478__573_310298","33959__589436","1584__39491","165179__187327","1689__1755626","40518__239935","39778__351091","573__310298","1304__46506","28116__329854"
"SRR5218297",0,0,0,0,0,0,-2.70884081287048,0,-5.02697921305078,0,-2.40290919348155,0,0,-2.78240388395162,0,0,-4.61620234023504,-2.6576435860818,0,0,4.69184991750785,0,0,0,0,-4.78282601265873,0,-2.46283110871654,0,0,-2.34067597499968,0,0,0,0,4.1619608090844,0,0,0,4.81926489418119,0,0,0,-4.60317371950324,0,0,0,0,4.05416971275526,4.26574861075824
"SRR5218299",0,4.86564249885924,0,0,0,0,0,0,0,0,0,0,4.08960693680643,-2.31638942279798,0,0,0,-5.5601328849552,0,0,0,0,0,0,0,0,-2.73541771999484,0,4.02764462984577,0,-2.7932893558234,-4.12610188465582,0,0,0,0,0,0,0,4.01210417040125,0,0,0,1.01751184798691,-4.73788247095527,0,0,0,4.83811908452746,0
"SRR5218302",0,0,0,0,-4.27848342011491,0,0,0,-4.19835726793883,0,0,0,0,1.40172216301351,-2.15580470380381,0,0,-5.59433925289529,0,0,0,0,0,0,0,0,-2.91873650811709,-2.13954199341579,0,0,0,0,0,0,-3.73396327818417,0,0,0,0,4.97393212295794,0,0,0,1.97998543302188,-5.05539992596497,0,0,0,0,3.70579543752334
"SRR5218305",0,0,0,0,0,0,0,0,-4.07747437964368,4.6356337994083,-2.64305992101184,0,0,4.54183534393709,0,0,0,-3.42034855231781,0,0,0,0,0,-2.17599920946399,-2.40719309906796,0,-2.92121821746909,0,0,0,0,0,0,0,0,-4.57791407064149,0,0,0,0,-2.17918693730028,0,-3.76894118802134,5.9242174722091,-5.05969837265226,4.16938075121488,0,-3.77446249459449,0,0
"SRR5218306",2.07486400609828,0,-5.19192547760936,0,0,0,-2.53788261300358,0,0,0,0,0,0,2.22017638196633,-2.58450640342979,0,0,0,0,0,4.39574162936786,0,0,0,0,0,-3.11982563290377,-2.40421057175526,0,0,0,0,0,0,4.4764964032275,0,0,0,0,4.14646625260426,0,0,0,0,-5.40369650694505,0,0,0,0,4.16421486237433
"SRR5218307",5.19321046426397,0,0,0,4.58189045535401,0,0,0,0,0,0,0,0,-2.57755607099104,-2.53342278117058,0,0,-3.01726483366383,0,0,0,0,0,-2.4615755952549,0,0,-2.88679651972735,0,0,-2.65340125049729,0,0,0,0,4.3880169740399,0,0,0,0,4.4644580743141,-2.63455859183088,0,-4.26357399765309,5.22605599179662,-5.00007824328078,0,-4.5958257787281,-4.5631893365682,0,0
"SRR5218308",0,0,0,0,0,0,0,0,-4.2703968382256,0,4.62935959785004,0,0,-0.804728835043924,0,0,0,-2.28868465483236,0,0,0,0,0,-2.40506891550087,-2.85581248360169,0,-2.96986925121458,0,0,0,0,0,0,0,0,0,0,0,0,0.86985739418015,0,0,-4.16570155735209,-3.96411810467289,-5.1439644349402,4.9464123184876,0,0,0,0
"SRR5218309",2.04550473766534,0,-5.63889787348472,0,0,0,-2.48498111162317,-2.67495855672775,-4.23729107615853,0,0,0,0,0,-2.61587628061616,0,0,0,0,4.63316412839358,4.30411354118031,0,0,-2.57230545971489,0,-0.644401052696863,0,0,0,0,0,0,0,0,4.5308306243415,0,0,0,0,0,0,0,-4.455363748813,0,0,0,0,0,0,0
"SRR5218310",0,0,0,0,-4.02781271802726,0,0,0,4.25787847684579,0,0,0,4.08782024184648,0,-5.49819702330902,0,0,0,0,0,0,0,0,0,-3.35164858643047,0,0,0,-3.78862342513002,4.83384721589616,0,0,0,0,1.64105046921184,0,0,0,0,0,0,0,0,0,0,5.80522564081398,0,0,0,0
"SRR5218311",4.56399236632711,0,0,0,0,0,0,0,-4.36018881027996,0,0,0,0,0,0,-2.38198569155135,-4.36200864180996,0,0,0,0,0,0,-2.55116517518181,0,0,-2.77761588472279,0,0,-2.45001636773186,0,0.246565852586529,0,0,0,0,-4.12572024066903,0,0,0,0,0,-4.41874770191526,0,-4.81097183625024,0,-4.24355282828694,0,0,0
"SRR5218312",4.56257390759279,-2.34546423811816,0,-2.59619896733595,-4.36135695984616,0,0,-2.45231558680451,0,0,0,0,0,-2.67046312207864,0,0,0,0,4.49674851798372,4.2475351925385,0,4.06246322775649,0,-2.5607505190501,0,0,-2.74691244331072,0,0,0,0,0,0,0,0,0,0,0,0,4.62537780717922,-3.4134365241241,0,-4.43535000450315,0,-4.75779191575733,0,0,-5.91224548819425,0,0
"SRR5218313",-0.587695293200671,0,0.198586531340111,0,0,0,0,-2.81306204670233,-4.53494801323937,0,0,0,0,-3.02282937067942,-2.52891625319298,0,0,0,0,4.87236638973213,0,0,0,0,0,0,-3.05987919566273,-2.60583095619283,0,0,0,0,0,0,4.38021143861697,0,0,0,0,5.23569405262822,0,0,0,0,-5.29986623191084,0,0,0,0,4.51343161206177
"SRR5218314",-2.49497201308925,4.73380631954122,4.32141829013299,0,-3.78642681796245,0,0,0,-4.27981243140994,0,0,0,0,-2.734738659501,0,0,0,0,0,0,0,0,0,0,-2.51698952086906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.73670630367854,-2.87347595904578,0,0,0,0,4.35955373226367,0,-4.97700635539499,0,0
"SRR5218315",0,-2.48492402194464,0,4.82743200374573,0,0,0,0,0,0,0,3.52811171418302,0,-2.31416833173412,0,0,0,-3.17295238352678,0,0,0,-4.30401465895652,0,-2.47378137451186,0,0,-2.91521856493992,0,0,-2.34713195083978,0,0,0,0,0,0,0,-4.12434142682823,0,4.0082571278304,0,0,-4.28471502747212,5.49571473826516,-5.04930666964397,0,-4.06535179092276,0,0,0
"SRR5218316",5.08671394335898,0,0,0,0,0,0,0,-4.64693627716364,4.71929695463792,0,0,0,-2.68940792763101,-2.78331959789596,2.65168940190039,0,0,0,0,0,0,0,0,0,0,-2.81112853893384,0,0,0,-2.33990298529035,0,0,0,4.82085095725798,0,-4.48427164896664,0,0,4.65819117293542,0,0,0,0,-4.86901745604027,0,0,0,-4.05283085530497,0
"SRR5218317",0,0,0,0,0,0,0,-2.68616618037039,0,0,0,0,0,-2.63603005737157,-2.62722641921802,0,4.17893119498772,0,0,4.65257630197474,0,0,-2.47483174343556,0,-5.45875946972,0,-2.91057307858539,0,0,0,0,0,0,0,4.55048964107286,0,0,0,0,4.56573798964626,0,-4.28653431981466,0,0,-5.04126045125205,0.0365009843830708,0,0,0,0
"SRR5218318",0,5.21572992428117,0,0,0,0,0,0,-4.26726582885169,4.72509623500234,0,0,0,-2.28486977516219,0,0,0,-5.67466062861168,0,0,0,0,0,2.11261115067324,0,0,-3.09247727848676,0,0,0,0,0,0,0,0,0,0,0,0,3.95751053925939,0,0,-4.37595462989195,1.1738587974597,-5.3563277675914,0,0,0,0,0
"SRR5218319",0,0,0,-2.53699277677651,0,0,0,0,0,-2.25561168027319,-2.27912348826126,0,-0.357581419871685,0,-2.45592041766533,0,0,-3.38787437895595,-4.39420038781216,0,0,0,0,-2.34912345853507,0,0,-2.68321212015499,0,0,0,0,0,0,0,4.25377894274213,-3.94755767839211,0,0,-3.90683403237897,0,0,0,-4.06880118343466,5.86797055401257,-4.64745971959306,0,0,0,0,0
"SRR5218320",0,3.30960694129446,0,0,0,0,0,-2.58911599697184,-4.61099403818965,-2.47945509108238,0,0,0,0,-2.68690920010339,0,0,0,0,4.48448045344457,0,-4.18850283793593,2.42754761722621,0,0,0,-2.89849756129676,0,0,0,0,0,0,0,4.65386324990332,0,0,0,-4.29454219284001,0,0,-4.43386194657167,0,0,-5.02034504178047,0,0,0,0,0
"SRR5218321",0,0,0,0,0,0,0,0,-4.91376264068733,0,0,-2.35357012972226,0,-5.42345044169605,-2.27572799400278,0,0,0,0,0,0,0,0,-2.73219492726961,-2.97079290846767,0,-2.87624162867364,-2.06762962965524,0,0,0,0,0,0,3.94167650981962,0,0,-4.07650304385543,0,0.548774936281412,0,0,-4.73230043021291,0,-4.9817966357074,5.14556425623132,0,0,0,-3.5812395697977
"SRR5218322",0,0,0,0,0,-0.100531804998491,0,-5.20697622500509,-4.12422985782935,0,0,0,0,-2.74269688716055,2.1010124728691,0,0,0,0,0.990279250966748,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.885037616051371,4.86585142323651,0,0,0,0,4.75049035832308,0,0,0,0,0,0,0,0,0,0
"SRR5218323",0,0,0,0,0,0,-2.29713037745571,0,-4.03662861089215,0,0,0,0,0.718240614701469,0,-2.29390249132137,0,-3.09535460767561,0,0,-3.97874652536317,0,0,0,0,0,-2.95127761806081,0,0,0,0,0,0,0,0,0,-3.97315566257744,0,0,0.0867672315163396,-2.4248927679785,0,0,5.36131144793658,-5.11176278172218,0,0,-4.20003747704509,0,0
"SRR5218324",-2.44046660502707,0,4.22701215408202,0,-4.57465575246293,0,-0.114175268264945,0,0,0,0,0,0,-2.80684801960201,-2.48429550800733,0,0,-2.52553183736342,0,0,-0.0309601387695546,0,0,0,0,0,-2.67009328677644,0,0,0,0,0,0,0,4.30292604088383,0,0,0,0,4.86160337907477,0,0,0,-4.37434945844622,-4.62473723364537,0,0,0,0,0
"SRR5218325",-2.32919848779214,0,-4.03429012176858,0,-4.3761868320053,0,0,0,0,0,0,0,0,0,-2.75540432998291,0,0,0,0,0,0,0,-2.40009543386169,0,-6.15320608106552,0,0,0,-4.03884789114264,-2.68270245120552,0,0,0,0,4.77250029492567,0,0,0,0,0,-2.5994399780091,-4.15708723446251,0,0,0,0.215831759297211,-4.64657694707753,-4.50236211313749,0,0
