"","1735__387661","582__376806_671267","33069__28116_243924","28116__243924","2139__317_1646377","36848__626930_626931","28128__52787","1661050__100884_328814","1280__729_1535","138595__28091_28132","626930__626931","1504__41976","1229909__840_341225","1379__169435","317__1646377","185294__589437","216935__47678_69825","1888__67269_83617","173480__239974","28130__386414_626937","187491__33029_184870","100884__328814","729__1535","1307__1311_79880","29356__228603_1755629","1725__191493","376806__671267","1358__376804","1467__182710_487698","511__34087","633701__818_218538","180282__287_80866","529__905_47877","840__341225","47678__69825","28091__28132","106648__53412_70775","39483__39484_658457","36835__38304_301301","166486__40518_239935","108980__1265_1630","386414__626937","28446__36847","82135__1597_483012","287__80866","13690__56810","228603__1755629","471__106654","490189__28026_78342","1580__901_28197","818__218538","67269__83617","38304__301301","1661032__2145_43770","1311__79880","425941__860_261299","38288__133926_137732","905__47877","40216__1322_29430","1265__1630","83263__76759_143393","33029__184870","1428__39496_198252","39484__658457","191295__285_1613","187452__1590_122355","470565__823_1465754","423605__29385_216947","182710__487698","588__28901_882211","47884__115979","288965__1685_216816","2741__1582_381706","40518__239935","33034__114_1827099","860__261299","441500__2173_309120","1859290__1260_1423","32013__293_196024","118748__39029_185293","1590__122355","76759__143393","285__1613","1597__483012","1532__589436","103892__1680_187327","823__1465754","1633__179995_535744","28026__78342","290588__1681_328813","1254__907_1623","93064__28125_291644","1322__29430","199__60133","40682__117207","52773__51664_384638","1520__28129","28112__487316_1124597","29461__871324","1727__46228","40215__33946_163877","41276__55197","58172__1687_349931","1110546__1492_1510","901__28197","153721__1604_40214","1582__381706","53412__70775","2145__43770","28025__29348_536633","28901__882211","133926__137732","349096__46503_410072","1260__1423","51664__384638","39496__198252","29385__216947","1681__328813","1660__29375_33035","114__1827099","308994__454155_1121298","33964__1308_40520","2173__309120","29360__1547_329854","293__196024","1680__187327","39029__185293","35841__585_189722","263475__45851_101070","28125__291644","28135__214856_246787","179995__535744","43131__45254","626932__851_360807","2317__1691_234908","35760__1343_1902","1604__40214","28137__39492_39778","1492__1510","46503__410072","45851__101070","1584__40324","1328__251535_301302","39497__574963","29363__839_291645","907__1623","1547__329854","1624__495_29552","405446__74426_310298","621__1264_84032","470__1034636","29348__536633","294__328812","1308__40520","84112__856_1161942","585__189722","214856__246787","47770__59310","29375__33035","1512__358742","454155__1121298","861__584_387090","189426__29389_397865","84026__37734_44749","102684__1496_284042","39492__39778","994609__301_1114067","1685__216816","1303__29466_43675","1559__36745","264463__820_84030","29347__879_1304","1354__253245_310297","1264__84032","856__1161942","762212__39485_437898","74426__310298","29389__397865","28161__28111_28118","33946__163877","102862__183417","495__29552","839__291645","79882__35833_351091","1687__349931","1282__39489","820__84030","33039__88431","1686__33043_40519","37734__44749","584__387090","1691__234908","550__46506_487175","1671366__1515_208479","1596__33038_204516","1689__28126","39485__437898","1522__237258","253245__310297","1297750__153151_357276","35833__351091","33935__817_165179","1343__1902","851__360807","28111__28118","487316__1124597","251535__301302","301__1114067","1496__284042","57706__1463864","1245__1561_454154","33043__40519","78345__1463837","89014__28117_39491","33038__204516","1515__208479","197614__1352_1113922","46506__487175","879__1304","817__165179","29466__43675","153151__357276","1561__454154","28117__39491","539__562_821","1352__1113922","562__821","157268__853_1755626","853__1755626"
"ERR1072724",0,0,-2.09245848526252,3.62424440920329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.0711004924164,0,0,-1.92412253624602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33267799276639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.36313388765558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09306795850723,0,0,0,0,0,-2.53026240796487,0,-2.15459084102628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.11600099621529,0,0,-2.15936707088588,-3.73186080618007,0,0,4.38254304707672,0,0,0,0,-3.66502123431123,3.74013347896554,-2.96799719531098,0,-5.14072193900054,0,0
"ERR1072851",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.46241434848328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.26502676085966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.75283368848929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.76804781325068,0,0,0,0,0,0,0,0,0,0,0,0,-2.45348120270418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.24955409849884,0,0,0,0,0,-2.41959791145358,0,0,0,0,0,0,0,-3.14977012676533,0,0,0,0,0,0,-4.19086651652514,0,0,0,0,0,-2.21333701289204,0,0,5.45556189172022,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.83361216060174,0,0,0,0,0,0,0,0,0,0,0,0,-3.1755234894471,0,0,0,0,0,0,0,0,0,5.50016802435079,-3.26470636183639,0,-5.65463729049398,-2.86150939661647,-4.95627966127549
"ERR1073081",0,5.64572259369759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.18210293501231,0,-2.07753404825217,0,0,0,0,0,0,3.78296656265788,0,0,0,0,0,0,0,0,0,0,-3.77951315078648,0,0,0,0,0,0,-3.598394526027,0,0,0,0,0,0,0,0,0,0,0,4.5678724546561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.33764597382917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.04892159678096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.3082456049221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7300494716415,0,0,0,0,0,0,0,-2.30280588540626,-3.98857679349228
"ERR1073129",0,0,-2.51394770687687,4.35428515588201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.67423023468942,0,0,0,-2.71904607636399,0,0,0,0,0,0,0,0,0,0,-4.63190263761891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.70952595238324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.46806575276568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.27481528021089,0,0,0,0,-2.59678852039627,0,0,0,0,-2.30083719226235,0,0,0,0,0,0,0,0,0,0,4.49776965383795,0,0,0,0,0,0,0,0,0,3.98516691694251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.51090883884705,0,0,0,0,0,0,0,0,0,4.34902168205686,-3.11609575202141,0,-5.39723616375063,-3.01583044352397,-5.2235715551965
"ERR1073205",0,0,0,0,0,0,0,0,4.97364824939688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.587431496559555,0,0,0,0,-2.58008693415893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.46884165790789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.84228053686692,0,0,0,0,0,-2.51543618906542,0,0,0,0,0,0,0,0,0,0,0,0,0,4.92297429921764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.35686328265873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.78294481266517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.82020181019632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.13603452415917,-5.43177113013376
"ERR1073206",0,0,-2.27484008606926,3.94013860816631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.18555133753059,0,0,-2.01657774096042,0,0,0,0,0,0,0,0,-3.16355428049352,0,0,0,0,0,0,0,0,0,0,3.49281510475591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.80135081663206,-5.47943674631679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.12003113666242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.82819348954605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.16652400996041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.29661768539617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9778585166674,0,0,0,0,0,0,0,0,-2.23368706552158,0,-3.8688594856928,-1.99372416441783,-3.45323154904949
"ERR1073450",0,0,-2.61614156872287,4.53129011682096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.34692867622848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.0649997089681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.78962901455815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.28798544164304,0,4.83177918748302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.38563220720184,-3.96290703190367,0,0,0,-2.51520571018457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.13203619104628,0,-2.36602160606594,0,4.35646408152704,0,0,0,0,0,0,0,4.09806963351192,-3.08264918484937,0,-5.3393050100699,-3.16492173950504,-5.481805254802
"ERR1073663",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.52965922375353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.38149830137636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.88283010192012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99320820611461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.82430491777997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.89183961366155,0,0,0,0,0,-5.61640624698424,0,-2.60955541330043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.5656883362533,0,0,0,-4.51988256100274,0,0,0.797507284920833,0,0,0,0,-4.44390255477759,0,-3.17844674577876,0,-5.50523125284076,-2.71434353050901,-4.70138090403748
"ERR1073918",0,0,-2.62736283589368,4.55072592168611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.41343598908021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.18019375390218,0,0,0,0,-2.99810639900709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.19287260957765,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.64096352679436,0,0,0,0,-2.70792602828514,0,0,0,0,0,0,0,-2.41530010491087,0,0,4.57428300934412,0,-2.49907921598482,0,0,0,0,0,0,0,4.69026546412806,0,0,0,-4.18342249723206,0,0,0,0,0,0,0,0,0,0,4.3285321742251,0,0,0,0,0,0,0,0,0,0,0,0,-2.87209228686906,0,-4.9746097648839,-3.34687101750939,-5.79695064870601
"ERR1074062",0,0,-1.96575972019397,3.40479571084834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.86050181631328,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.22248367342878,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.21705302063274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.84004847480996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.37438277008366,0,0,0,0,-2.4035224824568,0,0,0,0,0,0,0,-1.78948519521856,0,0,4.11255159440103,0,0,0,0,0,0,0,0,0,4.16302305674926,0,0,0,-3.09947927751086,-2.24473967616674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.88800316888651,0,0,0,0,-3.10063651500711,0,-5.37045997979561,-3.0989878302225,-5.36760437398301
"ERR1074630",0,0,0,0,0,-2.44172187838889,0,0,0,0,-4.22918635132207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.47679205207164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.28992967397086,0,0,0,0,0,0,0,0,-2.68744597638129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.65479297368895,0,0,-2.85802157840697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.95023858292908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.44844746923811,-2.67153785258723,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.24083541638384,0,0,0,0,0,0,0,0,0,0,0,-4.62723929502453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.46350910089798,0,0,0,0,0,0,0,0,0,4.26692292766363,-2.75883330872643,0,-4.77843946032752,0,0
"ERR1074812",0,0,-2.70059575693452,4.67756906171551,0,0,0,0,0,0,0,0,0,0,0,0,-2.28003977434092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.94914473243635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.09907340015704,0,-2.3712881015878,0,0,0,0,0,0,-2.46117299388741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.10719147133362,0,0,0,0,0,0,-3.63570177788835,0,0,4.26287667162941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.18206697999122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.31970548635169,0,3.77945087486317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.01784776095739,0,0,0,0,0,0,0,0,0,-3.47307210170554,0,-6.01553733850402,-2.71883693318008,-4.70916370576265
"ERR1074869",0,4.98884018564254,-3.08085978711113,5.33620568227231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.81279456442596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.87190309683934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.43458994690195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.924462704657,0,0,0,0,-4.21683348363059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.06531798930622,-2.56270585234531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.79314989603104,0,0,0,4.43873674111618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.83787753308148,0,0,0,0,0,0,0,0,0,0,-2.92224241104412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.06147232796099,0,0,0,0,0,0,0,-2.70438114152242,-4.68412554014796
"ERR1074894",0,0,-2.50032334768812,4.33068707354653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.13171930387336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0377303623961226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.99392589671824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.44566055623345,0,0,5.18563176721221,0,0,0,0,-2.67378123812345,0,0,0,0,0,0,-4.2360083414635,0,0,0,0,0,-2.40948638070526,0,0,4.63112495275424,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.17335283152675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.30917135991211,0,-5.73165292631957,-3.06874849956642,-5.3152283168998
"ERR1074972",0,0,-2.56885023307121,4.4493791207145,0,-2.40921678576473,0,0,0,0,4.1728858793923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.49312005133259,-2.48035454933161,4.90040441326531,0,0,0,0,0,0,0,0,0,0,0,0,-4.29610010022696,0,0,0,0,0,0,0,0,0,0,4.31821059827678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.33211484583913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.73677395385382,0,0,-4.03934140207904,0,0,0,0,0,0,0,0,0,0,0,0,4.74023153690597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.01543375365521,0,-5.22288446818896,-3.07884603947657,-5.33271776905563
"ERR1074999",0,0,0,0,0,-2.38808350240426,0,0,-2.44489789100047,0,4.13628195888121,0,0,0,0,0,0,0,0,0,0,0,-4.23468736653081,0,0,0,0,0,0,0,-4.78204112551982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.621603275409184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.37861850948136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.11988811024547,0,0,-3.2308154940721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.59593658561362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.17024770756497,0,0,0,0,0,0,0,0,0,0,0,0,-2.60864058083623,0,0,5.49103010208128,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.51829802469434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.06419883550582,0,-5.30734806758947,0,0
"ERR1075202",0,0,-3.38620823570953,5.86508470925707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.76201727867426,-1.72813399263721,0,0,0,0,0,0,-1.71212213066615,0,0,0,0,0,2.9932158775345,0,0,0,0,0,-3.05190345047808,0,-2.96548251907685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.06439647506188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.76201727867426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.57563958177327,0,0,0,3.05190345047808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.8721726171857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.24269809350483,0,0,0,0,-1.65993411690627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.87509022769863,0,0,0,0,0,0,0,-2.70420604718193,-4.68382226785411
"ERR1075257",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.62149520909381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.54056289394888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.54660333106353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.51984052865211,0,0,0,0,0,0,0,0,0,0,4.41084635612618,4.36449182259668,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.39281722344121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.78702564632171,0,0,0,-4.14448100422606,0,0,0,0,0,0,0,0,-2.92370495012178,0,0,4.8272700214267,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.06400551995156,0,0,0,0,0,0,0,0,0,0,0,0,-2.48401639293318,0,0,0,0,0,0,0,0,0,4.30244259939425,-3.16171206412962,0,-5.47624593397597,-2.98661721605232,-5.17297276096254
"ERR1075275",0,0,-2.4953253000446,4.32203020108931,0,0,0,0,0,0,0,0,0,0,0,0,-2.10324527413801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.64292767558617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.61638569306071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.90145572105673,0,0,0,0,-4.53171295257746,0,0,0,0,-2.53769285546772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.39541295967463,0,0,0,5.02546872478165,0,0,0,0,0,0,0,0,0,-2.86886127740592,0,0,0,0,-2.22765676334638,0,0,0,0,0,0,0,0,0,0,4.969013492334,0,0,0,0,0,0,0,0,0,3.85841469594038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.40380011743925,0,-5.8955547422137,-3.18789712676803,-5.52159979286507
