"","28125__46503_74426","1828__76517","28127__36874","204516__29524_386414","187327__1755626","39485__851_246787","28126__134605","817__242750","40543__218538","40214__310297_397865","33031__28128_281920","33033__38986","199__261299","28124__338188","33043__40681","187101__701529","35833__41276","33037__82135","2051__29348","301301__626947","52226__186651","39778__341225","907__673862","856__1512","239935__341694","33029__43131","40518__328814","840__1535","39497__589436","310297__397865","371601__1827099","317__47678_47877","901__28118","202956__633701","1735__28111","46506__820_28116","905__228603_410072","29375__45851_165179","29524__386414","39488__106648","46503__74426","28128__281920","827__40324","851__246787","44749__28135_351091","47678__47877","45851__165179","228603__410072","28135__351091","820__28116"
"SRR1159399",-2.40644808234239,-5.88176874638397,0,-2.76309499730572,-4.0205749134333,0,0,4.54308718343107,-4.63634337879625,0,-2.78740676007806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.55382807071706,0,0,4.78582092147289,0,4.16809034439371,4.82793012981615,0,0,-2.49060183033676,0,0,0,-4.3138489115673,4.42335997227755
"SRR1159402",5.87938714025627,0,4.08952671303033,0,-4.2790643533853,0,0,4.56672779676645,-4.39347430411535,0,0,0,0,0,0,0,0,0,0,0,0,0,4.51250485582521,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.76772985474337,-3.34154243983779,0,0,0,0,0,0,-2.43539452819787,0,-5.78772128144672,4.79384873004074,4.21822705931395,0
"SRR1159405",0,0,0,0,-4.48788790513193,0,0,0,-3.82410251360983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.56886437868576,0,0,-2.13766319016249,0.597297363934054,0,-3.47241523842576,0,0,0,0,-2.07856336837721,0,-6.47953323531495,3.7025412548312,3.60017736078083,0
"SRR1159408",5.84914471286767,0,0,0,-5.25110532437757,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46181475806288,0,-3.53852246046057,-3.59155617548464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.52090886461581,0,0,0.971427906513441,0,0,0,0,0,0,0,-4.36634223476535,0,0
"SRR1159411",-5.16482094246287,-4.19139009651226,0,5.10730159959351,0.371620523010852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.346675686197797,0,0,0,0,-0.00349887304695562,0,0,0,0,0,0,0,0,0.257211616617987
"SRR1159414",0,0,-4.80602908149501,-3.19386777176424,0,0,4.98700801073113,4.86754498304147,0,0,-3.22979037280034,0,0,0,0,-4.27467656820877,0,4.42538269767365,0,0,0,0,0,0,0,5.1267852775216,0,0,0,0,0,0,0,0,0,0,0,0,5.53194125335247,0,0,5.59416102348701,4.62610708363479,0,0,0,0,0,0,0
"SRR1159417",0,0,0,0,4.35849383410086,6.0734450872327,0,0,0,0,2.33480664200017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.40114632215333,0,0,0,-2.38297077442957,0,0,4.66328575688327,0,-2.46457330701589,-3.45168019672426,0,0,0,4.32779282403062,0,0,0,-4.12742645426378,-5.97848547220576,4.26876618672957,0,0
"SRR1159420",3.10215810958061,0,0,0,-4.44261651192959,0,0,0,-4.88380702889438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.85550634085485,0,0,0,0,0,0,-2.90126481601539,0,0,0,-2.8351672716115,0,0,0,0,4.51234836026356,0,4.45084144292801,0,-2.64657086724672,5.02513806755063,0,0,-4.58399520790294,4.91065376238755
"SRR1159423",0,-4.10969760768025,5.69664732362495,5.82313059575027,0,-2.76069485905381,-4.17449704838946,0,-5.20580730385984,0,-3.02452862952146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.68890927853987,0,0,0,0,0,5.23863725527783,0,-4.7816637600754,-3.11925376239224,0,0,0,-5.40270599816373,4.65732748737443
"SRR1159426",5.21469894317748,0,0,-2.79122544870075,-4.89127216151028,-5.34663473646325,0,-0.430007587337511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.86732041032181,0,0,4.83454429252893,0,0,0,0,0.207018619136014,0,0,0,0,0,0.19397789197639
