"","351091__84026_392333","310298__33043_39492","28111__1630_239935","40520__28125_218538","84026__392333","44749__45851_349096","589436__907_1297750","1735__626937","328813__47678_410072","1630__239935","28129__820_46506","28125__218538","29466__1559_633701","1515__40518_454154","167__329854","83771__158787","1304__165179_179995","39029__1161942","169435__376804","39485__39778","905__39777","185294__729_28161","33039__39488_228603","40518__454154","328814__817_2173","165179__179995","907__1297750","1680__360807","562__228604","33043__39492","47678__410072","820__46506","1535__357276_397865","45851__349096","1559__633701","387090__69825_387661","78448__46503_204516","39488__228603","729__28161","817__2173","357276__397865","84030__187327_371601","301301__308994","69825__387661","46503__204516","187327__371601","487175__821_853","821__853","40519__1755626"
"SRR5934928",0,0,0,-2.19166322593641,0,0,4.95637046893282,0,0,0,1.53545434942755,-3.79607206040217,0,-2.23632046454285,0,0,-3.68969601521275,0,0,0,0,0,0,3.87342066659426,0,6.39074096283291,0,0,0,0,0,4.20972704740138,0,0,0,0,0,0,0,0,0,-2.10300460619446,0,0,0,-3.64251082648019,-2.19784877035467,-3.80678573760708,0
"SRR5934929",5.29896689929831,0,-5.30664752416733,0,0,0,0,0,-4.42504672796572,-0.604532796073773,-2.2021769113476,0,0,-2.09362551923285,0,0,0,0,0,0,0,0,0,3.62626577133407,0,0,0,0,0,0,-0.58455020706336,3.81428229770915,0,0,0,0,0,0,0,0,0,-2.60773713278419,0,0,0,-4.5167332067662,0,0,0
"SRR5934930",0,4.40060772373686,0,-2.2714985819399,0,0,0,0,0,0,-4.79669181971354,-3.93435095324057,-2.37189031613319,-2.62240028570839,0,0,-3.56548215852801,0,0,0,0,-2.40623498983084,0,-4.54213053263007,0,6.17559625205086,0,0,0,0,0,0.309379482113648,0,0,4.10823453752329,0,0,0,4.167721257337,0,0,0,0,0,0,0,-2.24901357199761,3.89540577361183,0
"SRR5934931",0,0,0,0,0,0,0,0,0,0,-2.57687538034323,0,0,-5.36545382296373,0,0,0,0,0,0,0,0,-2.43477015683279,-0.0156045617130616,0,0,0,0,0,0,0,-4.46327908352785,-2.73951231580865,0,0,0,-2.58160409040696,4.21714561638684,0,0,-4.74497451894127,0,4.21979067817991,0,-4.47146944961249,0,-2.87188926788677,4.97425812569167,-5.43902790834867
"SRR5934932",0,0,0,0,0,0,0,0,-2.24599308079424,0,-2.48073119813258,0,0,-2.33924878645704,0,0,0,0,0,0,0,-2.15489382608235,0,4.05169774968744,0,0,0,0,0,0,3.89017412938378,4.29675247508685,0,0,0,0,0,0,3.73238559169112,0,0,-2.14113994789149,0,0,0,-3.70856317586345,-3.44730369335345,5.97090514600802,-4.78351659478973
"SRR5934933",0,0,0,0,0,0,0,0,0,0,0,0,-4.35703570747867,0,0,0,-3.78631992837211,0,0,5.16573072914362,0,0,0,0,0,6.55809848965105,0,0,0,0,0,0,-1.97813739954162,0,-1.81326086647856,-1.87511874742129,0,0,0,0,-3.42623448035827,1.35228974055595,0,3.24780094075859,0,3.34548837260772,0,0,-4.3010852355249
"SRR5934934",0,0,0,4.34371454316319,0,0,0,0,-2.19617581467082,0,-2.62815094114834,0,-3.31386253117188,0,0,0,0,0,0,4.43787540782855,0,0,0,0,0,0,0,0,0,0,3.80388809336384,4.55209096002889,0,0,-5.73977827328849,0,0,0,0,0,0,-2.35328830229669,0,0,0,4.07601490443537,-2.81532249065139,4.87628159349956,-4.61182908707219
"SRR5934935",0,0,0,3.73477731677171,0,0,0,0,0,0,-2.20461469732461,0,0,0,0,0,-3.73185173524195,0,0,3.21590115826887,0,0,0,0,-1.85125065287416,6.46375681175314,0,0,0,0,0,3.81850466687931,-1.88493974641318,0,0,0,0,0,0,3.2064601883231,-3.26481140999363,0,0,0,0,0,-2.78786072879718,4.82871642670272,-5.20344108038304
"SRR5934936",4.51302931832589,0,0,-4.40989534357748,0,0,0,0,0,0,0,0.363740327107834,0,0,0,0,-6.64436797471621,0,0,0,0,0,0,0,0,1.4255835346681,0,0,0,0,0,0,-2.26325444789406,0,0,-2.40334655349707,0,0,0,0,-3.92007169420877,0,0,4.16271833885247,0,0,0,0,-4.21801165195846
"SRR5934937",5.67017784214873,4.69393152844984,0,-2.46773239732812,0,-2.49030867461419,0,0,-3.11262669495848,0,0,4.27423789165605,0,0,0,0,-3.28152454429591,0,0,0,0,0,0,0,0,5.68376723700483,0,0,0,0,5.39122758066329,0,0,-4.31334115096129,0,0,-2.69334995551553,0,0,0,0,0,0,0,4.66501896551627,0,-2.80736520043942,4.86249916256186,-4.6550584139388
"SRR5934938",0,0,0,-4.52324695369356,0,0,0,0,0,0,0,-0.418802558304592,0,0,0,0,-0.0945005824149912,0,0,0,0,1.91816358939302,-2.03377247234526,0,0,6.59774711906962,0,0,-4.07907304378073,0,0,0,0,0,0,0,0,-3.52259725313696,4.18315782738865,0,0,0,0,0,0,0,-2.07969310404523,-3.60213412035697,0
"SRR5934939",0,0,-3.31575992488045,-3.12825003253703,0,0,0,4.18493885780118,0,5.7430646555937,-2.24590081260503,-5.41828799513313,0,0,0,0,-2.90978120743884,0,0,0,0,0,2.01279746861676,0,0,5.03988889019319,0,0,0,0,0,3.89001431619214,0,0,0,0,0,4.50850567712669,0,0,0,0,0,0,0,0,-2.36228008616023,4.09158913093771,-4.65445472915701
"SRR5934940",0,0,0,0,0,0,0,0,0,0,-2.7967796948433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.84416452904557,-3.40097826082709,0,0,0,-2.96523571841514,0,0,0,5.89066714318975,-2.77801149043443,-3.78177137717346,0,-5.13593892071303,-4.81165704544258,2.0580330310762,-4.03416334233661,0
"SRR5934941",0,0,-2.93393725575317,2.73606163071034,0,0,0,0,0,-5.08172839318369,-5.56207776768357,-3.81126640557267,0,0,0,0,0,0,0,4.13420697468672,0,0,0,0,0,0,0,0,0,0,0,-0.266919135813724,0,0,0,0,-2.70592850087806,0,0,0,0,0,-4.29452097649214,0,-4.68680564516949,0,-2.19554414728203,-3.80279401335296,0
"SRR5934942",0,0,0,-5.07371970784441,0,0,0,0,0,0,0,0.594397278788259,0,-1.92564155441412,0,0,-3.79552710083285,0,0,0.932906397864727,0,0,0,-3.33530900941116,0,6.57404578014709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.16767194207742,3.75451793781959,-4.10833235642873
"SRR5934943",0,6.49631282229728,4.75078784580823,0,0,-2.46659193204468,0,0,0,0,-2.54424945023378,0,0,-2.95209762764322,0,0,0,0,0,0,0,0,0,-5.11318307998161,0,0,0,0,0,0,0,4.40676931493408,0,4.27226254784087,0,-2.37212369874708,-2.60890502674227,0,0,0,0,0,0,-4.10863876806815,-4.51875605843945,0,-2.3590406330562,-4.08597823357279,0
"SRR5934944",-2.5873273720269,5.65683482732027,0,0,4.48138246416425,0,0,0,0,0,0,0,4.57044795637432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.80491069097184,0,0,0,0,-2.43232422586871,0,0,4.85824782745636,4.21290913968525,-3.26481804703247,5.65483073492803,-5.22754057999353
"SRR5934945",0,0,0,0,0,0,0,0,0,0,-1.78293725632093,0,-3.85072412251231,1.9178805045895,0,0,-3.82641046872187,0,0,0,0,0,0,-3.55435511304044,0,6.62753734243972,0,0,0,0,0,3.08813791465531,-2.0836217496943,0,0.00860009018535573,0,-1.79385154687969,0,0,0,3.60893873422608,0,0,0,3.10704202043165,0,-2.07780544813706,-3.59886460441681,0
"SRR5934946",0,0,0,0,0,-1.85529380723877,0,0,0,0,0,0,-2.16221169353038,0,0,0,-3.77123165194214,0,0,0.114978188466583,-3.10049566348677,-2.27281816866684,0,0,0,6.53196482827569,0,0,0,0,0,0,-2.34295982790831,3.21346313710545,-3.74506050991417,0,0,0,3.93663654449662,0,4.05812546203002,0,0,0,0,0,-2.40589215682439,-4.16712745315131,0
"SRR5934947",0,0,0,0,0,0,0,0,3.77056555199136,0,-2.00218217428101,0,0,-5.31803910204101,0,0,-3.69714690972158,0,0,0,0,0,0,2.02605371662765,0,6.40364629068403,0,0,0,0,0,3.46788125186343,0,0,0,0,-1.829206144558,0,0,0,0,-1.85586728904012,0,0,-3.16827797989164,-3.2144564367226,0,0,0
"SRR5934948",0,0,-2.14266776808189,0,0,0,0,0,0,3.71120943805805,-2.43368740237079,0,0,-2.06687310870471,0,0,-3.72557195886276,0,0,0,0,0,0,3.57992923707439,0,6.4528799200042,0,0,0,0,0,4.21527023064653,0,0,0,0,-2.26181479042472,0,0,0,0,-2.3304652352004,0,0,3.91757813432637,4.03648419264005,-2.73290798575706,4.73353548374195,-4.78744830587279
