"","357276__310297_387661","102684__315405","626930__1530_387090","1687__246787_349096","823__1352_943673","40518__158787","1512__487175_536633","818__28116","174709__28117_239935","301301__1680_261299","216816__78345_356829","36834__28026_762210","1559__1735_187327","29356__821_46506","33035__40520","28118__329854","33038__1686_47678","1535__39485","817__85831","562__39490","454155__89014_214856","397865__853_691816","1530__387090","1308__218538","33039__39484","1265__28111","36745__46228","39488__78448","78345__356829","310297__387661","46503__310298","29347__328813_1755626","1352__943673","246787__349096","487175__536633","39492__74426","821__46506","28117__239935","1735__187327","40519__165179","1680__261299","28026__762210","328813__1755626","1686__47678","89014__214856","853__691816"
"SRR5196128",0,0,0,0,0,3.78511530012428,0,0,0,5.54087214219921,0,0,0,-2.18279924517741,-0.211695959116418,0,0,-4.32063437473963,0,0,0,0,0,0,-3.76736975941224,0,0,0,0,0,0,-2.44408431707951,0,0,0,5.0993845281758,3.78071919537026,0,0,0,0,0,-4.233278215164,0,0,0
"SRR5196129",0,0,0,0,0,-4.54976395524466,0,-4.07346501652845,0,0,0,-4.90685625359672,0,-2.92994233934088,-4.20816731044163,0,0,0,0,0,0,0,0,0,0,0,0,0.0399161463652952,0,0,0,-3.00516150093779,0,0,0,0,5.07480899498562,0,0,0,0,-0.534484470923514,-5.20509240457421,0,0,0
"SRR5196130",0,0,0,0,0,4.7874574341121,0,0,0,-2.71323474182737,0,0,0,-4.96403448243292,-0.440376045324665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.67332910416573,0,0,0,0,-0.46331112456358,0,0,0,-4.69946042570603,0,-4.63034183376764,0,0,0
"SRR5196131",0,0,0,0,2.24638164191144,0,0,-0.234735601955193,0,0,0,-3.00603463172411,0,-3.3463278389072,0,0,0,0,4.06782866940191,0,0,0,0,0,0,0,0,0,0,0,0,-2.29228834427456,5.99257684626683,0,0,0,5.79600983576943,0,0,0,0,-5.20660471145775,-3.97035987788147,0,0,0
"SRR5196132",0,0,0,0,-2.55199588278637,0,0,-0.205516816192885,0,-2.39549822815471,0,0,0,-3.51059306609325,-4.39509904539928,0,0,0,0,4.00309289910558,0,0,0,0,0,0,0,0,0,0,0,-2.77545566864214,4.42018652969258,0,0,0,6.08052555517251,0,0,0,4.14912464060518,0,-4.80723023224323,0,0,0
"SRR5196133",0,0,0,0,2.32072921788464,0,-2.53669767499838,0,0,0,0,-3.37752061697227,0,-2.53404236553938,0.041025909166367,0,2.57176191168559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.60529723849811,0,-4.39368925653903,0,-4.38909012564623,0,0,0,0,-5.85003731220735,0,-4.18828494286907,0,0
"SRR5196134",0,0,0,0,0,0,0,-4.67656111111765,0,-2.38969653602395,0,-2.47121395344829,0,0,-4.90489229941208,0,0,0,3.62390640413472,0,0,0,0,0,0,0,0,3.70918107335476,0,0,0,-2.85512109684846,0,0,0,-3.88203527179152,0,0,0,0,4.13907581506483,-4.2802681237456,-4.94521480150331,0,0,0
"SRR5196135",0,0,0,0,0,0,-2.06688344537436,0,0,0,0,0,0,-2.40889923332003,-0.436021878093572,0,0,0,0,0,0,0,0,0,0,0,0,3.96074015192024,0,0,0,0.280535135463174,0,0,-3.5799471407114,0,4.17233586242401,0,0,3.32793159388303,0,0,-5.83412344201901,0,0,0
"SRR5196136",0,0,0,-2.17515901261495,0,0,0,-3.82577583067232,0,0,0,0,0,-2.66931380683337,-0.219093314412795,0,0,0,0,0,0,0,0,0,3.66229020609732,0,0,0,0,0,0,-2.97982997518808,0,3.76748592439044,0,0,4.62338713478049,0,0,0,0,0,-5.16121691494246,0,0,0
"SRR5196137",0,0,0,0,0,0,0,0,0,0.400312404658784,0,0,0,-2.62581305206727,-0.420630031366413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.88403911583552,0,0,0,0,4.54804161735802,0,0,-0.128731436670171,0.311447532278911,0,-4.99530227964314,0,0,0
"SRR5196138",0,0,0,0,0,-0.281439982169132,0,0,0,0,0,-2.21532623705254,0,-5.88059457225758,-4.20049027982723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.18494670456508,0,0,0,0,-0.268890811593546,0,0,3.98066722328812,0,-3.83705759791538,-5.51648951170578,0,0,0
"SRR5196139",0,0,0,0,0,4.48191735797405,0,0,0,0,0,-2.37199811962868,0,-6.09246964875422,0,0,-2.45199415203285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.03142616728684,0,0,0,0,0.19297352698705,0,0,4.22183601013854,0,-4.10842125865471,-5.2505841411346,-4.24697845118267,0,0
