"","216778__29461_264697","218538__329854","52787__28026_78342","40214__1358_189722","28125__1535_166486","122355__882211","41976__28128_35833","328812__818_1630","582__28111","1646377__729_28118","28026__78342","691816__1265_29466","76759__33038_39484","179995__44749_47678","1358__189722","376805__301302_310298","818__1630","208479__28446_36847","28126__1280_191493","28025__29375","1535__166486","1379__1303_33069","487698__40520_69825","47770__47884_52226","36835__562_36874","33031__288965","28132__28135_39778","1512__488_384638","28128__35833","225991__40324_47880","28090__28091_48296","626933__38986_228603","39490__88431_1113609","729__28118","44749__47678","29370__1018_305719","301302__310298","33038__39484","108980__585_228604","1265__29466","40520__69825","100884__28116_246787","529__293_511","1622__308994","53412__1408_183417","1303__33069","29360__1559_36745","477666__77095_128780","1034636__860_425941","40216__202956_271420","301__1404_43770","28135__39778","79880__290588","29356__138595","137591__850_29430","2741__47715_270498","1613__47246","1121298__147802_310514","243924__317_454155","47884__52226","1453492__28454_264027","43675__1680_28037","82135__1735_633701","53408__1661050","2088__254_196024","1280__191493","85831__165179_487175","38986__228603","28091__48296","658457__584_410072","1598__285_405446","28116__246787","488__384638","38286__38304_143393","199__28137_762212","370979__45067_490189","40324__47880","33039__856_13690","104663__544645_1611423","1522__386414","41276__745310_999468","562__36874","2139__157687","317__454155","45254__294_1223514","1727__46228","481743__1113741","585__228604","253239__1229909","28130__76517","158787__358742","165179__487175","1661032__29552_39496","216947__574375","35825__39485_239935","1680__28037","588__516075","293__511","1018__305719","290309__823_46503","850__29430","1735__633701","1467__1203033","1249__239974","1506__626935","29367__308892","56810__797292","1604__38288","102862__1453594","1124188__1844653","419005__762210","136857__215690","29461__264697","1520__1710","1472__508460","29355__147207","33935__202955","163877__1078480","703__1902","84031__1148157","28124__88688","632__1691","1687__572010","234835__237258","163665__84032_1827099","1661055__28136_29363","441500__287_1465754","1510__626931","587753__103892_106648","584__410072","33032__33029_40215","251535__45851_261299","28454__264027","88431__1113609","93064__517011","202956__271420","28131__59310","55197__171398","39482__39483","316__2173_70775","115979__194326","1681__1113709","1010__29419","291644__820_204516","77095__128780","931533__84112_184870","47715__270498","147802__310514","105229__153151","1689__39494","182710__679249","180282__307126","35785__39960","40681__33043_187327","1352__37734","1408__183417","1404__43770","1296__905_1605","860__425941","133926__840_470565","470__387090_387661","1282__39489","341225__376804","118748__1465521","245__191295","39485__239935","294__1223514","1308__853_89014","189426__33035_626932","254__196024","1559__36745","43263__397865_626930","29389__851_28129","1539__40519_83771","856__13690","29552__39496","263475__101070_185294","1121830__28901_349096","1343__187452","28137__762212","38304__143393","823__46503","285__405446","745310__999468","1311__1402","1322__1755629","287__1465754","1623__39497","544645__1611423","502558__1589_588932","423605__626947","1580__28117_310297","471__28161","852__106654","45851__261299","84032__1827099","876__57706","39645__1264_301301","905__1605","33043__187327","879__907_371601","103892__106648","45067__490189","2173__70775","1629__39486_309120","820__204516","840__470565","28446__36847","387090__387661","33029__40215","84112__184870","58172__84030_437898","397865__626930","28136__29363","851__28129","101070__185294","1532__29348_536633","671267__817_39492","40519__83771","28901__349096","33035__626932","338188__39488_137732","861__1725","1254__33959","28127__197614","1589__588932","28117__310297","1599__46506_328813","1260__291645","1670__328814_454154","216940__1685_214856","745368__74426_216935","33008__1515_626937","1264__301301","907__371601","39486__309120","234908__84026_360807","817__39492","84030__437898","1407__28447_216816","472113__39491_43131","109790__839_180311","29348__536633","46506__328813","328814__454154","1304__1686_1297750","1685__214856","39488__137732","1515__626937","28447__216816","74426__216935","549__821_185293","78345__357276_589436","84026__360807","39491__43131","1161942__40518_1755626","821__185293","839__180311","1686__1297750","357276__589436","853__89014","40518__1755626"
"ERR1072629",0,0,0,0,0,0,0,-2.55681979917537,0,-2.19556949407529,0,0,0,0,0,0,4.4285417979698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.80283791528671,0,0,0,0,0,0,0,-2.34827611154777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.06733353540102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.36989150085744,0,0,0,0,-3.05231547043471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.10477248791075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.28676547552143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.77835714398006,0,0,0,0,0,0,0,0,0,-3.21096412508324,0,0,0,0,0,0,0,0,0,4.81225573494543,0,0,0,0,0,-5.56155300592511,0,0,0,0,0,0,0,-3.35861143708092,0,0,0,0,5.81728565190608,0,0,0,0,0
"ERR1072724",0,0,0,0,0,0,0,-1.92411563471009,0,0,0,0,0,0,0,0,3.33266603895551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.09245158372659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.62423245539241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.51771092561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.07108853860552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.15936016934995,0,0,0,0,0,0,0,0,0,0,0,0,0,0.361207152327161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.74012152515465,-2.53025550642894,0,-2.11599409467935,0,0,0,0,0,0,0,0,0,0,0,0,0,4.38253109326584,-3.66500928050035,0,0,0,0,0,0,-2.96799029377505,0,0,0,0,5.14070998518966,0,0,0,0,0
"ERR1072851",0,0,0,0,0,0,0,-2.46240744694735,0,0,0,0,0,0,0,0,4.26501480704878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.1497632252294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.41959100991765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.17551658791117,0,0,0,0,0,0,0,0,0,0,0,0,0,5.45554993790934,0,0,0,0,0,0,4.19085456271426,0,0,0,0,0,0,0,0,0,0,0,0,0,5.50015607053991,-2.75282678695335,0,0,-2.45347430116825,0,0,0,0,0,0,0,0,0,0,0,0,-4.7680358594398,0,0,-4.24954214468795,0,0,0,0,-3.26469946030046,0,0,0,-2.86150249508054,5.6546253366831,0,0,0,0,-4.9562677074646
"ERR1072895",0,0,0,0,0,0,0,-2.59403175064024,0,0,0,0,0,-2.52240622028293,0,0,4.49299478855574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.3689357308578,0,0,0,0,0,0,-2.33275891265802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.04045695853282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.34264966456123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.36380715992012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.05758824335423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09423410027673,0,0,0,0,0,0,0,0,0,0,0,-2.38293943394343,0,0,0,0,0,0,0,0,0,-2.47736846534301,0,0,0,0,0,0,0,0,0,4.12737217094944,0,0,0,0,0,4.29092805104303,0,0,0,0,0,0,0,-3.10764312407976,0,0,0,-2.4222965575842,5.38259578269822,0,0,0,0,-4.19554070873502
"ERR1073081",0,3.7795011969756,0,0,-1.89147637979301,0,0,0,4.88932723505101,0,0,0,0,0,0,0,0,0,0,0,-3.27613319111794,0,-2.33763907229324,0,0,0,0,0,0,-2.06853373691163,0,0,0,0,0,0,0,0,0,0,4.04890964297008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.58280552950126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.95588163316848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.30823870338617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.73003751783062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.30279898387033,0,0,0,0,0,-3.9885648396814
"ERR1073129",0,0,0,0,0,-0.0776233147643286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.51394080534094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.35427320207112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.30083029072642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.59678161886034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.98515496313163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.51090193731112,0,0,0,0,0,0,0,0,0,0,0,0,0,4.49775770002707,0,0,0,0,0,0,0,0,0,0,0,-2.46805885122975,0,0,0,0,0,0,0,0,4.34900972824598,0,0,0,0,0,0,0,0,0,0,-4.27480332640001,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.11608885048548,0,0,0,-3.01582354198804,5.39722420993975,0,0,0,0,-5.22355960138562
"ERR1073205",0,0,0,0,0,0,0,-2.580080032623,0,0,0,0,0,0,0,0,4.46882970409701,0,-5.34063535796388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.635664225382612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.84227363533099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.78293791112924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.92296234540676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.82018985638544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.53038950159698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.13602762262324,0,0,0,0,0,-5.43175917632288
"ERR1073206",0,-3.16651205614952,0,-1.83917202070473,0,0,0,-2.01657083942449,0,0,0,0,0,0,3.18553938371971,0,3.49280315094503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.27483318453333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.94012665435543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.16354737895759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.47942479250591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.29661078386024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.97784656285652,0,0,-2.23368016398565,0,0,0,-1.9937172628819,3.86884753188192,0,0,0,0,-3.45321959523861
"ERR1073268",0,0,0,0,0,-0.409993875909261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.94333430566269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.36595375349937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.03588325096572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188924833447381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.80087539574602,0,0,0,0,0,0,0,0,0,0,0,0,-2.26837245400048,0,0,0,0,0,0,3.11920768353282,0,0,0,0,0,0,0,0,-3.92893634081853,0,0,0,0,0,0,0,0,-1.60629631469028,0,0,0,0,0,-2.78218682905421
"ERR1073450",0,0,0,0,0,0,0,0,0,0,0,0,0,-2.28797854010711,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.34692177469255,0,0,0,0,0,0,3.96289507809279,0,0,0,0,0,0,-2.61613466718694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.53127816301008,-4.06498775515722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.38562530566591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.36601470453001,0,0,0,0,0,0,0,4.1320242372354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.78962211302222,0,0,0,0,0,0,0,0,4.09805767970104,0,0,0,0,0,-2.51519880864864,0,0,0,0,-4.83176723367213,0,0,0,0,0,0,0,0,0,0,4.35645212771616,0,0,-3.08264228331344,0,0,0,-3.16491483796911,5.33929305625902,0,0,0,0,-5.48179330099111
