"","74426__821_216816","39484__729_1623","536633__1680_301301","39491__69825","33043__239935","487175__820_341225","821__216816","1515__907_166486","1694__45851","1496__310297","817__47877","208479__454154","1547__84031","1520__397865","294__28037","562__44749","39496__40518","1264__97478_218538","1680__301301","88431__28116_39485","46503__102684","1630__147207","1685__84026","357276__310298_349096","309120__1735_261299","907__166486","28117__1308_40519","820__341225","35760__28026_351091","729__1623","97478__218538","573__29348_46506","1304__187327","78346__39488_1755626","1308__40519","28116__39485","28026__351091","310298__349096","1735__261299","633701__40520_165179","29348__46506","40520__165179","39488__1755626"
"SRR7008023",0,0,-2.2906734433521,0,0,-2.66073097982245,0,0,-3.78985494585605,0,0,0,0,-4.50734850082563,0,0,-4.27273168224301,0,-3.96756278743459,-2.45021847447446,0,0,0,-2.22298790903442,0,0,0,-4.608521242325,0,0,0,0,0,-3.17867684484729,0,-4.24390288743367,0,3.85032800305892,0,-2.13790047835006,0,-3.70295225002811,-5.50562979611824
"SRR7008024",-5.38316670646631,-2.49511841422522,-5.33449073454108,0,0,0,-0.493624304907981,0,0,0,0,0,0,0,0,0,0,0,0.663578086723232,-2.54615569526759,0,0,0,0,0,0,0,0,0,-4.32167186433877,0,-2.48656660939972,0,-3.05173342524103,0,-4.41007102818433,0,0,0,-2.88221442736521,-4.30685970388459,-4.99214182650458,-5.28575734367366
"SRR7008025",-2.49612230852873,0,-2.56071062029628,-4.13650740441016,0,0,4.32341066027788,-2.26428374053955,0,0,0,0,0,0,0,0,-4.46076859742858,0,-4.43528089783437,0,0,0,0,-2.51505209608037,0,-3.9218544813666,0,0,0,0,0,0,0,-3.31499266094009,0,0,0,4.35619801409381,0,-5.29745201072939,0,-1.02372054651814,-5.74173571546618
"SRR7008026",2.31766879861872,0,-4.65123485490382,0,0,0,4.087886768165,0,0,0,0,0,0,0,0,0,-4.4487311376007,0,-0.128077298648113,0,0,0,0,0,0,0,0,0,-2.46988759434876,0,0,0,-3.96477224424252,-3.34847106476653,0,0,-4.27797080239611,0,0,-2.48255506708743,0,-4.29991150878298,-5.79972201184989
"SRR7008027",-2.61774917407891,4.9327492799407,0,-4.11288868827894,0,-2.75965535578778,4.53407457097614,0,0,0,0,0,0,0,0,0,-4.10007776324886,0,0,0,0,0,0,-2.55481776620966,0,0,0,4.779863287604,0,0,0,0,0,-3.32523536189769,0,0,0,4.42507417515475,0,-4.66932091934617,0,-0.260863493088071,-5.75947659393148
"SRR7008028",4.63395450106212,0,0,0,-4.26508558106704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14414205059823,0,0,0,0,0,0,0,0,-0.508688463229064,-3.31672857719097,0,0,0,4.14041605815685,0,-4.99335091571322,0,-0.248926243515333,-5.74474241061039
"SRR7008029",-2.65694617173258,0,-2.56554956279837,0,0,0,4.60196576241645,-2.64572710420431,0,0,0,0,0,0,0,0,0,-2.60296716546101,-4.4436621921029,-2.39681233718634,0,0,0,0,0,4.58253376744393,0,0,0,0,-4.50847138101202,2.4179859071015,0,-3.09464197220983,0,-4.15140074421465,0,0,0,-2.42988523478468,-4.29658404688319,-4.20868468320849,-5.36007712710258
"SRR7008030",-2.2784889457086,0,-2.61291132132297,-4.23743238091972,0,0,3.94645861845134,0,0,0,0,0,0,0,0,0,0,0,4.52569516420331,-4.77403721365513,0,0,0,0,0,0,0,0,0,0,0,-2.52283286674583,0,-3.04937645066021,0,-0.396636870513026,0,0,0,-4.90749808084815,-4.36967470420843,-0.441404941073997,-5.28167494394753
"SRR7008031",0,-2.42610124133748,0,4.67523233145515,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.83249522686596,0,-2.44563340364052,0,4.3905792147902,0,-2.56445856632682,0,0,0,0,0,-4.20213061430244,-4.90602564512819,-2.61364300718437,0,-2.91365855129408,0,-4.23596131179299,0,4.44177253078329,0,-3.03987972753302,-4.52696248129043,-5.26522613698583,-5.04660464674888
"SRR7008032",2.9860317843469,0,-2.4980978458743,0,0,0,4.11511395422757,0,0,0,0,0,0,0,0,0,-4.27265932465443,0,-4.32683239133266,-2.4579093302191,0,0,0,-2.51016521661068,0,0,0,0,-2.34882435351587,0,0,0,0,-3.30294965814233,0,4.25722384033707,-4.06828311834461,4.34773369056183,0,-2.90055621761126,0,-5.02391073911251,-5.72087662274478
