"","1735__151276_633701","147206__74426_147207","821__338188","97478__1304_341225","1308__40518_536633","852__358743","850__301302_454154","52226__853_158847","437898__216935_589436","36745__39491_40519","454155__562_310297","1304__341225","74426__147207","28111__351091","36835__46506_487175","208479__387090","823__818_28116","28026__1322_1297750","40518__536633","216947__817_218538","46503__39485_310298","907__165179_349096","820__47678","46506__487175","39777__204516_357276","817__218538","818__28116","185294__69825_371601","39485__310298","562__310297","165179__349096","204516__357276","853__158847","151276__633701","69825__371601","328814__28117_1755626","39491__40519","1515__328813","255723__308994_1161942","39492__397865","216935__589436","28117__1755626","308994__1161942","301302__454154","1322__1297750"
"SRR1273259",0,-2.99151113066346,4.1033730801268,0,0,0,0,0,0,5.21331242016281,0,0,5.18144926971692,0,0,0,0,0,0,0,-6.50541770581494,2.40055291904491,0,0,0,0,0,0,-0.288647829226289,0,-4.24883051901103,0,0,0,0,-2.87504533432463,0,0,0,0,0,-4.9797245931141,0,0,0
"SRR1273263",0,0,5.59851755956129,0,-2.18971123046436,0,0,0,0,0,0,0,0,0,0,0,0,0,3.79269110506844,0,-6.07493946035787,-2.75207827085596,4.0399733414148,0,-2.54509398582797,0,0,-2.41950041857478,-1.60752062714654,0,-4.76673939152883,4.40823209349202,0,0,4.19069765390569,-2.89466060873918,0,0,0,0,0,-5.01369924500451,0,0,0
"SRR1273267",0,0,5.55359887362786,0,0,0,0,0,0,0,0,0,0,0,-1.86834875957971,0,-2.22009425072445,0,0,-2.6088347171114,-2.86233386411841,0,4.28603792017285,1.26676957276402,0,4.51863427858652,-3.84531603984631,-2.65504766915847,4.95770768087803,0,0,0,0,0,4.5986774594998,0,0,0,0,0,0,0,0,0,0
"SRR1273270",0,0,4.79918927342476,0,0,0,0,0,0,0,0,0,0,0,-3.83611639527652,3.89436490852599,0,0,0,-2.21121131666893,-6.31041251696113,0,0,0.183909423170076,0,-3.82993034674186,0,-2.58278295522399,-2.16776110614227,0,0,0,0,0,4.47351130337085,-1.86614401858026,0,0,0,0,0,-3.23225625442176,0,0,0
"SRR1273273",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0591144757401591,0,0,-3.05144712817345,0,0,-2.42320136805184,-0.613826261854557,0,0,0,-3.37721429341569,-4.19710788643619,-5.28526146260656,0,-1.14531916074151,0,0,5.8495067442438,0,0,0,-2.77831522582846,0,0,0,0,0,-4.8121831305771,0,0,0
"SRR1273275",0,0,5.65691413151221,0,0,0,0,0,0,0,0,0,0,0,-5.27037535660002,0,-2.44679180026996,0,0,0,-2.60511303739003,0,0,1.2970960306676,-5.91834659842177,0,4.23796771361049,-2.71735955892951,4.51218814021961,0,0,0.658722404466196,0,0,4.70660481849887,-2.7333882788262,0,0,0,0,0,-4.73436737574023,0,0,0
"SRR1273281",0,0,0,0,-2.26017940599223,0,0,0,0,2.65569315099131,0,0,0,0,0,0,0,0,3.91474556539939,0,-2.96654141737023,0,4.50362762277102,0,-3.16275264240015,0,0,-2.39131361238232,5.13820045764262,0,0,-5.47804826840978,0,0,4.14187667347725,-3.35975129213558,-3.67004679446709,0,0,0,0,-5.81925993877401,0,0,0
"SRR1273284",0,0,4.59319837479962,0,0,0,0,0,0,0,0,0,0,1.04348469250604,0,0,0,0,0,0,-2.86166792927387,0,4.4924250643594,0,-5.97101287121537,0,0,-2.5718641493175,4.95655424789277,0,0,-0.675074323987329,0,0,4.45459937678281,-2.80913578039182,0,0,0,0,0,-4.86556589699829,0,0,0
"SRR1273285",0,0,5.0009326995109,0,0,0,0,0,0,0,0,0,0,0,-3.53094232733721,0,-0.238475577007413,0,0,0,0,-2.60687543166171,0.318233121994442,6.11577150954355,-3.22582970882538,0,-0.580838891804959,0,0,0,-4.51524069664112,-5.58730095225067,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR1273287",0,0,5.92117860140733,0,0,0,0,0,4.54177800987544,0,0,0,0,0,0,-1.35611545373605,0,0,0,0,-2.74079569566843,-2.87305997388438,4.40311255418333,0,0,0,0,-2.60084382194602,4.7471973980638,0,-4.97628584796026,0,0,0,4.50479364216212,-2.42594327101354,0,0,0,0,0,-4.20185700167529,0,0,0
"SRR1273291",0,0,5.94217482899371,0,0,0,0,0,0,0,0,0,0,0,-3.19637610779953,0,-2.44943162524199,0,0,-2.48941983553308,0,-3.14548496207117,4.41947926020145,5.53628581880805,0,4.31180163651306,4.24254002458513,0,0,0,-5.44813976875113,0,0,0,0,-2.71460645594021,0,0,0,0,0,-4.70183630424294,0,0,0
"SRR1273317",0,0,4.7893491513456,0,0,0,0,0,0,4.93017941055011,-3.22307271386879,0,0,0,0,0,0,0,0,0,-2.66316002612277,-5.51851879684911,4.42959672790261,0,-2.46969814998255,0,0,0,4.6127284739311,-5.58252569690965,0.634617582012276,4.27764267512864,0,0,0,-2.58068859011529,0,0,0,0,0,-4.46988375659298,0,0,0
"SRR1273337",-2.36965942520598,0,3.95077592188557,0,0,0,0,0,0,0,0,0,0,-3.98642783880042,0,0,0,0,0,0,-2.23371135227486,-5.99686261220135,3.72326492283748,0,0,0,0,0,3.86890155158344,0,2.26516852104882,0,0,-4.10437052109122,0,-2.42867507248517,0,0,0,0,0,-4.20658862062034,0,0,0
"SRR1273342",0,0,5.95092493103526,0,0,0,0,0,0,0,0,0,0,0,5.48039007833545,4.2400248534988,-2.64251915187849,0,0,-2.69232994071537,-2.8819935151362,0,4.57834907048602,0,0,4.66325224805793,-4.57697743102736,-2.74666845676079,4.99175919529993,0,0,0,0,0,4.75736931865649,-2.52832787176194,0,0,0,0,0,-4.37919233208418,0,0,0
"SRR1273344",0,0,4.06041511093899,0,0,0,0,0,0,0,0,0,0,-3.8368470241255,0,0,0,0,0,-2.167248766,-2.29502474066792,-3.68281086962269,0,0,0,3.75378497535296,0,2.0057066610718,3.97509945546442,0,6.37881554085341,0,0,0,4.20284465688695,-2.46087550361324,0,0,0,0,0,-4.26236140335978,0,0,0
"SRR1273345",0,0,5.53543710177252,0,0,0,0,0,4.78258772957699,0,0,0,0,4.71980098553228,0,4.06853610580391,0,6.23620877360939,0,0,-2.9636766628962,0,0,0,0,0,0,-2.80747836591952,5.1332385573424,0,0,0,0,0,4.86269517092306,-2.74276774439557,0,0,0,0,0,-4.75061308665422,0,0,0
