"","387090__46503_166486","46503__166486","1358__584_751585","1582__820_46506","29382__1352_1680","1078764__39485_328813","301301__550_53345","571__573","584__751585","47770__204516_360807","147802__729_33043","820__46506","376804__165179_310298","1352__1680","116085__1283_310297","296__1735","1747__329_754333","322095__28111_47678","39485__328813","548__410072","729__33043","1260__1579_74426","1363__1351_1353","204516__360807","28126__823_328814","411489__457412","165179__310298","1304__1512_37734","154046__626940","1318__100886","28111__47678","1283__310297","550__53345","626929__329854_357276","239935__246787","28125__371601_487174","626933__33039_39492","147207__291644","823__328814","1351__1353","649756__674529","1118060__552398_665956","1535__147206_384638","626935__817_338188","1579__74426","329__754333","287__103892","285__363265","291645__562_218538","147206__384638","293__39486_88431","329854__357276","80866__303_546","48296__43765_208479","665951__853_39491","371601__487174","33039__39492","562__218538","1512__37734","40214__40324","491921__40545_216816","1685__28116_1118061","303__546","39496__40518_45851","1354__658081","552398__665956","1681__28026_501496","29466__818_28117","29361__33038_39488","40518__45851","28116__1118061","43765__208479","39486__88431","853__39491","818__28117","817__338188","40545__216816","28026__501496","33038__39488"
"ERR2238626",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.86089529590117,0,0,0,-3.09280686497153,0,0,0,0,6.6872668152045,0,0,0,0,-5.35689862812851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238632",0,0,0,0,0,0,-3.9353345467114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.81619937968518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.593682336715209,0,0,0,0,0,0,0,0,1.02828797074696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238634",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33546394362053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.69716955604055,0,0,0,0,0,0,0,0,6.4036855152591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238647",0,0,0,0,-3.03562621539334,0,0,0,0,0,0,0,0,5.25785883784929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.88376309740476,0,0,0,0,0,0,0,0,6.72687500926612,0,0,0,0,0,0,3.54264752196477,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238648",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.71050961207065,0,0,0,0,0,0,0,0,6.42679117007906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238665",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.49303615596548,0,0,0,0,0,0,0,0,2.58601447966954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238676",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.30702246469842,0,0,0,0,0,-1.62193962939026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.80928184491337,0,0,0,0,0,0,4.22929591192351,0,-3.8478585157503,0,0,0,0,0,0,0,0,6.66468644961609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238682",0,0,0,0,0,0,-1.94115387788085,0,0,0,0,0,0,0,0,0,3.93260297583632,0,0,0,0,0,-2.41929971017827,0,0,0,0,0,0,0,0,0,3.36217714179898,0,0,0,0,0,0,4.19035001676543,0,0,0,0,0,0,0,0,-3.8570885344798,0,0,0,0,0,0,0,0,6.68067331101039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238687",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.92660344196913,0,0,0,0,0,0,0,0,6.80107666266537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238694",0,0,0,0,-3.93159791571472,0,0,-1.58435574698932,0,0,0,0,0,6.8097273449498,0,0,-0.438293966781791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.759147419116966,0,0,-1.8650406483817,0,0,0,0,0,0,0,0,3.2303451611783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
