"","1304__28026","33038__2173_751585","1686__457412","820__204516","39492__246787_357276","446660__100886_626940","2173__751585","39488__40520","1118060__33039_74426","197614__28111_310298","1735__28117_487174","1161942__1681_239935","1351__387090_491921","658081__818_46506","39486__907_1318","328812__817_158847","33039__74426","246787__357276","487173__853_1680","39496__100884","147207__39491_218538","28111__310298","665951__1308_410072","100886__626940","363265__310297_328813","28117__487174","384638__457394","1681__239935","818__46506","1502__821_360807","28118__823_33959","729__39485_45851","261299__665950","1343__665956","150055__39490_47770","1624__40545_328814","853__1680","39777__1598_626929","301301__626932","905__1683","469588__562_88431","658082__674529","329854__387661","626935__28116_47678","1736__28025_46503","39491__218538","310297__328813","1623__39483","338188__1118061","33043__658089","817__158847","823__33959","821__360807","1308__410072","39490__47770","1598__626929","562__88431","52226__901_216816","907__1318","39485__45851","40545__328814","28025__46503","40519__165179_166486","28116__47678","387090__491921","901__216816","165179__166486","97478__40518_46228","40518__46228"
"ERR478958",0,0,0,0,0,-2.57799107320961,0,0,0,0,-2.89123166120133,0,0,0,0,0,0,0,-2.74954945614302,0,-2.71092324384843,0,-2.78997631638804,-4.46521152025807,0,5.00776013365247,0,0,0,-2.49500423656945,0,0,0,0,-2.56874404183054,0,4.76235935596309,0,0,0,0,0,0,0,0,4.69545679376491,0,0,0,0,0,0,4.32147410283789,-4.83238073189795,4.44919519209032,0,0,-3.01875971369219,0,0,0,0,0,0,0,-5.22864519995695,0,-2.78132880437977,4.81740280174056
"ERR478959",0,0,0,0,0,-2.57334316932873,0,0,0,0,-2.88715321642548,0,0,0,0,0,0,0,-2.74751625683724,0,-2.70421466433471,0,-2.78663361154071,-4.45716111458768,0,5.00069606008483,0,0,0,-2.49554834041422,0,0,0,0,-2.57456082664398,0,4.75883775146356,0,0,0,0,0,0,0,0,4.68383719320053,0,0,0,0,0,0,4.32241651834163,-4.82659099726766,4.45927015892391,0,0,-3.02339273291535,0,0,0,0,0,0,0,-5.2366698246439,0,-2.76393634988795,4.7872781868924
"ERR478960",0,0,0,0,0,-2.57207460147453,0,0,0,0,-2.89079247903326,0,0,0,0,0,0,0,-2.75487567015002,0,-2.71596537850217,0,-2.78557979044695,-4.45496389061135,0,5.00699944782359,0,0,0,-2.50343722883859,0,0,0,0,-2.57717777155354,0,4.7715846292352,0,0,0,0,0,0,0,0,4.7041900271638,0,0,0,0,0,0,4.33608047390786,-4.82476572559119,4.46380284046787,0,0,-3.01562081721074,0,0,0,0,0,0,0,-5.22320847177139,0,-2.78171257620279,4.81806751403654
"ERR478961",0,0,0,0,0,-2.57060889153381,0,4.34144436759488,0,0,-2.88475141886815,0,0,0,0,0,0,0,-2.74399017614205,0,-2.70261416219985,0,-2.77376519494377,-4.45242520652486,0,4.99653602468604,0,0,0,0,0,0,0,0,-2.58540397181953,0,4.75273040054791,0,0,0,0,0,0,0,0,4.68106504218533,0,0,0,0,0,0,0,-4.8043022459088,4.4780510372818,0,0,-3.01444040699265,0,0,0,0,0,0,0,-5.22116394129988,0,-2.76672281295944,4.79210448250563
"ERR478962",0,0,0,-0.568883776783058,0,0,0,0,-2.28444061592194,0,0,0,0,0,0,0,3.95676721365074,0,0,3.99149441229588,0,0,0,0,0,0,0,0,0,-5.00749155424841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.292983275777082,0,0,0,0,0,0,0,0,0,-6.4882295499923,0,0,0,1.6640260528101,0,0
"ERR478963",0,0,0,-0.385313672910566,0,0,0,0,-2.29997776695077,0,0,0,0,0,0,0,3.98367834863755,0,0,3.96981164091048,0,0,0,0,0,0,0,0,0,-5.02516965929661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.276892866931776,0,0,0,0,0,0,0,0,0,-6.48129004857387,0,0,0,1.67116348749828,0,0
"ERR478964",0,0,0,0,0,0,0,0,-2.59733005629286,0,0,0,0,0,0,0,4.49870762152497,0,-2.96628979415498,0,-6.08495933927958,0,0,0,0,0,0,0,0,-2.55568368778994,0,-2.50816745062893,0,0,0,0,5.13776463344946,0,0,0,0,0,0,0,0,0.164406726642427,0,0,0,0,0,0,-4.42657399532717,0,0,0,0,0,0,4.34427345837981,0,0,-2.82085986715692,0,0,0,4.88587261094777,-2.86290917060088,4.95870414093559
"ERR478965",0,0,0,0,0,0,0,0,-2.5771185590914,0,0,0,0,0,0,0,4.46370028147499,0,-2.96925133398542,0,-6.08877689335078,0,0,0,0,0,0,0,0,-2.53852195556386,0,-2.49956279318189,0,0,0,0,5.14289417090442,0,0,0,0,0,0,0,0,0.149367244625648,0,0,0,0,0,0,-4.39684900316571,0,0,0,0,0,0,4.32936975449981,0,0,-2.8318206967765,0,0,0,4.90485732474199,-2.86690726473072,4.96562904310192
"ERR478966",0,0,0,0,0,0,0,0,-2.57377395340822,0,0,0,0,0,0,0,4.45790725450045,0,-2.97004546624812,0,-6.09358483729439,0,0,0,0,0,0,0,0,-2.54648594244039,0,-2.50424121350174,0,0,0,0,5.14426964833133,0,0,0,0,0,0,0,0,0.139196531458172,0,0,0,0,0,0,-4.41064303306667,0,0,0,0,0,0,4.33747301619296,0,0,-2.81744128378249,0,0,0,4.87995145085335,-2.87473294263736,4.9791835148399
"ERR478967",0,0,0,0,0,0,0,0,-2.58426975405827,0,0,0,0,0,0,0,4.47608651449245,0,-2.97295277672751,0,-6.08393313232462,0,0,0,0,0,0,0,0,-2.55405059143421,0,-2.49889162556723,0,0,0,0,5.14930525779503,0,0,0,0,0,0,0,0,0.15141465226068,0,0,0,0,0,0,-4.4237453894654,0,0,0,0,0,0,4.32820725809083,0,0,-2.82077335554598,0,0,0,4.88572276844219,-2.85863274460358,4.95129715383347
"ERR478970",0,0,0,4.45944480219379,0,0,0,0,0,-2.63598994336261,0,0,0,0,0,0,0,0,-2.55924700608134,0,-3.12886800320628,4.56566851014464,-2.41083469097744,0,0,0,0,0,0,-2.45211118743831,0,0,0,0,0,0,4.43274584365142,0,0,0,-2.85390658674188,0,0,0,0,5.41935835172986,0,0,0,0,0,0,4.2471811624512,4.17568817342254,0,0,4.9431112082924,0,0,0,0,0,-2.69239912331401,0,0,0,-4.66337207583377,-3.27550211651496,5.6733360861033
"ERR478971",0,0,0,4.41593635824655,0,0,0,0,0,-2.63159807219087,0,0,0,0,0,0,0,0,-2.5549244732316,0,-3.12193532408079,4.5580615661349,-2.38442625033368,0,0,0,0,0,0,-2.48724010804307,0,0,0,0,0,0,4.42525899713829,0,0,0,-2.84405955298731,0,0,0,0,5.40735059925194,0,0,0,0,0,0,4.3080262377537,4.12994741247888,0,0,4.92605564552565,0,0,0,0,0,-2.70326347710082,0,0,0,-4.68218968858392,-3.28280903334842,5.68599203730554
"ERR478972",0,0,0,4.39409678734342,0,0,0,0,-2.4111494545169,-2.6388272160031,0,0,0,0,0,0,4.17623335986526,0,-2.56077059930728,0,-3.11923399406005,4.5705828105129,0,0,0,0,0,0,0,-2.53173673997356,0,0,0,0,0,0,4.43538478452881,0,0,0,-2.85330087914683,0,0,0,0,5.40267175840801,0,0,0,0,0,0,4.385096665023,0,0,0,4.94206209196326,0,0,0,0,0,-2.69764074925627,0,0,0,-4.67245083828003,-3.28211093245635,5.68478289109166
