"","818__39491","820__573_357276","562__1689_246787","40545__850_626932","821__28111","292800__1531_338188","1689__246787","39485__28116_204516","817__46506","1512__310298","371601__751585","1681__33043","1318__40520","29466__329854","2173__469610","1735__291645","729__29348","103892__291644","1531__338188","387661__187327_328814","550__40518","1685__239935","823__853_47678","33039__74426","573__357276","166486__218538_360807","469591__29361_487174","626940__28117_674529","850__626932","46503__165179","39492__328813","28118__487175","1680__216816","187327__328814","28116__204516","853__47678","29361__487174","218538__360807","28117__674529"
"ERR1823587",-5.00425439027144,0,6.08779613550596,0,0,0,0,0,0,-5.09093365395804,0,0,0,-4.83651606075605,0,0,0,0,0,0,-4.63843131324531,0,-5.41843117779647,4.94018629845752,0,0,0,0,0,0,0,0,-4.61823923510199,0,0,0.349163761350063,0,0,0
"ERR1823588",0,6.19564894115112,0,0,-0.242595446508692,0,0,-3.16339857402896,-5.1782636407793,0,0,0,0,0,0,0,0,0,0,0,0,-4.67198914267659,0,0,0,0,2.39467550383196,-2.87750334310523,0,0,0,0,0,0,-5.4791670548091,0,-4.68413462745189,0,4.98398198920755
"ERR1823589",0,6.24963954783176,0,0,0,0,0,-5.69653667915741,-5.05502268628581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.59644931395861,-3.01480854717596,0,0,0,0,-4.81959931983388,0,0.061694581539053,0,-4.49718213105367,0,5.22180157880168
"ERR1823590",-0.354055147199896,0,0,5.69742579994826,-0.443632404878839,0,0,-2.80252520222945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.93180342723145,0,0,0,0,0,0,0.471051883309028,0,4.85411603975364,0,0,5.07803249376944,0
"ERR1823591",-5.70658013461879,0.794102591947972,0,0,0,0,0,-5.65754676058393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.60335392740899,0,0.376673965280315,0,0,-2.79029033354598,0,0,0,0,-4.34346924288639,0,0.523840365081117,4.50914127235635,0,0,4.83292462556994
"ERR1823592",-6.02649875820994,5.61892975882803,0,0,4.87071864339805,0,0,2.84800165176341,0,0,0,0,0,0,0,0,0,0,0,-2.23620557360239,0,0,-2.49930056198735,0,0,0,0,-2.95422325658909,0,0,0,3.9559292088166,0,-3.87322166964805,-4.22042434127396,4.32891555674754,0,0,5.1168647773139
"ERR1823593",0,0,3.0993770090892,-2.65968507531915,0,0,-4.97492426500426,0,0,0,0,0,0,0,0,0,0,0,0,-2.80696978696381,0,-5.17789375926651,0,0,0,0,-2.85341024179347,-2.91844122419028,-4.60670968258542,0,-4.54449175354727,4.5640434910903,0,-4.86181428633211,0,0,-4.94225151362369,0,5.05488847920107
"ERR1823594",-5.47729257912128,5.37246184241922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.63187732514682,0.140645353618204,0,-2.56279158086182,0,5.4209091424076,0,-0.213196480396254,0,0,0,0,0,4.55854524644276,0,-4.43888522726244,0
"ERR1823595",-5.11609215678646,0,-3.10447501018767,0,0,0,-5.37710844847295,-2.64788754382768,0,0,0,0,0,0,0,0,0,0,0,2.6107342165869,0,-4.73347690919778,-3.12117131127257,0,0,0,0,-2.70134501631057,0,0,4.6737045833203,0,0,-4.50431183691489,-4.5862757586383,5.40602729025047,0,0,4.67886681702289
"ERR1823596",-5.21570576370912,3.55056915625132,-2.51181706252328,0,0,0,-4.35059477160874,-3.12553962609184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.96739471718677,-4.48328302148539,0.269991310512944,0,0,0,0,0,0,0,0,-5.4135934334609,0,0,-0.272766328649399,0
