,D000755
818__39491,0.14020435426535646
820__573_357276,0.2606426994149231
562__1689_246787,0.14732052709475002
40545__850_626932,-0.8024606460962027
821__28111,0.2605145580762102
292800__1531_338188,0.12518546558538354
1689__246787,0.20292033698148654
39485__28116_204516,0.1100728446791922
817__46506,-0.11308623506992375
1512__310298,0.16421462634031198
371601__751585,0.2264106863081233
1681__33043,0.15734165556715668
1318__40520,-0.16183466629977275
29466__329854,0.2021586486645298
2173__469610,-0.37647702978206987
1735__291645,-0.12410358521026045
729__29348,-0.1630136205250737
103892__291644,0.18225808746361635
1531__338188,0.3079372630514613
387661__187327_328814,-0.04526087984973474
550__40518,0.4976422631263514
1685__239935,0.3014117651869619
823__853_47678,-0.2584149168109093
33039__74426,-0.3678922071366017
573__357276,-0.2828679737498798
166486__218538_360807,0.3453202785548423
469591__29361_487174,0.018349193253368805
626940__28117_674529,-0.15948211899782974
850__626932,0.35047247320654484
46503__165179,0.3079268917514153
39492__328813,-0.5686671967065562
28118__487175,-0.21883710594263034
1680__216816,0.26810958340699503
187327__328814,0.2975923259645047
28116__204516,0.3268778841897593
853__47678,-0.4736428298284991
29361__487174,0.4440528832912676
218538__360807,0.35761686139575194
28117__674529,-0.6247646601487614
