oldID,newID
33039_and_45851,33039__45851
214856_and_39492,39492__214856
1735_and_39485_and_817,1735__817_39485
357276_and_46503,46503__357276
116085_and_28130_and_371601,28130__116085_371601
39485_and_817,817__39485
287_and_582_and_584,584__287_582
40520_and_454155_and_729,454155__729_40520
1304_and_1358_and_1363,1358__1304_1363
147802_and_33043,33043__147802
1680_and_216816_and_40519,40519__1680_216816
487174_and_573,573__487174
239935_and_301301_and_39488,39488__239935_301301
116085_and_371601,116085__371601
360807_and_548_and_626940,548__360807_626940
154046_and_310297_and_552398,310297__154046_552398
158836_and_54291,54291__158836
28111_and_29361_and_40545,29361__28111_40545
28116_and_410072_and_751585,410072__28116_751585
287_and_582,287__582
1623_and_363265,1623__363265
1070699_and_296_and_624,296__624_1070699
28117_and_821_and_823,823__821_28117
1680_and_216816,1680__216816
147207_and_329854_and_665950,329854__147207_665950
239935_and_301301,239935__301301
1118061_and_1286_and_550,1286__550_1118061
246787_and_47678_and_665951,665951__47678_246787
28116_and_751585,28116__751585
360807_and_626940,360807__626940
1283_and_1354_and_328814,1354__1283_328814
28111_and_40545,28111__40545
546_and_562_and_571,571__546_562
1118061_and_550,550__1118061
39491_and_626929_and_820,626929__820_39491
246787_and_47678,47678__246787
204516_and_329_and_818,329__818_204516
28117_and_821,821__28117
218538_and_28126_and_338188,28126__218538_338188
166486_and_46506_and_674529,674529__46506_166486
546_and_562,546__562
1283_and_328814,1283__328814
387090_and_40518_and_853,387090__853_40518
1351_and_165179_and_39486,39486__1351_165179
39491_and_820,820__39491
1078764_and_1582,1582__1078764
1747_and_501496,1747__501496
218538_and_338188,218538__338188
154046_and_552398,154046__552398
1282_and_29382,1282__29382
328812_and_626930,328812__626930
1304_and_1363,1304__1363
204516_and_818,818__204516
1351_and_165179,1351__165179
40520_and_729,729__40520
166486_and_46506,46506__166486
40518_and_853,853__40518
43765_and_48296_and_72556,43765__48296_72556
1352_and_1353,1352__1353
46228_and_47770,46228__47770
1689_and_33038,1689__33038
1070699_and_624,624__1070699
147207_and_665950,147207__665950
48296_and_72556,48296__72556
40214_and_40324,40214__40324
