"","820__39492","39485__546_357276","818__310297","328814__28117_301301","33039__751585","33043__218538","296__116085_371601","817__28116_239935","1747__204516","1118061__562_821","74426__328813_338188","1282__550_571","546__357276","28117__301301","1283__28111","562__821","28116__239935","376804__363265_487174","1680__246787","40214__147802","28130__47770","1260__100886_487173","29382__626933","40324__46228","291645__545_54291","322095__1078764","291644__384638","214856__387090","328813__338188","1304__1363","1735__40545_329854","39488__40518_46503","1286__469613_626940","550__571","363265__487174","40520__1358_88431","454155__287_387661","166486__39491_46506","154046__853_47678","1270__573_310298","1689__658089","1354__28025","116085__371601","158836__454154","1408__552398","39496__43765","328812__626930","28026__29361","2173__626929","1590__626932","1582__487175","1318__53345","40519__749535","197__410072","103892__501496","76759__303_674529","411489__754333","545__54291","147207__329_1531","40518__46503","261299__33038_216816","100886__487173","40545__329854","1358__88431","569__1351_1352","624__45851_102862","729__1681","853__47678","573__310298","303__674529","469613__626940","582__584_165179","329__1531","287__387661","28125__823_360807","45851__102862","39491__46506","33038__216816","584__165179","1351__1352","823__360807"
"ERR2238626",0,-3.09280686497153,0,0,0,0,0,0,0,-3.86089529590117,0,0,5.35689862812851,0,0,6.6872668152045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238632",0,0,0,0,0,0,0,0,0,-0.593682336715209,0,0,0,0,0,1.02828797074696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.81619937968518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238634",0,0,0,0,0,0,0,0,2.02257110479797,-3.69716955604055,0,0,0,0,0,6.4036855152591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238636",0,0,0,0,0,0,0,0,0,-3.54471555583878,0,0,0,0,0,6.13962744109251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.39787620285213,0,0,0,0,0,0,5.8852942211691,0,0
"ERR2238647",0,0,0,0,0,0,0,0,0,-3.88376309740476,0,0,0,0,0,6.72687500926612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.54264752196477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.03562621539334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.25785883784929,0
"ERR2238648",0,0,0,0,0,0,0,0,0,-3.71050961207065,0,0,0,0,0,6.42679117007906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238663",0,-3.85921363241132,0,0,0,0,0,0,0,0,0,0,6.68435408859885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238665",0,0,0,0,0,0,0,0,0,-1.49303615596548,0,0,0,0,0,2.58601447966954,0,0,0,0,0,0,0,0,-3.84942300987677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.61185429513001,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.66739623293128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238666",0,0,0,0,0,0,0,0,0,-1.54146799686667,0,0,0,0,0,2.6699008888145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.93477444966529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.81522926314415,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238676",0,0,0,0,0,0,0,0,3.7299908690991,-3.8478585157503,0,0,0,0,0,6.66468644961609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.44178513323162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.62193962939026,0,0,0,0,0,0,0,0,4.22929591192351,0,0,0,0,0,2.80928184491337,0
"ERR2238687",0,0,0,0,0,0,0,0,0,-3.92660344196913,0,0,0,0,0,6.80107666266537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238694",0,0,0,0,0,0,0,0,0,-1.8650406483817,0,0,0,0,0,3.2303451611783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.914728217016414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.438293966781791,0,0,0,0,0,-3.93159791571472,0,0,0,1.58435574698932,0,0,0,0.759147419116966,0,0,0,0,0,0,-6.8097273449498,0
"ERR2238695",0,0,0,0,0,0,0,0,0,-3.84718676563101,0,0,0,0,5.66266722226344,6.66352294427948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238705",0,0,0,0,0,0,0,0,0,-3.93415468751297,0,0,0,0,0,6.81415580360772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238712",0,0,0,0,0,0,0,0,0,-3.84750300659725,0,0,0,0,0,6.66407068970045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29800089950212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.25818405668097,0,0,0,0,0,0,5.64334032658231,0,0
"ERR2238713",0,0,0,0,0,0,0,0,0,-0.738089609685488,0,0,0,0,0,1.27840870451395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.9334560720599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.81294576614806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238715",0,0,0,0,0,0,0,0,0,-3.73726972939917,0,0,0,0,0,6.47314105290855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.661260782199267,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14533727182187,0,0,0,0,0,0,0,0
"ERR2238721",0,0,0,0,0,0,0,0,0,-3.93324504592249,0,0,0,0,0,6.81258025815634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238738",0,0,0,0,0,0,0,0,0,-3.82071085826621,0,-5.87200500013924,0,0,0,6.61766532754716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.66865170774086,0.459432704724995,0,0,0,0,0,-2.64730479045023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.58526640018028,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238740",0,0,0,0,0,0,0,0,0,-1.61598681071791,0,-3.8624637536623,0,0,0,2.79897126052461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.6899834637363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238742",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.93470744509592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.81511320782566,0
"ERR2238745",0,0,0,0,0,0,0,0,0,-3.91844211460683,0,0,0,0,0,6.78694082901666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.64118086039019,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5746594421743,0,0,0,0,0,0,0,0
"ERR2238748",0,0,0,0,0,0,0,0,5.87725560684432,-2.34051767919675,0,0,0,0,0,4.05389553638197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.18580634499622,0,0,0,0,0,0,0,0,0,0,0,0,0,3.78592764503988,0,0,0,0,0,0,0,0
"ERR2238749",0,0,0,0,0,0,0,0,2.74412072152118,-2.00753521083509,0,0,0,0,6.80426227509,3.47715298314988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238754",0,0,0,0,0,0,0,0,0,-0.742698005056764,0,0,0,0,6.81509380866372,1.28639067943836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238756",0,-2.3021890664845,0,0,0,0,0,0,0,-3.83760236805274,0,0,3.98750843178071,0,0,6.64692228071398,0,0,0,0,0,0,0,0,-2.31419661993107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.35071545090816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.00830612442477,-1.47959383766092,0,0,0,0,0,-2.17512015895977,0,0,0,4.07155859511011,0,0,0,2.56273170139453,0,0,0,0,0,0,3.76741862788561,0
"ERR2238757",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.17194827537072,0,0,0,0,0,0,0,0,0,0,0,0,0,5.49397557192256,0,0,0,0,0,0,0,0
"ERR2239105",4.66375263395968,2.00274215530009,0,-2.62088490925121,0,0,5.48165404324241,0,-4.20486367936209,-3.17552089038952,0,0,-5.40644487199445,4.53950582361365,0,5.50016352265102,0,0,0,0,0,0,0,4.90938406811709,0,0,0,4.06450860738661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2239132",5.12974996325106,-2.61813196424578,4.43234225215195,0,0,0,0,-2.49026194425507,0,0,0,0,-4.53473758299379,0,0,0,-4.31326021160504,-2.58876987287185,0,0,0,0,0,0,0,-5.87131267106165,0,0,0,0,0,0,0,0,-4.48388094891767,0,0,0,-2.79330039756699,0,0,0,0,0,0,0,0,0,0,0,4.39806957408237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.83813820938837,0,0,0,0,0,0,-2.63095789118305,0,0,0,0,0,4.55695274010331
"ERR2239172",4.28686304013772,-2.78224896584994,0,-2.69008976743784,0,-4.58685588462021,0,0,0,-6.05315617731336,0,0,4.81899656815807,4.65937215412349,0,1.27820992049054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.39434984312324,-2.64799758406269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.58646635391622,0,0,0,-3.05486879549099,0,0,0,0,4.14713557938402,0,-5.29118796424713,0,0
"ERR2239190",0,0,0,0,0,-1.51239247519878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.20469955136211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.55070244595237,0,0,0,0
"ERR2239196",4.17752045723133,0,0,-2.42766932428664,0,0,0,0,0,-6.46546434679615,-2.32437775914011,0,0,4.20484661364087,0,1.68111324264114,0,-2.23262892091533,-4.10953889539521,0,0,0,0,0,0,0,0,0,4.02594037481377,0,0,-2.25856056369653,0,0,-3.86702672547302,0,0,0,-2.53173111269706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.9119416482938,0,0,0,0,0,0,0,4.3850869182942,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2239207",0,0,0,0,2.6395193692842,0,3.47271179076875,0,0,-5.60861343919208,0,0,0,0,0,3.00922350419419,0,0,0,4.462932485368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.67337353906851,0,0,0,0,0.370393532091868,0,0,0,0,0,-1.94150413217117,0,0,2.89836798970801,0,0,0,0,0,0,0,3.42351922009417,0,0,0
"ERR2239212",4.53239146686349,0,3.67380116894583,0,0,0,0,-2.34364413447317,0,-6.41031801327084,0,0,0,0,0,1.76728951052755,-4.05931071576833,0,4.56963419739312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.64228212935839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.07348531348324,0,4.57656689598001,0,0,0,3.59138191170086
"ERR2239217",-0.241091202887419,-3.67779422343631,0,0,0,0,0,-1.69137004680113,0,0,0,0,-6.37012645477502,0,0,0,-2.92953885545971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2239222",-1.1651993040109,0,0,2.39862208192299,0,0,0,0,0,1.14261696062478,0,0,0,4.0294410372116,0,6.09610561072821,0,0,-4.26993264820703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.4570745967684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.25577803958967,0,0,0,0,0,-2.21839750658246,0,0,0,0,0,-3.84237719278493
"ERR2239227",-0.0607667522057234,4.95054594627387,0,-2.73778832968418,0,0,0,-3.25726552165065,0,-2.76962990114767,0,0,0,4.74198848738214,0,-4.79713970694974,5.64174937724127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.12090173881673,-3.27361788712892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.48648885138129,0,5.67007250507357,0,0,0,0,0,0,0,4.30672502304597,5.40556037706063,0,0,0,0
"ERR2239230",4.82491118881735,0,4.66751204339217,-2.56526197192595,-5.21127840316892,0,0,0,0,-2.66688581600341,0,0,0,4.44316407010008,5.27027510630826,-4.61918173130268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.38168261516823,0,0,0,0,0,-3.05396676094079,-3.41181367209633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.12519529697488,0,0,0,0,0,0,0,5.90943462602899,0,0,0,0,0,0,0,0,5.28962559457601,0,0,0,0
"ERR2239231",5.08538698606838,-2.81412969828718,0,0,0,0,0,0,0,0,0,0,-4.87421561652188,0,4.06727126065056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.19619031915174,-2.67782726843599,0,0,0,-2.38396084450671,0,0,-3.42216414216116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.63813288282452,-2.34144930572089,0,0,-4.12914130594043,0,0,0,5.92736216606348,0,0,0,0,0,0,-2.3845270519555,0,0,-4.05550916085545,0,0,4.13012200600936
"ERR2239232",0,0,0,0,0,-3.50478732238413,0,-1.11503914662132,0,-3.63905993273841,-2.22047327333605,0,0,0,0,0.966223218248336,-1.93130445437638,0,0,0,0,0,0,0,0,0,0,0,3.84597252626682,0,0,-1.74367476380724,0,0,0,0,0,0,-1.23622089810659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.02013328278981,0,0,0,0,0,0,0,2.14119740489905,0,0,0,-3.90397565202271,0,0,0,0,0,0,6.76188418081518,0,0
"ERR2239233",0,-1.72716271877089,0,-2.14098312635832,0,0,0,0,0,-3.86143501567921,3.33588071450985,0,-2.99153358184997,3.70829155300027,0,6.68820163728191,0,-1.82468342456759,2.67420384986097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.16044439907983,0,0,-1.89736076965498,-1.84631048114343,3.1682260648733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.19790355988736,0,0,0,0,0,0,0,0,3.28632525333041,0,0,0,0
