"","Part","BalanceID","Component","Group","d.group"
"41","-1","1078764__28111_357276","28111","1078764__28111_357276-1","p__FCB group"
"104","-1","1078764__28111_357276","357276","1078764__28111_357276-1","p__FCB group"
"130","1","1078764__28111_357276","1078764","1078764__28111_3572761","p__Terrabacteria group"
"172","1","28111__357276","28111","28111__3572761","p__FCB group"
"235","-1","28111__357276","357276","28111__357276-1","p__FCB group"
"346","1","165179__1118061","165179","165179__11180611","p__FCB group"
"393","-1","165179__1118061","1118061","165179__1118061-1","p__FCB group"
"399","-1","154046__546_411489","546","154046__546_411489-1","p__Proteobacteria"
"475","1","154046__546_411489","154046","154046__546_4114891","p__Terrabacteria group"
"506","-1","154046__546_411489","411489","154046__546_411489-1","p__Terrabacteria group"
"546","-1","147802__1260_33043","1260","147802__1260_33043-1","p__Terrabacteria group"
"575","-1","147802__1260_33043","33043","147802__1260_33043-1","p__Terrabacteria group"
"605","1","147802__1260_33043","147802","147802__1260_330431","p__Terrabacteria group"
"695","1","1747__52584_552398","1747","1747__52584_5523981","p__Terrabacteria group"
"727","-1","1747__52584_552398","52584","1747__52584_552398-1","p__Spirochaetes"
"774","-1","1747__52584_552398","552398","1747__52584_552398-1","p__Terrabacteria group"
"793","1","548__43765_387661","548","548__43765_3876611","p__Proteobacteria"
"851","-1","548__43765_387661","43765","548__43765_387661-1","p__Terrabacteria group"
"897","-1","548__43765_387661","387661","548__43765_387661-1","p__FCB group"
"962","1","28126__47678_218538","28126","28126__47678_2185381","p__FCB group"
"987","-1","28126__47678_218538","47678","28126__47678_218538-1","p__FCB group"
"1006","-1","28126__47678_218538","218538","28126__47678_218538-1","p__Terrabacteria group"
"1049","-1","116085__287_674529","287","116085__287_674529-1","p__Proteobacteria"
"1127","1","116085__287_674529","116085","116085__287_6745291","p__Terrabacteria group"
"1176","-1","116085__287_674529","674529","116085__287_674529-1","p__FCB group"
"1194","-1","40520__729_46228","729","40520__729_46228-1","p__Proteobacteria"
"1242","1","40520__729_46228","40520","40520__729_462281","p__Terrabacteria group"
"1246","-1","40520__729_46228","46228","40520__729_46228-1","p__Terrabacteria group"
"1316","1","546__411489","546","546__4114891","p__Proteobacteria"
"1423","-1","546__411489","411489","546__411489-1","p__Terrabacteria group"
"1484","-1","88431__28117_39485","28117","88431__28117_39485-1","p__FCB group"
"1494","-1","88431__28117_39485","39485","88431__28117_39485-1","p__Terrabacteria group"
"1518","1","88431__28117_39485","88431","88431__28117_394851","p__Terrabacteria group"
"1583","-1","322095__573_246787","573","322095__573_246787-1","p__Proteobacteria"
"1663","-1","322095__573_246787","246787","322095__573_246787-1","p__FCB group"
"1670","1","322095__573_246787","322095","322095__573_2467871","p__FCB group"
"1725","1","1260__33043","1260","1260__330431","p__Terrabacteria group"
"1754","-1","1260__33043","33043","1260__33043-1","p__Terrabacteria group"
"1850","1","817__853_39491","817","817__853_394911","p__FCB group"
"1855","-1","817__853_39491","853","817__853_39491-1","p__Terrabacteria group"
"1890","-1","817__853_39491","39491","817__853_39491-1","p__Terrabacteria group"
"2017","-1","291645__37734_626933","37734","291645__37734_626933-1","p__Terrabacteria group"
"2059","1","291645__37734_626933","291645","291645__37734_6269331","p__FCB group"
"2088","-1","291645__37734_626933","626933","291645__37734_626933-1","p__FCB group"
"2166","1","47678__218538","47678","47678__2185381","p__FCB group"
"2185","-1","47678__218538","218538","47678__218538-1","p__Terrabacteria group"
"2296","-1","158836__46506_54291","46506","158836__46506_54291-1","p__FCB group"
"2301","-1","158836__46506_54291","54291","158836__46506_54291-1","p__Proteobacteria"
"2310","1","158836__46506_54291","158836","158836__46506_542911","p__Proteobacteria"
"2362","-1","384638__329_387090","329","384638__329_387090-1","p__Proteobacteria"
"2467","1","384638__329_387090","384638","384638__329_3870901","p__Terrabacteria group"
"2468","-1","384638__329_387090","387090","384638__329_387090-1","p__FCB group"
"2490","1","287__674529","287","287__6745291","p__Proteobacteria"
"2617","-1","287__674529","674529","287__674529-1","p__FCB group"
"2689","1","46506__54291","46506","46506__542911","p__FCB group"
"2694","-1","46506__54291","54291","46506__54291-1","p__Proteobacteria"
"2759","-1","310298__550_820","550","310298__550_820-1","p__Proteobacteria"
"2769","-1","310298__550_820","820","310298__550_820-1","p__FCB group"
"2848","1","310298__550_820","310298","310298__550_8201","p__FCB group"
"2917","1","1623__39492_363265","1623","1623__39492_3632651","p__Terrabacteria group"
"2939","-1","1623__39492_363265","39492","1623__39492_363265-1","p__Terrabacteria group"
"2988","-1","1623__39492_363265","363265","1623__39492_363265-1","p__FCB group"
"3074","-1","626940__40518_74426","40518","626940__40518_74426-1","p__Terrabacteria group"
"3088","-1","626940__40518_74426","74426","626940__40518_74426-1","p__Terrabacteria group"
"3137","1","626940__40518_74426","626940","626940__40518_744261","p__Terrabacteria group"
"3187","1","28117__39485","28117","28117__394851","p__FCB group"
"3197","-1","28117__39485","39485","28117__39485-1","p__Terrabacteria group"
"3295","1","823__166486_338188","823","823__166486_3381881","p__FCB group"
"3360","-1","823__166486_338188","166486","823__166486_338188-1","p__Terrabacteria group"
"3378","-1","823__166486_338188","338188","823__166486_338188-1","p__FCB group"
"3408","1","296__216816_239935","296","296__216816_2399351","p__Proteobacteria"
"3494","-1","296__216816_239935","216816","296__216816_239935-1","p__Terrabacteria group"
"3496","-1","296__216816_239935","239935","296__216816_239935-1","p__PVC group"
"3548","1","573__246787","573","573__2467871","p__Proteobacteria"
"3628","-1","573__246787","246787","573__246787-1","p__FCB group"
"3677","-1","1286__562_571","562","1286__562_571-1","p__Proteobacteria"
"3678","-1","1286__562_571","571","1286__562_571-1","p__Proteobacteria"
"3693","1","1286__562_571","1286","1286__562_5711","p__Terrabacteria group"
"3814","1","729__46228","729","729__462281","p__Proteobacteria"
"3866","-1","729__46228","46228","729__46228-1","p__Terrabacteria group"
"3947","-1","371601__818_1351","818","371601__818_1351-1","p__FCB group"
"3958","-1","371601__818_1351","1351","371601__818_1351-1","p__Terrabacteria group"
"4037","1","371601__818_1351","371601","371601__818_13511","p__FCB group"
"4069","1","550__820","550","550__8201","p__Proteobacteria"
"4079","-1","550__820","820","550__820-1","p__FCB group"
"4256","-1","100886__40545_328813","40545","100886__40545_328813-1","p__Proteobacteria"
"4270","1","100886__40545_328813","100886","100886__40545_3288131","p__Terrabacteria group"
"4292","-1","100886__40545_328813","328813","100886__40545_328813-1","p__FCB group"
"4344","1","853__39491","853","853__394911","p__Terrabacteria group"
"4379","-1","853__39491","39491","853__39491-1","p__Terrabacteria group"
