"","33039__820_821","550__46503","29382__218538_239935","40545__338188_487174","1735__216816_387090","411489__40518_363265","218538__239935","820__821","1582__74426_204516","1351__571_37734","338188__487174","1363__329_1747","1078764__287_166486","40518__363265","216816__387090","74426__204516","287__166486","457412__584_28116","46228__310297","54291__384638","1282__291644_751585","147802__546_165179","28126__371601_1118061","548__28111_39492","1260__45851_674529","40519__100886","584__28116","33043__46506_357276","296__1318","301301__328812","546__165179","571__37734","322095__39485_328814","28125__573_360807","329__1747","626932__626940","28111__39492","1613__1680","371601__1118061","40214__33035_292800","626933__47678_246787","582__88431","1502__40324","33945__1354_28118","45851__674529","469610__28123_501496","1288121__28117_328813","46506__357276","291644__751585","658086__214856_552398","457394__43765_154046","1689__33038_39488","28130__116085","2173__1535_908612","1632__658081","840__1596","1681__169435_208479","1535__908612","291645__665951","573__360807","39485__328814","47678__246787","1286__562_817","29361__454155","28117__328813","1352__1353","1354__28118","33035__292800","28123__501496","39777__624_1531","47715__1512_147207","214856__552398","729__40520","39486__823_39491","562__817","43765__154046","626930__818_853","29466__36834","33038__39488","823__39491","169435__208479","624__1531","818__853","1512__147207"
"ERR2238626",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.09280606881207,0,0,0,0,0,0,0,0,5.35689724913987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.8608944997417,0,0,0,0,0,0,0,0,0,0,0,6.68726543621586,0,0,0,0,0,0,0,0,0
"ERR2238632",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.593681540555747,0,0,0,0,0,0,0,0,0,0,0,1.02828659175831,0,0,0,0,0,0,0,0,0
"ERR2238634",0,0,0,0,0,0,0,0,0,0,0,-1.1677311756508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.02256972580933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.69716875988109,0,0,0,0,0,0,0,0,0,0,0,6.40368413627046,0,0,0,0,0,0,0,0,0
"ERR2238647",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.04534770429138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.88376230124582,0,0,5.25785745886155,3.54264614297702,0,0,0,0,0,0,0,6.72687363027838,0,0,0,0,0,0,0,0,0
"ERR2238648",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.71050881591067,0,0,0,0,0,0,0,0,0,0,0,6.42678979108952,0,0,0,0,0,0,0,0,0
"ERR2238665",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.66739485394354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.49303535980654,0,0,0,0,0,0,0,0,0,0,0,2.5860131006818,0,0,0,0,0,0,0,0,0
"ERR2238676",0,0,0,0,0,0,0,0,0,3.24387766646367,0,-2.15351043619079,-2.44178433707319,0,0,0,4.22929453293666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.72998949011225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.84785771959187,0,0,0,0,0,0,0,0,0,0,0,6.66468507062924,0,0,0,0,0,0,0,0,0
"ERR2238687",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.92660264580915,0,0,0,0,0,0,0,0,0,0,0,6.80107528367583,0,0,0,0,0,0,0,0,0
"ERR2238695",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.84718596947154,0,0,0,0,0,0,0,0,0,0,0,6.66352156529084,0,0,0,0,0,0,0,0,0
"ERR2238705",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.93415389135298,0,0,0,0,0,0,0,0,0,0,0,6.81415442461818,0,0,0,0,0,0,0,0,0
