"","1735__853_291645","817__322095_357276","853__291645","53345__40214_40324","322095__357276","33043__147802","1304__218538_310298","1283__1352_1354","40519__296_487174","310297__1353_552398","54291__158836","1260__74426","218538__310298","28111__28117_40518","154046__39492_40545","47678__571_573","216816__1689_33038","457412__751585","296__487174","1078764__823_33039","626940__147207_387661","1286__550_328814","28126__821_1118061","1363__287_1351","39492__40545","28117__40518","1623__45851_46506","550__328814","821__1118061","454155__562_818","40520__39485_329854","338188__328813_360807","287__1351","823__33039","45851__46506","562__818","39486__165179_246787","626929__820_46503","39485__329854","328813__360807","1680__239935","301301__28116_39491","166486__204516","328812__626930","1352__1354","501496__626933","1353__552398","165179__246787","571__573","820__46503","28116__39491","624__303_76759","40214__40324","303__76759","72556__80866","293__310575","1689__33038","147207__387661"
"ERR2238626",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.86090033820838,0,0,0,0,0,6.68727554873677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238632",0,0,0,7.87067917803722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.59368737902242,0,0,0,0,0,1.02829670427923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238634",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.69717459834776,0,0,0,0,0,6.40369424879138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238647",0,0,0,0,0,0,0,-5.08098480045153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.88376813970869,0,0,0,0,0,6.72688374279272,0,0,0,0,0,0,0,0,1.71521131588452,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238648",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.71051465438114,0,0,0,0,0,6.42679990361701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238665",0,0,0,0,0,0,0,0,0,0,2.05554193780127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.49304119826941,0,0,0,0,0,2.58602321319614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238676",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.06373484722319,0,0,0,0,0,-3.84786355805095,0,0,1.42001406701014,0,0,6.66469518313701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238687",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.92660848427962,0,0,0,0,0,6.80108539620332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238694",0,0,0,0,0,0,0,-3.93160295801538,0,0,0,0,0,0,0,-0.914733259317069,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.86504569068235,0,0,0,0,0,3.23035389469922,0,0,0,0,0,0,0,0,6.80973607847072,0,0,0,-1.58436448051024,0,0,0,0,0,0,0,0,0
"ERR2238695",0,0,0,0,0,0,0,6.53869497482456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.84719180793822,0,0,0,0,0,6.66353167781176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238705",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.93415972982345,0,0,0,0,0,6.81416453714567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238712",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.84750804890119,0,0,0,0,0,6.66407942322705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238715",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.73727477170638,0,0,0,0,0,6.47314978644082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238721",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.93325008823298,0,0,0,0,0,6.81258899169429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238738",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.45069057724086,0,0,0,0,0,1.60002745209487,0,0,0,0,0,5.31503058714757,0,-3.82071590056358,0,0,0,0,0,6.6176740610624,0,0,0,0,0,0,0,0,0,0,0,0,0.270322748727044,0,0,0,0,0,0,0,0,0
"ERR2238745",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.91844715691404,0,0,0,0,0,6.78694956254894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238748",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.34052272150069,0,0,0,0,0,4.05390426990857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238754",0,0,0,0,0,0,0,7.86940257458353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.742703047363975,0,0,0,0,0,1.28639941297064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238756",0,0,0,0,0,0,0,0,0,0,4.00831485793433,0,0,0,0,-2.35072049320225,0,0,0,0,0,0,0,-2.17512520125387,0,0,0,0,0,-3.83760741034684,0,0,-3.76742736139518,0,0,6.64693101422355,0,0,0,0,0,0,0,0,0,0,0,0,-4.07156732861968,0,0,0,0,0,0,0,0,0
"ERR2238757",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2239132",-2.79330543985125,-2.61813700653005,4.8381469428809,0,-4.53474631648633,0,0,0,-2.58877491515612,0,0,0,0,0,0,0,0,0,-4.48388968241021,4.14865505336902,0,0,0,0,0,0,0,0,0,-2.55901903470475,0,0,0,4.55696147359585,0,-4.43235098564449,0,-2.96166756444274,0,0,-4.31326894509758,0,0,0,0,0,0,0,0,5.12975869674359,0,0,0,0,0,0,0,0
"ERR2239172",-2.64800262634696,0,4.58647508740875,0,0,0,-2.64822752200376,0,0,0,0,0,4.58686461811275,-2.69009480972211,0,0,0,0,0,0,0,0,-2.65759571010292,0,0,4.65938088761603,0,0,4.60309079587534,-3.39557055177898,0,0,0,0,0,5.88130071636588,-3.05487383777526,-2.47502657248683,0,0,0,-2.39435488540751,0,0,0,0,0,5.29119669773967,0,4.28687177363025,-4.14714431287656,0,0,0,0,0,0,0
"ERR2239212",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.07349035576751,0,0,-2.69499151160015,0,0,0,0,0,4.6678622240583,-5.83641172236353,0,0,0,3.59139064519339,0,2.76134183214749,0,-2.61678247575067,0,0,0.510323481624798,-2.64228717164266,0,0,0,0,0,0,0,4.53240020035603,-4.57657562947255,0,0,0,0,0,0,0
"ERR2239217",0,-3.67779926573697,0,0,-6.37013518829594,0,0,0,0,0,0,0,0,0,-3.32369844410141,0,0,0,0,0,0,0,0,0,5.75681457422127,0,0,0,0,0,0,0,0,0,0,0,0,-3.18450437321511,0,0,-2.92954758898063,0,0,0,0,0,0,0,0,5.51572337133385,0,0,0,0,0,0,0,0
"ERR2239222",0,0,0,0,0,0,0,0,0,0,0,0,0,-2.32640390980211,-3.12997887627387,-2.45707963905266,0,0,0,0,0,-2.36251551700468,-2.33110763027782,0,5.42128244032368,4.02944977070413,0,-4.09199690912197,-4.03759685355266,-3.51959325764659,0,-2.21840254886672,0,0,0,6.09611434422075,-2.46525180614817,-2.45725074444361,0,-3.84238592627746,0,0,0,0,0,0,0,-4.26994138169957,-4.25578677308221,4.25608313631278,0,0,0,0,0,0,0,0
"ERR2239227",-3.27362292941319,0,5.6700812385661,0,0,0,0,0,0,0,0,0,0,-2.73779337196845,-2.85530937682858,0,0,0,0,0,0,0,-2.76963494343194,0,4.94554091199494,4.74199722087467,-2.48649389366555,0,4.79714844044228,0,-2.4752780154212,0,0,0,4.30673375653851,0,0,-2.82022567608483,4.28730728556778,0,0,-6.37817734503591,0,0,0,0,0,0,0,4.88477415978921,0.236189000180645,0,0,0,0,0,0,0
"ERR2239230",-3.4118187143806,0,5.90944335952153,0,0,0,0,6.08559958722945,0,0,0,0,0,-2.56526701421022,0,0,0,-5.21128713666146,0,0,0,0,-2.66689085828767,0,0,4.44317280359261,0,0,4.61919046479522,-2.69479437698256,0,0,0,0,0,-4.66752077688471,0,-5.1673564734165,0,0,0,-3.05397180322506,0,0,0,0,0,0,0,0.69971589184247,-5.28963432806854,0,0,0,0,0,0,0
"ERR2239231",1.77403121927485,-2.81413474057145,5.92737089955602,0,-4.87422435001441,0,0,4.6964903989762,0,0,0,0,0,-2.67783231072026,0,0,4.68290869601031,0,0,-2.38453209423976,0,0,0,0,0,-4.63814161631706,0,0,0,0,0,0,0,4.13013073950189,0,0,0,-2.93605458762427,0,0,0,0,0,0,0,0,0,0,0,5.08539571956092,0,0,0,0,0,0,0,0
"ERR2239235",-2.87627400097588,0,4.98185270617964,0,0,0,0,0,-2.57352746615529,0,0,-4.33155980457759,0,-2.86835873684919,0,0,0,0,-4.45748032605495,0,0,0,-2.41272970847731,0,0,4.96814306655688,0,0,4.17897044001354,0,0,-2.34709453389642,0,0,0,0,-3.60123126695154,-2.5339319647877,0,-4.06528698287579,0,0,0,0,0,0,0,6.2375155241657,0,4.38889890593513,0,0,0,0,0,0,0,0
"ERR2239236",-2.46793445315306,0,4.27458786261082,0,0,0,0,0,0,0,0,0,0,-2.99573632372908,0,5.28508092406085,0,0,0,0,0,0,-3.41682587358714,0,0,5.18876751877837,0,0,5.91811601366883,-2.69909514126391,0,-2.5261092439973,0,0,0,-4.67496991913139,0,-3.1878257057757,0,-4.37534955607274,-5.20626020040496,-2.48602869230781,0,0,0,0,0,0,0,5.52147608807763,4.30592800415114,0,0,0,0,0,0,0
"ERR2239237",0,0,0,0,0,0,-5.83149376463217,0,0,0,0,0,-1.17260365731681,0,0,0,0,0,0,0,0,0,-3.51417150246633,0,0,0,0,0,6.08672358878234,0,0,0,0,0,0,0,0,-5.46866937225055,0,0,0,-5.36643829387633,4.54415228913726,0,0,0,0,0,0,-0.380743862790983,0.636554202245216,0,0,0,0,0,0,0
"ERR2239245",-3.17494705852971,0,5.49916961671482,5.15547828280783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.79432787951782,0,-2.70439627517966,-2.52791301481089,0,0,0,0,4.68415175241119,0,0,-2.6898443220253,-4.37847377876708,0,0,0,-2.91967245369057,-2.52637883530268,0,-4.65894703019847,0,0,0,0,0,0,0,5.05702103125136,0,-4.37581650191092,0,0,0,0,0,0,0,0
