"","165179__74426_88431","40518__487174","573__28117_216816","74426__88431","410072__47678_487173","817__550_39492","28117__216816","100886__1735_363265","2173__39491_469588","166486__28111_360807","47678__487173","658081__33039_204516","384638__751585","550__39492","729__562_292800","39491__469588","33043__853_1502","1735__363265","338188__46503_46506","1308__310297_357276","28111__360807","818__187327","246787__291644","214856__261299_328813","328814__39485_45851","33039__204516","28118__820_1680","1747__411489","329854__457412_658082","562__292800","853__1502","46503__46506","261299__328813","310297__357276","457412__658082","820__1680","39485__45851"
"SRR3313034",6.07313266903307,4.79535696400621,-2.73362156524261,0,0,0,4.73477143966616,-2.58697065227906,-2.55767205562897,0,0,0,0,0,-2.58896013139144,4.43001794944851,-2.68433479268992,4.48076460743693,0,0,0,0,0,0,0,0,-2.80224725467487,0,0,4.48421048634017,4.64940424546381,0,0,0,0,4.85363462046729,0
"SRR3313035",5.95467014523571,4.54654702971377,-2.87793605743012,0,0,0,4.98473147240344,0,-5.78239051535571,0,0,0,0,0,0,-0.548275971333101,-2.57618291332749,0,-2.46566145052697,0,0,0,0,0,0,0,-2.84805739908668,0,0,0,4.46207969547402,4.27065090657669,0,0,0,4.9329801180906,0
"SRR3313036",2.5041818333685,0,0,-4.54975733782408,-5.53907666226154,0,0,0,5.34181185117721,0,0.120635868822073,0,-4.33851526521848,0,0,0,-2.9668188921103,0,0,0,0,0,0,0,0,0,-2.58137186642624,0,0,0,5.13868105799025,0,0,0,0,-4.47106722587915,0
"SRR3313037",4.97758619868028,0,0,-4.05501126912145,-2.77247434106928,0,0,-2.33816903428384,-2.66992727098599,0,-4.80206642141304,0,0,0,4.64281992902981,4.62444968586145,-2.40260822969049,4.04982756406387,0,0,0,0,0,0,-2.35573098039808,0,0,-4.01853063679553,0,0,4.16143952450705,0,0,0,0,0,4.08024574701353
"SRR3313038",4.15698752705082,4.97228442365496,-2.557749683109,-4.23500757511907,-2.77147734376128,0,4.43015240418799,0,0.16046865027227,0,-4.80033957142057,0,0,0,0,0.900889228188557,-2.60073845258927,0,0,0,0,0,0,0,0,0,0,0,0,0,4.50461113708268,0,0,0,0,0,0
"SRR3313039",7.12994100363168,4.93883000745581,0,0,-2.52672086725359,0,0,0,2.11155236485937,-2.5528736022467,-4.37640891862771,0,0,0,0,4.63061249924665,-2.55284822287827,0,0,0,-4.42170678439266,0,0,0,0,0,0,0,0,0,4.42166282603709,0,0,0,0,0,0
"SRR3313040",0,0.98854122208049,-2.58745727325995,0,0,0,4.48160745969985,0,-3.07133457938422,-2.96946669038448,0,0,0,0,-3.14635999329815,5.31970753853666,-2.65000387070018,0,-2.48457297039139,0,5.14326717912933,0,0,0,-2.47842397725637,0,0,0,0,5.44965536729447,4.58994134430689,4.30340661983021,0,0,0,0,4.29275625130496
"SRR3313041",0,0.312995331866444,-2.63617846768636,0,0,0,4.56599504385184,0,-2.6588934209526,-3.2939907596977,0,0,0,0,0,4.60533849700053,-2.67176755351257,0,-2.54192776832449,0,5.70535935545881,0,0,0,-2.75421575366924,0,0,0,0,0,4.62763714869778,4.40274804390819,0,0,0,0,4.77044162036173
"SRR3313042",0,0.823760713269984,2.98739294778481,0,0,0,4.20969333926449,0,-3.19712174535447,-5.5871973747336,0,0,0,0,0,5.53757730093722,-2.93971633749323,0,0,0,1.07935773480144,0,0,0,-2.98408037911067,0,0,0,0,0,5.09173805637858,0,0,0,0,0,5.16857883048909
"SRR3313043",0,5.72357319148891,0,0,0,0,0,0,-3.2098815787817,0,0,0,0,0,0,5.55967798072932,-2.48672019197979,0,0,-2.59746765320588,0,0,0,2.50840019588832,2.08667588871601,0,0,0,-2.41034874115704,0,4.30712571671643,0,-4.91565397377336,-4.49894594636929,4.17484648364368,0,5.54717938632023
