"","296__28116_239935","1351__1747","218538__291644","28116__239935","310297__371601","1735__562_487174","1590__550_40545","39490__818_301301","33945__40518_165179","1358__626932","47678__626940","1408__571_363265","562__487174","1353__823_28126","550__40545","552398__37734_53345","40518__165179","582__584","818__301301","102148__341694","1583__208962","726__735_739","850__437898","197614__671218","735__739","293__529","187327__329854_563191","303__29382_40214","47770__546_573","28125__281920","665951__54291_410072","571__363265","40519__729_357276","52584__100886","328812__40520_246787","823__28126","674529__46506_74426","1598__39777_158836","1502__1282_46124","1318__1078764","29382__40214","28111__821_1680","626929__154046_204516","1632__147802","53443__29361_208479","213__150055_501496","108980__1582_28026","376804__469613","1633__28130","39778__626933","28132__287_727","1260__658086","1531__116085","1286__1596","37734__53345","437897__197_338188","729__357276","28037__623_626930","54291__410072","1328__33043_56946","28123__2173_411489","329854__563191","546__573","1354__310298","126385__39486_751585","1282__46124","40324__39492_88431","754333__624_1283","40520__246787","46506__74426","287__727","358743__1512_387090","39777__158836","154046__204516","68891__329_29466","623__626930","29361__208479","150055__501496","1582__28026","333367__46503_387661","197__338188","821__1680","33043__56946","2173__411489","43675__1685_1118061","28118__817_360807","658082__33038_166486","569__1352_39485","1304__328813","39486__751585","624__1283","39492__88431","1512__387090","1686__1623_45851","322095__853_33039","329__29466","46503__387661","97478__1681_328814","28025__39488_39491","147207__820_216816","1685__1118061","817__360807","1352__39485","33038__166486","384638__28117_457412","1623__45851","853__33039","820__216816","39488__39491","1681__328814","28117__457412"
"ERR2238625",0,0,0,0,0,-3.87159563511425,0,0,0,0,0,0,6.70580034637978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.855185610610634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.48122492747943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238626",0,0,0,0,0,-3.86088043400183,0,0,0,0,0,0,6.68724107363975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.0927920030722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.35687288656376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238628",0,6.80266934002108,0,0,0,-2.08156402303894,0,0,0,0,0,0,3.60537464711091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238632",0,0,0,0,0,-0.593667474815875,0,0,0,0,0,0,1.02826222918221,0,0,-3.93531968481206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.81617363812043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238634",0,-2.02254536323322,0,0,0,-3.69715469414121,0,0,0,0,0,0,6.40365977369436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238639",0,0,0,0,0,-1.92136351976799,0,0,0,0,0,0,3.32789923604752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.92755131141224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.80271842069977,0,0,0,0,0,0,0,0
"ERR2238647",0,0,0,0,0,-3.88374823551509,0,0,0,0,0,0,6.72684926771811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.54262178041676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.03561135350367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.25783309630128,0,0,0,0,0,0,0,0
"ERR2238648",0,0,0,0,0,-3.71049475016166,0,0,0,0,0,0,6.42676542849758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238663",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.85919877050233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.68432834701737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238665",0,0,0,0,0,-1.49302129407581,0,0,0,0,0,0,2.58598873812153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.8494081479871,0,0,0,0,0,0,-2.66264045686697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.66737049138327,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.611828553582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238670",0,0,0,0,0,-3.68715881425864,0,0,0,0,0,0,6.38634640187138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.81077297188194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.86840159584089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238676",0,-0.920709024185731,0,0,0,-3.84784365387029,0,0,0,0,0,0,6.66466070808481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.44177027135161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.22927017039223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238679",0,3.24283544087097,0,0,0,-3.83961524686145,0,0,0,0,0,0,6.65040868908015,0,0,-0.633603524136496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0974334956591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238682",0,0.784615936692893,0,0,0,-3.85707367259978,-1.94113901600083,0,0,0,0,0,6.68064756947911,0,3.3621514002677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238687",0,0,0,0,0,-3.92658858006014,0,0,0,0,0,0,6.80105092108389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238695",0,0,0,0,0,-3.84717190373167,0,0,0,0,0,0,6.66349720271474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.26932758320573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.6626414806987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238705",0,0,0,0,0,-3.93413982560397,0,0,0,0,0,0,6.81413006202624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238712",0,0,0,0,0,-3.84748814470758,0,0,0,0,0,0,6.66404494815244,0,0,0,0,-5.6433145850343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29797515795411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238713",0,0,0,0,0,-0.738074747786153,0,0,0,6.81292002458332,0,0,1.2783829629492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238714",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.93564309873963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.81673380747485,0,0,0,0,0,0,0,0
"ERR2238715",0,0,0,0,0,-3.73725486749983,0,0,0,0,0,0,6.4731153113438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.661245920299931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14531153025712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
