"","39491__47770_204516","1735__1623_28111","53345__573_1286","584__287_582","1358__1351_1363","1283__1318","154046__310297","329__501496","116085__384638","310298__376804","54291__158836","1352__562_820","550__40214_40324","39488__216816","363265__45851_454155","287__582","562__820","457412__751585","40545__665951","39486__626940","573__1286","1623__28111","1354__328814_1118061","46228__28116_46506","1680__43765_411489","1351__1363","817__322095","371601__40518_46503","45851__454155","166486__552398","47770__204516","546__1689_33038","328813__624_28126","387090__39492_47678","626933__823_487174","100886__165179_218538","28116__46506","40518__46503","33043__853_357276","39492__47678","165179__218538","33039__821_246787","823__487174","853__357276","328814__1118061","28125__818_28117","239935__301301","821__246787","43765__411489","296__674529","818__28117","291644__328812","729__40520","624__28126","1689__33038","40214__40324","303__1681_261299","1681__261299"
"ERR2238626",0,0,0,0,0,0,0,0,0,0,0,-3.8609013997388,0,0,0,0,6.6872773873614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.18562593761833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238632",0,0,7.87068130109806,0,0,0,0,0,0,0,0,-0.593688440552844,0,0,0,0,1.02829854290386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238634",0,0,0,0,0,0,0,0,0,0,0,-3.69717565987818,0,0,0,0,6.40369608741601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238647",0,0,0,0,0,0,0,0,0,0,0,2.18749543721559,0,0,0,0,6.72688558141616,0,0,0,0,0,4.09070920856798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238648",0,0,0,0,0,0,0,0,0,0,0,-3.71051571591226,0,0,0,0,6.42680174224284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238665",0,0,0,0,0,0,0,0,0,0,2.05554193780127,-1.49304225979915,0,0,0,0,2.58602505181958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238676",0,0,0,-2.44179123706132,-1.62194573321996,0,0,0,0,0,0,-3.84786461958,0,0,0,4.22930648406667,6.66469702175925,0,0,0,0,0,0,0,0,2.80929241705653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238687",0,0,0,0,0,0,0,0,0,0,0,-3.92660954581074,0,0,0,0,6.80108723482915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238695",0,0,0,0,0,5.66267779442035,0,0,0,0,0,-3.84719286946864,0,0,0,0,6.66353351643639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238705",0,0,0,0,0,0,0,0,0,0,0,-3.93416079135457,0,0,0,0,6.81416637577149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238712",0,0,0,6.51638032102927,0,-2.29801147165216,0,0,0,0,0,-3.84750911043092,0,0,0,0,6.66408126185049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238715",0,0,0,0,0,0,0,1.14534784397877,0,0,0,-3.7372758332368,0,0,0,0,6.47315162506545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238721",0,0,0,0,0,0,0,0,0,0,0,-3.9332511497641,0,0,0,0,6.81259083032012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238738",0,0,-4.98164285197213,0,0,0,0,0,0,0,0,-3.82071696209194,6.1372708035382,0,0,0,6.61767589968345,0,0,0,0.542095419855099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238745",0,0,0,0,0,0,0,4.5746700143312,0,0,0,-3.91844821844447,0,0,0,0,6.78695140117357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238748",0,0,0,0,0,0,0,3.78593821718991,0,0,0,-2.34052378303042,0,0,0,0,4.053906108532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
