"","46228__216816_310297","40545__28026_28130","328814__820_28116","301301__1118061","384638__28111_328813","53345__316_322095","1680__751585","291644__821_204516","546__818","674529__1318_29382","37734__1351_1352","584__329854_626929","820__28116","571__46503_357276","1282__100886_626932","821__204516","548__562_817","28111__328813","216816__310297","1747__1358_103892","562__817","296__47678_246787","376804__39485_338188","29361__287_582","1735__823_1078764","46503__357276","1304__1582_469613","40520__411489","1351__1352","329854__626929","154046__1354_54291","39486__329_658089","116085__39488_626940","100886__626932","626933__166486_487174","1318__29382","39485__338188","88431__853_40518","293__47770","28025__147802","28125__573_360807","1363__454154","823__1078764","72556__457412","47678__246787","28026__28130","316__322095","291645__387661","310298__39491_46506","303__1623","1286__1681","106649__454155","587__43765","624__469610","1358__103892","287__582","158836__754333","521720__626930","166486__487174","1396__550_45851","569__387090_658081","147207__729_1531","39488__626940","40214__40324","1354__54291","363265__487173","1582__469613","40519__487175","39496__214856","2173__410072","649756__33039_39492","501496__658086","573__360807","853__40518","329__658089","729__1531","328812__165179_239935","39491__46506","550__45851","1689__33038","387090__658081","33039__39492","165179__239935"
"ERR2238619",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.75033443013808,0,0,3.73876398971709,6.49576977837402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238623",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.87983424476727,0,0,0,6.72007003688254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.43496661259853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.48543508018567,0,0,0,0,0,0,0,0,0,0
"ERR2238625",0,0,0,0,0,0,0,0,1.4812502093816,0,0,0,0,0,0,0,-3.87161023162727,0,0,0,6.70582562828195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238626",0,0,0,0,0,0,0,0,5.35689816846593,0,0,0,0,0,0,0,-3.86089503051485,0,0,0,6.68726635554192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238630",0,0,0,0,0,0,0,0,0,0,3.16079854116173,0,0,0,0,0,-3.55026415562194,0,0,0,6.14923789782782,0,0,0,0,0,0,0,3.90706764680184,0,0,0,0,0,0,0,0,0,0,0,-3.5681335709062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.72854853434809,0,0,0,0,0,0,0,0,0,0,0,0,6.1801886330017,0,0,0,0,0,4.72598469240848,0,0,0,0
"ERR2238632",0,0,0,0,0,7.87066856265016,0,0,0,0,0,0,0,0,0,0,-0.593682071328894,0,0,0,1.02828751108438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238634",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.69716929065423,0,0,2.3354634128479,6.40368505559652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238647",0,0,0,0,0,0,0,0,0,0,-3.0356259500072,0,0,0,0,0,-3.88376283201862,0,0,0,6.72687454960384,0,0,0,0,0,0,0,-5.25785837818701,0,-2.04534823506418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.54264706230249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238648",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.71050934668417,0,0,0,6.42679071041618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238651",0,0,0,0,0,0,0,0,0,0,0,6.59419451560983,0,0,0,0,-3.83921898503362,0,0,0,6.64972234346125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238663",0,0,0,0,0,0,0,0,6.68435362893597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238665",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.49303589057934,0,0,0,2.58601402000726,0,0,0,0,0,0,0,0,0,-3.84942274449063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.61185383546773,0,0,0,0,0,0,0,-6.667395773269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
