"","1613__1681_150055","658082__39777_103892","1596__1531_47715","545__571_851","100886__1598_165179","638849__33039_33959","1531__47715","33043__626940","1598__165179","571__851","28026__33945","1681__150055","1680__584_1686","28025__573_1358","457412__33038_46228","658089__187326_649756","1308__582_29348","357276__853_1351","582__29348","853__1351","584__1686","39777__103892","573__1358","624__29466_216816","187326__649756","562__1304","33039__33959","328812__166486_360807","166486__360807","29466__216816","1633__29361","33038__46228"
"SRR3160438",-3.01123120781741,-2.75812637890358,0,0,0,0,0,0,0,0,0,-5.21560544527675,-2.716797462241,-2.78408304558817,-3.3431497346857,0,0,2.5366850936823,0,4.68839843951804,-4.7056312384756,-4.77721502195697,-4.82217328744981,0,0,-4.9374308202857,0,0,0,0,0,5.79050519778605
"SRR3160439",0,0,0,0,0,-2.84497953842987,0,0,0,0,0,0,0,0,3.37896128201025,1.99017309798114,2.52068604750698,0,-4.57053810304256,0,0,0,0,-3.01031395035791,-4.83679376755861,0,4.92764910705438,0,0,-5.21401670875327,-5.09932571000344,5.53413954207092
"SRR3160441",0,0,0,0,0,-2.54691128465784,0,0,0,0,0,0,0,0,-2.37528881316874,0,0,0,0,0,0,0,0,-2.99984316861885,0,0,4.4113797473979,-2.17951256940767,-0.64431299604344,-5.19588078278627,-4.13886819846371,4.11412090705823
"SRR3160442",0,0,0,0,0,-2.55768665333839,0,0,0,0,0,0,0,0,-2.3856419417732,0,0,0,0,0,0,0,0,-2.99631411990548,0,0,4.43004323342289,-2.16578245319337,-0.643051198141875,-5.18976829111232,-4.10993034407871,4.13205305181845
"SRR3160443",0,-1.94096550014417,0,-1.5555116346041,0,0,0,0,0,-2.2795936368338,0,0,0,0,0,-2.27779099805258,0,0,0,0,0,3.36185086198804,0,-2.74593029673632,3.94524973765009,0,0,0,0,4.75609078799,0,0
"SRR3160444",0,-1.92332661179157,0,-1.5704440830148,0,0,0,0,0,-2.27903983297449,0,0,0,0,0,-2.2842356472827,0,0,0,0,0,3.33129941117231,0,-2.75737205086599,3.95641219755362,0,0,0,0,4.7759084874703,0,0
"SRR3160449",-3.37718190211136,0,0.290732993350006,0,0,0,0.634103179832756,0,0,0,0,5.84945064085899,0,0,0,-2.86503237438451,0,0,0,0,0,0,0,-5.37184054499152,4.96238163776367,0,0,0,0,-0.0313438094631296,0,0
"SRR3160450",-3.37029360913693,0,0.30053665108799,0,0,0,0.640115517755998,0,0,0,0,5.83751976744985,0,0,0,-2.86520223411324,0,0,0,0,0,0,0,-5.40743654582644,4.96267584344399,0,0,0,0,-0.104570035236211,0,0
"SRR3160452",0,0,0,0,-0.434960465005468,-0.526139904542414,0,0.394723915212335,-1.25359579931028,0,5.11646787356115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.814961284413007,0,0,0,0,0
"SRR3160453",0,0,0,0,-0.424013726702367,-0.51236537871365,0,0.392363217077817,-1.25922176369857,0,5.12927979365067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.810039415812936,0,0,0,0,0
"SRR3160454",0,2.22198379038743,0,0,0,0,0,0,0,0,0,0,0,0.407357613901315,-2.60780530597378,0,0,0,0,0,0,3.39158615583864,5.89572882374461,0,0,0,0,0,0,0,0,4.5168512861943
"SRR3160455",0,0,0,0,0,0,0,0,0,0,0,0,-2.79788026237543,-2.57141736813289,0,0,-2.45159927890382,-1.71761071536134,4.24629451086065,-2.97498902663056,4.84607076792838,0,4.45382552907121,-3.06558638927133,0,5.41537410619656,0,0,0,-0.111578742772689,0,0
"SRR3160456",0,0,0,0,0,0,0,0,0,0,0,0,-2.79898820363854,-2.57626649502612,0,0,-2.44776987839183,-1.65450127958542,4.23966179461135,-2.86568027742968,4.8479897784879,0,4.46222446322262,-3.02062883435789,0,5.40782188485997,0,0,0,-0.326358969690525,0,0
"SRR3160457",-5.64726139741516,0,0,0,0,-2.88741472650218,0,0,0,0,0,-0.170240122946438,0,0,0.145160022994767,0,0,0,0,0,0,0,0,0,0,5.34120493568265,5.00114900882436,0,0,0,0,-0.0699881209382724
"SRR3160459",1.17484626422097,0,0,0,0,0,0,0,0,0,0,-6.55649575025041,-1.06752241396306,-2.41046036418171,0,0,0,0,0,0,1.84900305920259,0,4.17503982039371,-1.54514494680944,0,3.83552472966638,0,0,0,2.67626955293226,2.72186039493471,0
"SRR3160460",0,0,0,0,0,0,0,0,0,0,0.191943183412995,0,1.27974517487257,0,0,0,-2.246816669369,0,3.89160062663979,0,5.06649478007076,0,0,0,0,6.50319039215668,0,0,0,0,0,0
