"","46503__166486_357276","166486__357276","1680__820_28116","562__817","820__28116","310298__387090","469588__818_47678","28118__338188_491921","261299__165179_301301","573__40519","818__47678","658089__329854_626940","674529__310297_360807","328813__46506_204516","751585__28117_487174","1735__658082","1624__33043","1226323__823_40518","626930__626935","165179__301301","626932__46228_239935","454154__469592","100886__45851_74426","208479__33038_246787","1604__411489","338188__491921","97478__626929","214856__371601_454155","33039__39488","39492__328812","39496__1118061","550__853_39491","310297__360807","329854__626940","823__40518","218538__291644","46506__204516","46228__239935","33038__246787","487173__821_40545","28117__487174","45851__74426","1304__457412_658081","1257080__1681_28111","371601__454155","1623__850_28026","853__39491","821__40545","1681__28111","457412__658081","850__28026","188913__39485_216816","39485__216816"
"SRR5279217",0,0,-3.01034380651147,-0.368401185968061,-5.21406842112816,6.03637982605226,5.25411081751284,0,0,0,0,0,0,0,0,0,0,-2.71906089884782,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.43988846586869,0,0,4.70955162567832,0,0,0,0,-3.26569340592425,0,0,0,0,0,0,4.22601078768586,5.65634690100345,0,0,0,-2.42680478502973,-4.20334918772276
"SRR5279218",-3.5229727741076,-6.10196783843623,-6.19593243708814,4.63437323332766,0.36777834905867,0,-1.84392769280224,0,0,0,3.19377644941674,0,-2.27858906236514,-3.31026532404144,0,0,0,-2.02905881231363,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.77405991178306,-3.94663202558716,0,3.51443295447256,0,5.73354772777323,0,0,0,0,0,0,0,0,0,3.07276190287941,0,0,0,0,0,0
"SRR5279219",-2.95844801170118,5.12418226781757,-2.96343297597455,-4.76254602940708,-5.13281647921296,0,-2.86038123915401,0,0,0,4.95432563523156,0,-2.91833301713405,0,0,0,0,0,0,0,-2.61167522964011,0,0,0,0,0,0,0,0,0,0,-3.26301548450928,-5.05470105908195,0,0,0,0,4.52355419060578,0,-2.98007795548361,0,0,-2.88126521874473,0,0,0,5.65170860505405,5.1616464294136,0,4.99049774894693,0,0,0
"SRR5279220",-2.18949728514665,3.79232054090812,0,0,0,6.30089540760523,0,0,0,0,0,0,0,-2.58567201733203,0,0,0,-2.39181629383735,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.01725230767788,0,0,-4.14274734329738,0,-4.47851530572818,0,0,-2.42691832239896,0,0,0,0,0,-2.54286452878394,5.22603429615252,4.20354584021482,0,0,-4.40437056061847,-2.30065780356111,-3.98485620659766
"SRR5279221",-2.85522209577075,-4.94538973676824,0,-4.1265004710626,0,5.68620688565595,0,0,0,0,0,0,0,0,-2.6294867450635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.90956784777074,0,0,0,0,0,0,0,-2.48255013373016,4.55440464027889,0,0,-3.27465181922194,0,0,-0.476431271450301,-4.29990296395755,-5.67186332799026,0,0,0,0
"SRR5279222",0,0,0,0,0,0,0,-2.6798990008728,0,0,0,0,-3.06192865158481,-6.60028936605622,0,0,0,-2.65469151449938,0,0,0,0,0,0,0,4.64172122866477,0,0,0,0,0,-2.7183879031246,-5.30341599369576,0,-4.59806058153489,0,0.0969962116267439,0,0,0,0,0,-2.42044089770736,0,0,0,4.70838596289244,0,0,4.19232661154677,0,0,0
"SRR5279223",0,0,-2.36938927938645,0,-4.10390261480634,5.31708834816318,-2.6078327234249,0,0,0,-4.51689877461264,0,0,-3.04325748300111,-5.0470474158373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.39048005758836,0,0,0,0,5.2710765810721,0,0,-2.96182423407821,-0.508839573785694,0,0,0,0,0,-0.0357457967147885,5.13003005651224,0,0,0,0,0
"SRR5279224",-2.2986624533472,3.98140015864828,-4.95725861143855,0,0.582880870392415,0,0,0,0,0,0,0,0,-5.68362252309747,-2.55565125756749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.17430435564515,0,0,0,0,0.730397795892816,0,0,0,4.4265178245342,0,0,0,0,0,-0.210537809131364,0,0,0,0,0,0
"SRR5279225",4.70036457428632,0,0,0,0,0,-2.67942418431842,-2.27669420615531,0,0,-4.64089882226829,0,-3.56964938121593,-2.71874063972009,0,0,0,0,0,0,0,0,0,0,0,-3.94335003835869,0,0,0,0,0,0,6.18281409347279,0,0,0,4.7089969205975,0,0,-2.88370531598829,0,0,0,0,0,0,0,4.99472412134819,0,0,0,-2.46524645835701,-4.26993211905357
"SRR5279226",0,0,0,3.64569964119244,0,6.08668739426344,0,0,0,0,0,0,0,-3.38223363919645,0,0,0,0,0,0,0,0,0,-2.51925722240127,0,0,0,0,3.5994093264032,0,0,-3.10349840313706,0,0,0,0,5.85820050615683,0,4.36348150653384,-2.55438058413582,0,0,0,0,0,-2.51454824747346,5.37541691544226,4.4243169535907,0,0,-4.35532532270731,-2.41021606756839,-4.17461668624731
