"","40520__387090_491921","820__33039","39486__216816_751585","46228__649724_665951","46503__357276","626932__853_310297","658081__239935_291644","52226__187326_387661","28116__29361","850__158847","853__310297","216816__751585","1099853__818_823","457412__821_28026","1735__88431","39778__562_729","821__28026","1363__39491_410072","218538__39485_39492","818__823","562__729","1304__40518_338188","239935__291644","39491__410072","100886__47678_363265","665956__165179_360807","487174__74426_204516","1308__40519","39485__39492","573__46506_437897","40518__338188","47678__363265","2173__28111_626940","28118__907_487173","103892__40545_310298","165179__360807","387090__491921","187327__469592_626929","649724__665951","187326__387661","74426__204516","907__487173","469592__626929","39496__328814","28117__329854","28111__626940","46506__437897","40545__310298"
"SRR5818471",0,0,0,0,0,-2.54589330278382,0,0,0,-4.65925959235918,4.40961655107091,0,0,0,0,-2.70777026239664,0,-2.78957771985557,0,0,4.68999566969508,0,0,4.83169034245199,0,-3.62747544553605,-4.66567604219014,0,0,0,0,0,-2.88999660557568,0,-2.57161783565613,6.28297177487699,0,0,0,0,-0.181399104193372,0,0,0,0,-5.00562095455866,0,4.45417274900673
"SRR5818472",0,0,-2.56501899465318,0,3.80109251611934,-2.63103296104958,0,0,0,0,4.55708276492625,-4.44274322111856,0,0,0,0,0,-4.6172828992121,0,0,0,0,0,0.845082008924839,-2.19993581376812,-3.6919913876889,0,0,0,0,0,-3.81040060283676,-2.80381014703719,0,0,6.3947166645839,0,0,0,0,0,0,0,0,0,-4.85634162944557,0,0
"SRR5818473",-2.93669113437969,0,0,0,0,-2.22796871092869,0,0,0,0,3.85895500500224,0,0,0,3.71248072198956,0,0,-2.70056577725476,0,0,0,0,0,4.67751713538697,0,-6.08707048323015,0,4.07552991228868,0,0,0,0,0,0,-2.58843397107103,2.23301945941673,5.08649825088271,0,0,0,0,0,0,0,4.28021862617788,0,0,-4.4832991499323
"SRR5818474",0,0,0,0,0,0,0,0,0,-0.318165889495979,0,0,0,-2.25394599392659,0,-2.06125672685604,3.90394897899718,0,0,0,3.57020137835779,0,0,0,0,-2.38309510872707,-2.48539450783525,0,0,-2.65479771955977,0,0,0,0,-3.0873009925246,-4.12764180758417,0,0,0,0,-4.3048295644233,0,0,0,0,0,4.59824453409551,-5.34736217731043
"SRR5818475",0,0,0,0,0,-2.61298039664816,0,-2.59116741223779,5.61810921476642,0,4.52581480617609,0,-3.30194776999427,-2.70840979786315,0,0,4.69110337761633,-2.84820565732669,0,-5.71914130156884,0,0,0,4.93323690889495,-2.58526370136171,0,0,0,0,-2.80940094729074,0,4.47780808172205,0,0,0,0,0,0,0,-4.48803360891263,0,0,0,-4.49096619047855,0,0,4.8660251795397,0
"SRR5818476",0,0,-2.54122102903174,0,4.25028216251268,-2.46455539503592,0,0,0,0,4.2687351622702,-4.40152393554544,0,0,0,0,0,-2.51182510897818,-2.44884680634715,0,0,0,0,4.35060870847745,-2.37655699935595,-3.47854014745994,0,0,4.24152708854604,0,0,4.11631746996794,0,0,-2.5044015830449,6.02500827156876,0,0,0,0,0,0,0,0,5.04081537068931,0,0,-4.33775078438969
"SRR5818477",0,4.26546885777476,0,0,0,-3.54659417368066,0,0,0,0,-6.14288130264267,0,-2.46683855000746,-2.58889229270328,0,0,4.48409298628557,-2.75082427795366,0,-4.27268970268246,0,0,0,4.76456741210971,0,-2.62381237801878,-2.68833282829947,0,0,0,0,0,0,0,-2.48881181756321,-4.54457634825664,0,0,0,0,-4.65632904627002,0,0,0,0,0,0,-4.31074851849732
"SRR5818478",0,-3.66663809578943,0,0,-4.58166132412716,0,0,0,3.79214482053894,0,0,0,0,-2.66957032994214,0,0,4.62383144583821,-2.8018446928321,0,0,0,0,0,4.85293736290242,0,-2.26860358441314,-3.5033338547147,0,0,-3.48962771111375,0,0,-2.4628172827038,0,0,-3.92933667043643,0,0,0,0,-6.06795223224199,0,0,0,0,4.26572466340171,6.0442124951493,0
"SRR5818479",0,4.57643854630561,0,-2.55589575479318,-5.61612125067503,0,-2.70337057506624,0,0,0,0,0,0,0,0,-3.03648394089783,0,-2.60002368802466,0,0,5.25934446200201,0,4.68237518770142,4.50337312854132,0,0,0,0,0,-3.08585257739622,0,0,0,0,0,0,0,0,4.4269413061514,0,0,0,0,0,4.58251054141715,0,5.34485344871762,0
"SRR5818480",0,0,0,0,3.25789862462516,-1.93210084028076,0,4.13312176964782,0,0,3.3464968207128,0,0,0,0,0,0,0,0,0,0,-1.964014468126,0,0,0,-3.82927195171357,3.8268024975125,0,0,0,-3.4017728455946,0,0,-4.6938000005195,0,6.63249357636633,0,0,0,0,0,-1.56247895552114,0,0,3.42689695948577,0,0,0
"SRR5818481",0,0,0,0,0,-2.42454678668917,0,0,0,0,4.19943821987351,0,0,-2.78116334310773,0,-2.52689901018078,4.8171162144107,0,-3.1499458980485,0,4.37671747122861,0,0,0,0,-2.4844753250625,-3.26791198397421,0,5.45586633651318,0,0,0,-3.22580593116642,0,0,-4.30323749315945,0,-4.7951401467417,0,0,-5.66018959090654,0,-0.0438938824568955,0,0,5.58725976813728,0,0
