"","584__821","46503__28111_28117","674529__296_310297","1351__166486_360807","37734__46228_74426","384638__39492_204516","40518__1260_147802","33043__328814","310298__165179_218538","28111__28117","301301__820_751585","88431__216816","39492__204516","29361__1582_658081","296__310297","1282__29382_291644","40519__303_626932","548__363265_1118061","820__751585","166486__360807","411489__39485_246787","1747__562_328813","165179__218538","39488__546_571","46228__74426","291645__552398_1070699","1260__147802","40214__40324","582__1304_487173","665951__28116_100886","1352__47770","562__328813","116085__729_371601","363265__1118061","1735__818_626940","1363__1358_387661","39485__246787","28126__626929_626930","39486__410072","29382__291644","40520__40545_329854","28116__100886","546__571","154046__287_47678","823__1078764","28026__550_54291","818__626940","729__371601","552398__1070699","316__43765","624__35833","1353__2173","1358__387661","39490__158836","39496__33039_338188","303__626932","1582__658081","454155__853_239935","1304__487173","545__501496","214856__39491_357276","40545__329854","626929__626930","569__1283_469613","287__47678","1512__329_33038","550__54291","1396__387090_487174","33039__338188","39491__357276","853__239935","1318__658086","1283__469613","658082__817_45851","329__33038","387090__487174","817__45851"
"ERR2238619",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0115680519503621,0,0,0,0,0,0,0,0,0,6.4957739153265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238625",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.8716126200979,0,-0.855202595594281,0,0,0,0,0,0,0,6.70582976523442,0,0,0,0,0,0,0,0,0,0,1.48125434633407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238626",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.86089741898548,0,-3.09280898805584,0,0,0,0,0,0,0,6.68727049249439,0,0,0,0,0,0,0,0,0,0,5.3569023054184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238628",0,0,0,7.85507991930566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.08158100802258,0,0,0,0,0,0,0,0,0,3.60540406596555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238630",0,0,0,4.51149789217818,5.41654987571679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.55026654408791,0,0,0,0,0,0,0,0,0,6.14924203477223,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.72855092281405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.72598882935289,0,0,0,0,0,0,0,0,0,0
"ERR2238632",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.59368445979952,0,0,0,0,0,0,0,0,0,1.02829164803685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238634",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.36170348933571,0,0,0,0,0,0,0,0,0,6.403689192549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238637",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.85372036486362,0,0,0,0,0,0,0,0,-6.67483947010667,0,0,0,0
"ERR2238647",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.88376522048769,0,0,0,0,0,0,0,0,5.2578625151368,6.72687868655363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238648",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.71051173515635,0,0,0,0,0,0,0,0,0,6.42679484737134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
