"","39492__310298","626940__246787_751585","246787__751585","46506__329854","33043__88431_310297","817__100886","338188__28111_360807","88431__310297","410072__818_40545","328814__28117_487174","1118061__820_411489","384638__218538_357276","214856__28116_328813","487175__823_291644","28111__360807","818__40545","28118__166486_674529","573__33038_658081","820__411489","52226__39488_469588","216816__261299","29348__46503_387090","28117__487174","823__291644","218538__357276","39496__1735_47678","40520__46228_457412","1161942__45851_165179","28116__328813","1623__39491_204516","376805__665951","187327__821_40518","158847__33039_239935","166486__674529","46503__387090","1735__47678","33038__658081","39491__204516","658082__853_487173","46228__457412","821__40518","39488__469588","45851__165179","33039__239935","853__487173"
"ERR321064",5.04243988282421,0,0,0,0,0,0,0,0,2.32679133708666,-3.07509949080127,0,-2.88387155982832,0,0,0,0,0,5.32622855639698,0,0,0,4.26209204617148,0,0,0,0,0,-4.99501206412556,-3.42727813182703,0,-2.65502967082561,-2.71959460603001,0,0,0,0,5.93621985599416,-2.38328136817898,0,4.59864628547283,0,0,-4.71047603363425,4.12796441841826
"ERR321065",4.2732272979928,0,0,0,0,0,0,0,0,0,-3.03226176535492,-2.42516390269842,0,0,0,0,0,0,5.25203143944322,-2.20009223962563,0,0,0,0,-4.20050709615569,0,0,0,0,-3.7162116943571,0,-3.22118954600872,0,0,0,0,0,6.43666746630812,0,0,5.57926395449683,3.81067154036958,0,0,0
"ERR321066",4.91863225916783,0,0,0,0,0,0,0,2.31863813159881,0,-3.09294349912052,-2.34543732985144,0,0,0,3.37333837845571,0,0,5.3571352854166,-2.14943219688918,0,0,0,0,-4.06241662127138,0,0,0,0,-3.59821579818842,0,-2.95841216335085,-2.24435353922328,0,0,0,0,6.23229257905935,0,0,5.12412017665342,3.72292577243646,0,3.88733436008175,0
"ERR321076",0,4.60197335455234,0,0,0,0,-2.37356940252141,0,0,0,0,-2.58700536294696,0,0,4.11114280045799,0,0,0,0,0,0,0,0,0,-4.4808247280773,0,0,-6.86180266543503,0,0,-3.88387648724296,-5.09123490478348,0,0,0,0,0,0,0,0,-0.0828665907295364,0,0.215776693510785,0,0
"ERR321077",0,4.74847266845684,0,0,0,0,-4.58872736229391,0,0,0,0,-2.601818328705,0,0,0.448429609366034,0,0,0,0,0,0,0,0,0,-4.50648153738101,0,0,-6.87480000831404,0,0,0,-4.99359376763099,0,0,0,0,0,0,0,0,-0.0940304236202107,0,-0.00431873897789973,0,0
"ERR321078",0,4.80196190701208,0,0,0,0,-4.64041670220256,0,0,0,0,-2.60039336561107,0,0,0.288293575495645,0,0,0,0,0,0,0,0,0,-4.50401342890341,0,0,-6.85612137198156,0,0,0,-5.04772303311054,0,0,0,0,0,0,0,0,-0.00215293735043468,0,-0.0341586635819192,0,0
"ERR321079",0,4.87818954321417,0,0,0,0,-4.59240763857676,0,0,0,0,-2.55316910138,0,0,0.326010697793826,0,0,0,0,0,0,0,0,0,-4.42221860390514,0,0,-6.8770708833203,0,0,0,-5.02037476199319,0,0,0,0,0,0,0,0,-0.194800302002162,0,-0.0772368089322518,0,0
"ERR321084",5.81222180574428,5.58219954382759,0,0,0,0,0,0,0,-2.27507381352108,-2.91700034294387,0,0,0,0,0,0,4.12679632159417,-5.05239279967462,4.42438832890066,0,0,3.940543435988,0,0,0,0,-3.01553231017294,0,0,0,0,-2.27602730865385,0,0,0,0,0,-2.58583655313704,0,0,0,-5.22305517308509,-3.94219493800271,4.47880029010214
"ERR321085",5.59074749439588,0,0,0,0,-4.9654406059625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.47575713173596,0,0,0,0,0,0,-2.98041559114821,0,0,0,-2.56844009963733,0,0,0,0,0,0,0,0,4.44866874876913,0,-5.16223123153912,0,0
"ERR321089",0,-2.85145628042317,4.9388671532543,0,0,0,0,0,0,-5.37817247459123,-2.67904152586317,0,0,0,0,0,-2.77833225199334,0,4.64023603838186,0,0,-2.64029310238191,0.37820895850132,0,0,0,0,0,0,0,0,-2.73670002945084,-2.6828001234973,4.81221262075973,-4.57312180019913,0,0,0,-2.97904082297748,0,4.74010349608409,0,0,-4.64674612044938,5.1598500632188
"ERR321090",0,-2.94684981387708,5.10409359990998,0,0,0,0,0,0,0,-2.47548441487442,0,0,0,0,0,-2.86033514480787,0,4.2876647799074,0,0,-2.45150386814998,0,0,0,-4.92406310214956,0,0,0,0,0,-2.98058369611529,-2.6665412040248,4.95424579748211,4.24612925458741,0.0214537239792189,0,0,0,0,5.16252239788312,0,0,4.61858484584684,0
"ERR321091",0,-3.22601430959523,5.58762069016317,0,0,0,0,0,0,-2.33805916335523,-2.52923288768172,0,0,0,0,0,-2.87612013817352,0,4.3807598656389,0,0,-2.06889994503226,-4.04963726203324,0,0,-2.40613911765648,0,0,0,0,0,-2.47295658763468,0,4.98158620798856,3.58343982057234,-4.16755520185996,0,0,0,0,4.28328645469542,0,0,0,0
