"","165179__562_823","310297__46503_166486","818__820","47678__239935","751585__39485_204516","39492__46506_457412","674529__33039_246787","562__823","28111__46228","46503__166486","39777__548_29466","1304__1318","469591__33038_88431","40519__1358_39486","46506__457412","287__29361_328813","100886__301301","33039__246787","457387__1680_1735","1118061__218538_310298","39485__204516","729__74426","187327__329854_658081","33038__88431","1689__40520","387090__2173_411489","29361__328813","218538__310298","33035__469588","154046__328812","39496__817_410072","1680__1735","1203555__29348_47770","28025__40545_360807","1685__454154","39483__658089","29348__47770","137591__626940","1343__658086","158847__469593","328814__821_853","1512__163665","548__29466","214856__469592","550__338188","1531__208479","1358__39486","1535__216816_357276","329854__658081","584__573_1308","817__410072","1623__102862","2173__411489","821__853","116085__28116_39488","40545__360807","216816__357276","908612__28117_40518","457394__39491_487174","573__1308","28116__39488","39491__487174","28117__40518"
"SRR5275394",-3.27712115297936,0,-4.96278079283838,0,0,0,0,5.67614033951896,0,0,0,0,0,0,0,2.95939660445408,0,0,-2.67785791182211,0,0,0,0,0,0,0,-4.68960836488159,0,0,0,0,4.6381859587262,0,0,0,0,0,0,0,0,-2.71145699636374,0,0,0,0,0,0,0,0,0,0,0,0,-4.69638128024009,-2.78575026269638,0,0,0,-2.86869094295367,0,4.82506099218848,4.96871846440843,0
"SRR5275395",0,-2.49360056879636,0,-5.24708826747075,0,0,-3.18080467996376,0,0,4.31904287893795,0,0,0,0,0,0,0,5.5093153146501,0,0,0,0,0,0,0,0,0,0,0,4.21540162338435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.85130898501477,0,0,0,0,0,0,-2.59205845868183,0,0.14508573617412,0,-2.50944738920222,0,4.48957694662561,4.34649037701932,0
"SRR5275396",0,-2.20188646268125,-6.33097659548771,-5.15834731784782,0,0,-2.58774860843669,0,0,-3.81377922586204,0,0,0,0,0,0,0,4.48211206702801,0,-2.95726521676123,0,0,0,0,-4.05442828850762,0,0,5.12213360688664,0,0,0,0,0,0,0,0,0,0,0,0,-2.72253616827882,0,0,0,0,0,0,0,0,0,0,0,0,4.7155709689028,-5.34387616659413,0,0,0,0,0,0.50748192386624,0,0
"SRR5275397",0,6.58823746046382,-0.517560390592636,0,-2.51079330298324,-3.22620333885879,0,0,0,0,0,0,0,0,5.58794809845178,0,0,0,0,0,4.34882156807065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.65377546748229,-3.08876665640978,0,0,0,0,0,0,0,0,0,0,0,0,5.34990078162637,-2.6345296605425,0,0,0,5.93252993028426,0,4.5631392261068,0,0
"SRR5275398",0,0,0,0,0,-3.03058705990417,-2.45778160600884,0,0,0,0,0,-4.88745664929016,0,-5.24913076451481,0,0,4.25700261551555,0,-3.0998885138804,0,0,0,-0.0532560524946386,0,0,0,5.36916440384004,0,0,-2.41522352964025,0,0,-2.4021335409888,0,0,0,0,0,0,0,0,0,0,0,-4.67250929710341,0,0,0,0,-4.18328986497275,0,0,0,0,-4.16061733955793,0,0,-3.58139165923347,0,0,6.20315231559578,0
"SRR5275399",0,0,-4.59446049231722,0,0,-2.62690385615631,-2.93926073471733,0,0,0,0,0,-2.91193026538606,0,4.54993094546133,0,0,5.09094892922265,0,-3.20517284232423,0,5.08700931956942,0,5.04361116774618,0,5.52851281359268,0,5.55152220994552,0,0,0,0,0,0,0,0,0,0,0,0,-2.67511534975546,0,0,0,0,0,0,0,0,0,0,0,0,-4.63343570188385,0,0,0,0,-2.63042786735257,0,0,4.5560347118997,0
"SRR5275400",-2.99358082641797,0,-0.757783087831269,0,-3.05836483554822,-2.34031504355368,-2.504371548293,-5.18503408791995,0,0,0,0,0,0,-4.05354456115275,0,0,-4.33769876267341,0,0,-5.29724328325154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.993196497478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.97505168321748,0,0,0,-2.8991258368147,0,5.15294067047598,5.0214332468987,0
"SRR5275401",-3.62085953708091,0,-4.86152354722464,4.11381558458941,0,0,-2.47463872649274,6.27151268529446,0,0,0,0,0,0,0,0,0,4.28620000466297,0,-2.45029207045334,0,0,0,0,0,0,0,4.24403035940833,0,0,-2.60468217894808,0,0,0,0,0,0,0,0,0,-2.56040418954646,0,0,0,0,0,0,0,0,0,-4.51144187150728,0,0,4.43475014420669,-2.85276797006088,0,0,0,-2.74836398562064,0,4.94113906635057,4.76030606078744,0
"SRR5275402",4.89719631263197,0,0.406268895897901,0,0,5.60819188944997,-2.45501732821794,0,0,0,0,0,0,0,0,0,0.899110142939688,4.25221474593546,0,0,0,0,0,0,0,0,0,0,0,0,-2.51608277068562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.35798319487616,0,0,0,0,0,0,0,-3.46398583466525,0,0,5.9997994623391,0
"SRR5275403",0,-2.91223255809532,0,0,0,-2.97726528277795,0,0,0,-5.04413475407738,0,0,0,0,5.15677473738232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.94146484526163,0,0,-2.52030324472123,0,0,0,0,0,0,-3.19109280452888,0,0,0,0,0,0,-2.21766308061095,0,0,0,4.19231957949008,0,-5.52713486911148,-2.20198352327885,-4.36529327033787,3.84110512968787,0,-3.49076918982666,0,3.81394733974849,6.04618959427582,0
